id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
917094700,4000.0,60.0,3.0,miejskie,1.0,do zamieszkania,,,prywatny,2021.0,True,blok,plastikowe,Praga-Południe,Gocław,ul. Floriana Znanieckiego,3.0,5.0,True,True,True,True,True,False,False,False,False,True,False,False
772094700,3200.0,50.6,2.0,miejskie,904.0,do zamieszkania,,,prywatny,2024.0,True,blok,plastikowe,Wawer,Międzylesie,ul. Mieczysława Pożaryskiego,2.0,4.0,False,True,True,True,True,False,False,False,False,True,False,False
358094701,2900.0,40.0,2.0,brak informacji,,do zamieszkania,,,prywatny,,False,,,Wawer,Zerzeń,ul. Wał Miedzeszyński,0.0,2.0,,,,False,True,False,True,False,False,False,False,False
694094700,4000.0,60.0,3.0,miejskie,1.0,do zamieszkania,,,prywatny,2021.0,True,blok,plastikowe,Praga-Południe,Gocław,ul. Floriana Znanieckiego,3.0,5.0,True,True,True,True,True,False,False,False,False,True,False,False
809094700,1770.0,13.0,1.0,miejskie,430.0,brak informacji,,,biuro nieruchomości,2022.0,True,apartamentowiec,plastikowe,Wawer,Marysin Wawerski,,1.0,5.0,False,True,True,,,,,,,,,
104094700,1750.0,13.0,1.0,miejskie,400.0,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,,Wawer,Marysin Wawerski,,1.0,5.0,False,True,True,,,,,,,,,
142094700,1650.0,19.0,1.0,miejskie,470.0,do zamieszkania,,,biuro nieruchomości,2022.0,True,apartamentowiec,plastikowe,Wawer,Marysin Wawerski,,1.0,5.0,False,True,True,False,True,True,False,False,False,False,False,False
561094700,2050.0,19.0,1.0,miejskie,520.0,brak informacji,,,biuro nieruchomości,2022.0,True,apartamentowiec,plastikowe,Wawer,Marysin Wawerski,,3.0,5.0,False,True,True,,,,,,,,,
629094700,2850.0,35.0,2.0,miejskie,,brak informacji,,,biuro nieruchomości,2022.0,True,apartamentowiec,plastikowe,Wawer,Marysin Wawerski,,1.0,5.0,False,True,True,,,,,,,,,
719094700,7400.0,140.0,4.0,gazowe,250.0,do zamieszkania,,,biuro nieruchomości,2023.0,False,,,Wawer,Zerzeń,ul. Wodniaków,1.0,2.0,True,False,False,True,True,False,False,False,False,False,False,False
392094701,2699.0,27.06,2.0,miejskie,540.0,do zamieszkania,,,biuro nieruchomości,2009.0,False,apartamentowiec,,Wawer,Marysin Wawerski,ul. Korkowa,2.0,4.0,True,True,True,True,True,True,False,False,False,False,True,False
593094700,2800.0,31.0,2.0,kotłownia,500.0,do zamieszkania,,,prywatny,2025.0,False,kamienica,plastikowe,Wawer,Marysin Wawerski,,0.0,2.0,True,True,True,,,,,,,,,
696094701,3200.0,66.0,2.0,gazowe,700.0,do zamieszkania,,,biuro nieruchomości,2005.0,True,blok,plastikowe,Wawer,Radość,,3.0,3.0,,,,True,True,True,False,False,False,False,False,True
809094701,4500.0,56.0,3.0,brak informacji,1.0,do zamieszkania,,,prywatny,,False,blok,,Praga-Południe,Gocław,ul. Floriana Znanieckiego,4.0,,True,False,False,True,False,False,False,False,False,True,False,True
889094701,5200.0,67.0,3.0,miejskie,1.0,do zamieszkania,,,prywatny,2020.0,True,apartamentowiec,plastikowe,Wawer,Anin,Villa Natolanka,0.0,3.0,True,True,True,True,True,True,True,False,False,True,False,False
716094701,5000.0,74.83,4.0,miejskie,,do zamieszkania,,,biuro nieruchomości,2023.0,True,apartamentowiec,plastikowe,Wawer,Falenica,,3.0,4.0,True,True,True,True,True,False,False,True,False,True,False,False
591094701,4800.0,72.0,3.0,brak informacji,,do zamieszkania,,,prywatny,2004.0,False,blok,,Wawer,Wawer,ul. Wichrowa,2.0,3.0,True,True,True,True,True,False,False,True,False,True,False,False
