id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
773110135,4850000.0,34.0,1.0,miejskie,515.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2001.0,True,apartamentowiec,plastikowe,Włochy,Stare Włochy,,0.0,3.0,,,,False,False,True,False,False,False,False,False,True
490110134,18750000.0,82.0,4.0,miejskie,1.0,do zamieszkania,wtórny,pełna własność,prywatny,2010.0,True,apartamentowiec,drewniane,Włochy,Nowe Włochy,ul. Łuki Wielkie,0.0,3.0,True,True,True,True,True,True,True,True,True,False,False,True
720110134,6790000.0,35.74,2.0,miejskie,600.0,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2022.0,True,blok,plastikowe,Włochy,Raków,ul. Szybka,4.0,5.0,False,True,True,True,True,False,False,True,False,False,False,False
835110135,8500000.0,61.5,4.0,miejskie,1.0,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1957.0,False,blok,plastikowe,Włochy,Okęcie,ul. Komitetu Obrony Robotników,2.0,4.0,,,,True,False,False,False,True,False,False,False,False
193110135,,58.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
940110135,11442500.0,99.5,4.0,miejskie,,do wykończenia,wtórny,pełna własność,prywatny,1960.0,False,,plastikowe,Włochy,Okęcie,ul. Słowicza,1.0,3.0,,,,False,False,True,False,True,False,False,False,False
469110135,3640000.0,17.3,1.0,miejskie,470.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022.0,True,apartamentowiec,,Włochy,Stare Włochy,,4.0,,False,True,True,,,,,,,,,
789110136,,26.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
229110135,6000000.0,38.1,2.0,miejskie,650.0,do zamieszkania,wtórny,pełna własność,prywatny,1978.0,True,blok,plastikowe,Włochy,Okęcie,ul. 1 Sierpnia,10.0,10.0,False,True,True,True,True,False,False,True,False,False,False,True
304110136,10600000.0,54.47,3.0,miejskie,630.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022.0,True,blok,plastikowe,Włochy,Raków,ul. Łopuszańska,0.0,5.0,True,True,True,True,True,False,True,False,True,False,False,False
203110136,,37.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
539110135,4850000.0,34.0,1.0,miejskie,515.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2001.0,True,apartamentowiec,plastikowe,Włochy,Stare Włochy,,0.0,3.0,,,,False,False,True,False,False,False,False,False,True
664110136,,41.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
662110136,8100000.0,43.22,3.0,inne,300.0,do wykończenia,pierwotny,pełna własność,deweloper,2024.0,True,blok,plastikowe,Włochy,Nowe Włochy,,3.0,4.0,True,False,False,True,True,False,False,True,True,False,False,False
932110137,5140000.0,40.4,1.0,miejskie,,do remontu,wtórny,pełna własność,biuro nieruchomości,2000.0,True,blok,drewniane,Włochy,Stare Włochy,ul. Naukowa,1.0,4.0,True,False,False,True,True,False,False,False,False,False,False,True
312110137,8690000.0,49.5,2.0,miejskie,750.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,,True,blok,drewniane,Włochy,Stare Włochy,ul. Naukowa,0.0,4.0,True,False,False,True,True,False,False,False,False,False,False,True
664110136,14600000.0,88.0,3.0,gazowe,700.0,do zamieszkania,wtórny,pełna własność,prywatny,2004.0,False,blok,plastikowe,Włochy,Stare Włochy,ul. Krańcowa,2.0,3.0,True,True,True,True,True,False,False,False,True,False,False,True
490110137,,51.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
364110136,7500000.0,39.4,2.0,brak informacji,,do zamieszkania,wtórny,pełna własność,prywatny,2025.0,False,blok,plastikowe,Włochy,Salomea,ul. Jutrzenki,2.0,3.0,True,True,True,True,True,False,False,False,False,False,False,False
459110137,6500000.0,52.66,3.0,gazowe,684.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1950.0,False,kamienica,plastikowe,Włochy,Nowe Włochy,ul. Potrzebna,0.0,4.0,True,True,True,,,,,,,,,
327110137,5080000.0,28.0,1.0,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025.0,False,apartamentowiec,plastikowe,Włochy,Raków,ul. Fajansowa,4.0,8.0,,,,True,True,False,False,False,False,False,False,False
111110137,5660000.0,32.0,1.0,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026.0,False,apartamentowiec,plastikowe,Włochy,Raków,ul. Łopuszańska,5.0,5.0,,,,True,True,False,False,False,False,False,False,False
173110137,10256640.0,80.13,4.0,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025.0,True,apartamentowiec,,Włochy,Raków,,1.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False
444110138,8313080.0,57.53,3.0,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Włochy,Raków,,1.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False
202110138,6013800.0,38.13,2.0,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025.0,True,apartamentowiec,,Włochy,Raków,,0.0,5.0,True,True,True,False,True,True,True,False,False,False,False,False
715110137,10242960.0,75.04,4.0,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Włochy,Raków,,3.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False
561110137,8177040.0,49.86,3.0,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Włochy,Raków,,6.0,5.0,True,True,True,True,True,False,False,False,False,False,False,False
729110138,,27.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
930110138,,31.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
564110138,,122.48,4.0,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2026.0,True,,,Włochy,Okęcie,ul. Solińska,5.0,5.0,True,False,False,True,True,True,False,False,False,False,False,False
795110139,,25.35,,,,,,,deweloper,,,,,,,,,,False,True,False,,,,,,,,,
