id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
555132734,3450,39.0,2,miejskie,850,do zamieszkania,,,prywatny,2023,True,blok,,Bemowo,Chrzanów,ul. Lazurowa,2,3,True,True,True,True,True,False,False,False,False,False,True,False
621132734,3200,35.85,2,miejskie,550,do zamieszkania,,,prywatny,2024,True,blok,plastikowe,Bemowo,Górce,ul. Wieśniacza,1,5,True,False,False,True,False,False,False,False,False,True,True,False
961132734,3400,44.0,2,miejskie,800,do zamieszkania,,,prywatny,2024,True,blok,plastikowe,Bemowo,Chrzanów,ul. Żeńców,4,6,False,True,True,True,True,False,False,False,False,False,True,False
358132734,2910,43.08,2,miejskie,990,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Bemowo,Chrzanów,,4,6,False,True,True,,,,,,,,,
478132733,6070,59.0,3,brak informacji,500,do zamieszkania,,,biuro nieruchomości,,True,plomba,,Bemowo,Górce,,0,,True,True,True,False,True,False,True,False,False,False,False,False
720132734,4000,50.0,3,miejskie,1,do zamieszkania,,,prywatny,2017,True,blok,plastikowe,Bemowo,Chrzanów,ul. Batalionów Chłopskich,5,5,True,False,False,True,True,True,False,False,True,True,True,False
999132734,3000,40.0,2,miejskie,700,do zamieszkania,,,prywatny,2015,True,blok,plastikowe,Bemowo,Górce,,0,6,True,True,True,False,True,False,True,True,False,True,False,False
797132734,2710,37.72,2,miejskie,890,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Bemowo,Chrzanów,,1,6,False,True,True,,,,,,,,,
648132734,2670,40.17,1,miejskie,930,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Bemowo,Chrzanów,,3,6,False,True,True,,,,,,,,,
792132735,4600,45.95,2,miejskie,,do zamieszkania,,,prywatny,2021,True,blok,plastikowe,Bemowo,Górce,ul. Narwik,3,3,True,False,False,True,True,False,False,True,False,False,False,False
324132734,3750,53.0,2,miejskie,877,do zamieszkania,,,prywatny,2019,True,blok,plastikowe,Bemowo,Jelonki Północne,ul. Jana Olbrachta,3,6,True,True,True,True,True,False,False,False,False,True,True,True
106132734,3500,65.0,3,miejskie,900,do zamieszkania,,,prywatny,1992,True,blok,plastikowe,Bemowo,Bemowo-Lotnisko,ul. Jana Blatona,6,11,,,,True,False,False,False,True,False,False,True,True
748132734,3300,51.0,2,miejskie,800,do zamieszkania,,,biuro nieruchomości,2022,True,blok,,Bemowo,Chrzanów,ul. Lazurowa,5,6,True,True,True,True,True,False,False,False,False,False,True,False
138132734,2550,28.0,1,miejskie,350,do zamieszkania,,,prywatny,,False,blok,plastikowe,Bemowo,Górce,ul. gen. Tadeusza Pełczyńskiego,4,7,,,,True,True,False,False,False,False,False,False,False
702132734,3260,57.53,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Bemowo,Chrzanów,,2,6,False,True,True,,,,,,,,,
529132735,3340,52.97,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,,Bemowo,Chrzanów,,6,6,False,True,True,False,True,False,False,False,False,False,False,True
801132734,2560,29.18,1,miejskie,740,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Bemowo,Chrzanów,,4,6,False,True,True,,,,,,,,,
196132735,2190,32.72,1,miejskie,810,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Bemowo,Chrzanów,,4,6,False,True,True,,,,,,,,,
966132735,3950,58.22,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Bemowo,Chrzanów,,4,6,False,True,True,,,,,,,,,
593132735,4000,55.0,3,kotłownia,805,do zamieszkania,,,prywatny,2008,False,blok,plastikowe,Bemowo,Chrzanów,ul. gen. Meriana C. Coopera,1,3,True,True,True,True,True,False,False,False,True,False,False,False
697132735,2310,26.04,1,miejskie,690,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Bemowo,Chrzanów,,4,6,False,True,True,,,,,,,,,
329132735,4000,72.0,3,miejskie,700,do zamieszkania,,,biuro nieruchomości,1985,True,blok,plastikowe,Bemowo,Boernerowo,ul. Radiowa,8,11,True,True,True,,,,,,,,,
