id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
860182731,2300,27.8,1,miejskie,650,do zamieszkania,,,prywatny,2023,False,blok,plastikowe,Białołęka,Żerań,ul. Marywilska,1,5,False,True,True,True,False,False,False,False,False,False,True,False
184182731,2500,31.0,1,miejskie,525,do zamieszkania,,,prywatny,,True,blok,plastikowe,Białołęka,Nowodwory,ul. Strumykowa,2,3,True,True,True,True,False,False,False,False,False,True,False,True
235182731,2350,25.0,1,miejskie,400,do zamieszkania,,,biuro nieruchomości,2010,False,blok,plastikowe,Białołęka,Dąbrówka Szlachecka,ul. Józefa Mehoffera,1,2,True,False,False,False,True,False,False,True,False,True,True,False
412182731,3300,47.0,2,brak informacji,700,brak informacji,,,prywatny,,True,,,Białołęka,Kobiałka,Miasteczko Greenwood,,,,,,True,False,False,False,False,False,True,False,False
556182731,3800,43.0,2,miejskie,570,do zamieszkania,,,prywatny,2022,True,blok,plastikowe,Białołęka,Tarchomin,ul. Kościeszów,4,8,False,True,True,True,True,False,False,False,False,True,False,False
745182732,2900,44.0,3,miejskie,960,do zamieszkania,,,prywatny,2023,True,blok,plastikowe,Białołęka,Nowodwory,ul. Dionizosa,2,8,,,,True,True,False,False,False,False,True,True,False
730182732,2900,43.0,2,miejskie,700,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Białołęka,Żerań,ul. Marywilska,3,5,True,True,True,True,True,False,False,False,False,True,True,False
315182732,3000,42.0,2,gazowe,770,do zamieszkania,,,prywatny,2024,True,apartamentowiec,plastikowe,Białołęka,Brzeziny,ul. Mariana Hemara,1,3,True,True,True,True,True,False,False,False,True,True,True,False
818182732,3000,50.0,2,brak informacji,800,do zamieszkania,,,prywatny,2011,True,apartamentowiec,plastikowe,Białołęka,Grodzisk,ul. Skarbka z Gór,2,2,True,True,True,True,True,True,False,False,True,False,False,False
838182732,3500,49.0,2,kotłownia,600,do zamieszkania,,,prywatny,2022,True,apartamentowiec,aluminiowe,Białołęka,Nowodwory,ul. Józefa Mehoffera 43,1,4,False,True,True,False,True,True,False,False,False,True,False,False
240182732,3500,62.0,3,miejskie,1,do zamieszkania,,,prywatny,2022,True,blok,plastikowe,Białołęka,Henryków,ul. Aleksandra Fleminga,1,3,,,,True,True,False,False,False,True,True,False,False
224182732,3500,50.1,2,brak informacji,750,brak informacji,,,prywatny,,True,blok,,Białołęka,Nowodwory,ul. Aluzyjna,2,,,,,True,True,False,False,True,False,False,True,False
169182732,4990,79.0,3,miejskie,1,do zamieszkania,,,prywatny,2020,True,blok,plastikowe,Białołęka,Henryków,ul. Klasyków,0,4,True,True,True,False,True,False,True,False,True,True,False,False
257182732,2300,36.0,1,miejskie,405,do zamieszkania,,,prywatny,2000,False,blok,,Białołęka,Tarchomin,ul. Świderska,1,3,True,True,True,True,False,False,False,False,False,True,True,True
322182732,3200,37.0,2,miejskie,550,do zamieszkania,,,biuro nieruchomości,2025,True,blok,plastikowe,Białołęka,Tarchomin,ul. Szafrańców,3,7,True,True,True,True,True,False,False,False,False,True,True,False
242182732,4700,60.0,3,miejskie,800,do zamieszkania,,,prywatny,2015,True,blok,plastikowe,Białołęka,Żerań,,0,4,True,True,True,False,True,False,True,False,False,False,False,False
294182732,3100,38.0,2,miejskie,629,do zamieszkania,,,prywatny,2024,True,blok,plastikowe,Białołęka,Żerań,Beksińskiego,1,3,True,True,True,True,True,True,False,False,False,False,False,False
359182732,3000,56.3,2,brak informacji,1,do zamieszkania,,,prywatny,2004,False,blok,plastikowe,Białołęka,Tarchomin,ul. Myśliborska,1,4,,,,,,,,,,,,
