id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
307091326,2550,25.0,1,miejskie,650,do zamieszkania,,,biuro nieruchomości,,True,blok,plastikowe,Bielany,Wawrzyszew,ul. Dantego Alighieri,1,10,,,,True,False,False,False,False,False,True,True,False
457091326,3200,37.0,2,miejskie,504,do zamieszkania,,,prywatny,2016,True,blok,plastikowe,Bielany,Słodowiec,ul. Stefana Żeromskiego,3,10,False,True,True,True,True,False,False,False,False,False,True,True
368091326,5000,50.0,3,miejskie,965,do zamieszkania,,,prywatny,,False,kamienica,plastikowe,Bielany,Słodowiec,ul. Stefana Żeromskiego,3,3,,,,True,False,False,False,True,False,False,True,False
942091326,2500,36.46,2,miejskie,500,do zamieszkania,,,prywatny,1970,True,blok,plastikowe,Bielany,Słodowiec,ul. Kiełpińska,2,10,,,,True,False,False,False,False,False,False,True,True
346091326,3200,44.4,2,miejskie,700,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Bielany,Wawrzyszew,ul. Sokratesa,1,8,True,False,False,True,True,False,False,False,False,False,False,False
759091327,8300,112.0,3,miejskie,2,do zamieszkania,,,biuro nieruchomości,2007,True,apartamentowiec,drewniane,Bielany,Las Bielański,ul. Tczewska,1,2,True,True,True,True,True,False,False,False,False,False,False,False
571091327,2500,38.0,2,brak informacji,0,do zamieszkania,,,biuro nieruchomości,1936,False,kamienica,,Bielany,Stare Bielany,ul. Stefana Żeromskiego,2,3,,,,,,,,,,,,
279091327,3250,60.5,3,miejskie,850,do zamieszkania,,,biuro nieruchomości,,False,blok,plastikowe,Bielany,Chomiczówka,ul. Sieciechowska,1,4,True,False,False,True,False,False,False,False,False,True,True,True
660091327,2200,30.0,1,miejskie,550,do zamieszkania,,,prywatny,1978,True,blok,plastikowe,Bielany,Las Bielański,ul. Podleśna,9,11,True,True,True,,,,,,,,,
685091327,2850,38.0,2,miejskie,700,do zamieszkania,,,prywatny,,False,blok,plastikowe,Bielany,Wrzeciono,ul. Wrzeciono,2,2,,,,,,,,,,,,
197091327,3300,37.0,2,miejskie,900,do zamieszkania,,,prywatny,1975,True,blok,plastikowe,Bielany,Marymont-Kaskada,ul. Władysława Smoleńskiego,6,10,True,True,True,True,True,False,False,False,False,True,False,False
970091328,2550,25.0,1,miejskie,650,do zamieszkania,,,biuro nieruchomości,,True,blok,plastikowe,Bielany,Wawrzyszew,ul. Dantego Alighieri,1,10,,,,True,False,False,False,False,False,True,True,False
825091328,2680,20.99,1,miejskie,520,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,5,5,False,True,True,,,,,,,,,
327091328,3200,50.0,2,brak informacji,,brak informacji,,,biuro nieruchomości,2007,False,apartamentowiec,,Bielany,Młociny,ul. Biograficzna,3,4,False,True,True,,,,,,,,,
557091327,2050,15.0,1,gazowe,500,do zamieszkania,,,prywatny,,False,dom wolnostojący,plastikowe,Bielany,Chomiczówka,ul. Jerzego Bajana,2,2,,,,,,,,,,,,
527091327,2250,25.0,1,miejskie,550,do zamieszkania,,,prywatny,,False,blok,plastikowe,Bielany,Wrzeciono,,5,10,,,,True,False,False,False,False,False,True,False,False
105091328,3200,42.0,2,miejskie,700,do zamieszkania,,,prywatny,2020,False,apartamentowiec,drewniane,Bielany,Huta,ul. Wólczyńska 67,0,,True,True,True,,,,,,,,,
766091327,3000,41.5,2,miejskie,640,do zamieszkania,,,prywatny,2017,True,blok,plastikowe,Bielany,Chomiczówka,ul. Bartosza Głowackiego,3,8,True,True,True,,,,,,,,,
790091328,1800,12.0,1,gazowe,500,do zamieszkania,,,prywatny,,False,dom wolnostojący,plastikowe,Bielany,Chomiczówka,Narwok 16,0,2,,,,False,False,False,False,False,False,True,True,False
549091328,2290,20.23,1,miejskie,510,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,5,5,False,True,True,,,,,,,,,
895091328,3100,29.0,1,brak informacji,,do zamieszkania,,,prywatny,,True,apartamentowiec,,Bielany,Wawrzyszew,ul. Tomasza Nocznickiego 29,2,3,True,True,True,True,True,False,False,False,False,False,True,False
200091329,3800,45.0,2,brak informacji,,do zamieszkania,,,prywatny,,True,blok,plastikowe,Bielany,Marymont-Kaskada,,,20,,,,True,True,False,False,False,False,True,False,True
936091329,2410,19.07,1,miejskie,490,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,0,5,False,True,True,,,,,,,,,
466091328,3900,42.0,2,brak informacji,800,do zamieszkania,,,prywatny,2020,True,blok,,Bielany,Marymont-Kaskada,ul. Rudzka,1,6,False,True,True,True,True,False,False,False,False,True,False,False
739091328,4990,63.09,3,miejskie,870,do zamieszkania,,,prywatny,2015,True,blok,plastikowe,Bielany,Chomiczówka,ul. Osikowa,1,3,True,False,False,True,True,True,False,False,True,True,False,True
123091329,3100,37.0,2,miejskie,560,do zamieszkania,,,prywatny,1975,True,blok,plastikowe,Bielany,Wrzeciono,ul. Wrzeciono,1,10,,,,False,False,False,False,True,False,True,False,False
152091329,4700,68.0,3,miejskie,1,do zamieszkania,,,prywatny,1959,False,blok,plastikowe,Bielany,Stare Bielany,ul. Stefana Żeromskiego,1,3,,,,,,,,,,,,
328091329,2650,39.0,1,miejskie,650,do zamieszkania,,,prywatny,1960,False,blok,plastikowe,Bielany,Słodowiec,ul. Stefana Żeromskiego,1,3,,,,True,False,False,False,False,False,True,True,True
915091329,3500,43.0,2,miejskie,422,do zamieszkania,,,prywatny,2014,True,blok,drewniane,Bielany,Stare Bielany,ul. Jana Kasprowicza,4,5,True,True,True,True,False,False,False,False,False,False,True,True
579091329,2900,31.0,1,miejskie,490,do zamieszkania,,,prywatny,2019,True,blok,plastikowe,Bielany,Wawrzyszew,,0,7,True,True,True,False,True,True,True,False,False,True,True,False
270091329,2500,31.0,1,miejskie,800,do zamieszkania,,,biuro nieruchomości,1953,True,blok,,Bielany,Marymont-Kaskada,ul. Klaudyny,5,20,,,,True,False,False,False,False,False,False,True,True
629091329,2460,16.0,1,brak informacji,460,do zamieszkania,,,prywatny,,False,szeregowiec,plastikowe,Bielany,Chomiczówka,ul. Jerzego Bajana,1,,True,False,False,,,,,,,,,
781091329,3200,41.2,1,miejskie,561,do zamieszkania,,,biuro nieruchomości,2006,True,blok,drewniane,Bielany,Wawrzyszew,ul. Sokratesa,1,5,True,True,True,True,True,False,False,False,False,True,False,False
525091329,4200,57.14,3,miejskie,863,do zamieszkania,,,prywatny,2021,True,blok,plastikowe,Bielany,Młociny,ul. Heroldów,2,4,True,True,True,True,True,False,False,True,False,True,True,False
323091329,3400,50.0,2,gazowe,450,do zamieszkania,,,prywatny,1938,False,kamienica,plastikowe,Bielany,Stare Bielany,ul. Stanisława Przybyszewskiego,2,2,True,False,False,True,False,False,True,True,False,False,True,False
349091329,3500,62.2,3,miejskie,1,do zamieszkania,,,prywatny,1994,False,blok,plastikowe,Bielany,Wrzeciono,ul. Wrzeciono,3,4,True,False,False,True,True,False,False,True,False,True,False,False
