id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
338163101,37990,50.0,2,miejskie,700,do zamieszkania,,,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Mokotów,Wyględów,ul. Wyględowska,0,1,True,True,True,True,True,True,True,False,True,False,False,False
692163101,85000,70.0,4,miejskie,1,do zamieszkania,,,prywatny,2023,True,apartamentowiec,plastikowe,Mokotów,Służewiec,ul. Domaniewska,3,4,True,True,True,True,True,False,False,False,False,True,True,False
705163101,35000,38.0,2,brak informacji,1,brak informacji,,,prywatny,,True,blok,,Mokotów,Stegny,,6,6,,,,True,True,True,False,False,False,False,False,False
169163101,30000,36.0,2,miejskie,670,do zamieszkania,,,prywatny,1958,False,kamienica,plastikowe,Mokotów,Sielce,ul. Jurija Gagarina,4,5,,,,True,False,False,False,False,False,True,False,False
400163101,60000,53.0,3,miejskie,870,do zamieszkania,,,prywatny,2014,True,,,Mokotów,Czerniaków,ul. Bernardyńska,2,4,True,True,True,True,True,False,False,False,False,False,False,False
525163101,70000,72.0,3,miejskie,927,do zamieszkania,,,biuro nieruchomości,2019,True,apartamentowiec,,Mokotów,Służewiec,ul. Jana Pawła Woronicza,5,12,False,True,True,True,True,False,False,False,False,False,False,False
674163101,40000,38.0,2,brak informacji,750,do zamieszkania,,,prywatny,,True,blok,,Mokotów,Wierzbno,al. Aleja Niepodległości,9,10,False,True,True,True,True,False,False,False,False,True,False,False
809163101,36000,40.0,2,miejskie,700,do zamieszkania,,,biuro nieruchomości,2016,True,,plastikowe,Mokotów,Ksawerów,ul. Garażowa,3,7,True,True,True,True,False,False,False,True,False,True,False,False
940163101,32000,50.0,2,miejskie,800,do zamieszkania,,,prywatny,1960,False,kamienica,plastikowe,Mokotów,Sielce,Czerska 26/28,1,3,,,,,,,,,,,,
990163101,23000,33.0,1,brak informacji,800,do zamieszkania,,,prywatny,2002,False,blok,plastikowe,Mokotów,Augustówka,ul. Augustówka,1,2,True,True,True,False,True,False,False,False,False,True,False,False
999163101,90000,80.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2018,True,apartamentowiec,,Mokotów,Czerniaków,ul. Zwierzyniecka,6,8,True,True,True,True,True,False,False,False,False,False,False,False
579163101,22000,16.0,1,miejskie,780,do zamieszkania,,,prywatny,2019,True,apartamentowiec,plastikowe,Mokotów,Służewiec,ul. Suwak 13,3,7,True,True,True,False,True,False,False,False,False,True,True,False
884163102,50700,63.9,3,miejskie,930,do zamieszkania,,,prywatny,2016,True,apartamentowiec,plastikowe,Mokotów,Ksawerów,ul. Bukowińska,6,7,True,True,True,True,True,False,False,False,False,True,False,False
605163101,120000,150.0,4,miejskie,850,do zamieszkania,,,biuro nieruchomości,,True,apartamentowiec,drewniane,Mokotów,Stary Mokotów,,5,,False,True,True,,,,,,,,,
747163101,230000,123.64,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2020,True,apartamentowiec,plastikowe,Mokotów,Wyględów,,6,6,True,True,True,True,True,True,False,True,False,True,False,False
