id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
500164330,2500,28.0,1,brak informacji,1,do zamieszkania,,,prywatny,,False,blok,,Ochota,Rakowiec,ul. Pruszkowska,0,4,,,,False,False,False,False,False,False,True,True,False
242164330,3300,31.0,1,miejskie,500,do zamieszkania,,,prywatny,2017,True,blok,drewniane,Ochota,Stara Ochota,ul. Szczęśliwicka,2,6,True,True,True,True,False,False,False,False,False,False,True,False
832164330,4200,48.0,2,brak informacji,0,brak informacji,,,prywatny,,True,apartamentowiec,plastikowe,Włochy,Raków,ul. Instalatorów,2,,True,True,True,,,,,,,,,
114164330,4900,89.0,3,miejskie,,do zamieszkania,,,biuro nieruchomości,1940,False,kamienica,,Ochota,Stara Ochota,ul. Juliana Ursyna Niemcewicza,2,4,,,,,,,,,,,,
616164330,2500,35.0,1,miejskie,900,do zamieszkania,,,prywatny,2021,True,apartamentowiec,drewniane,Ochota,Szczęśliwice,ul. Włodarzewska,0,2,True,True,True,False,True,True,True,False,False,True,True,False
592164330,3180,50.0,2,brak informacji,740,do zamieszkania,,,prywatny,2002,True,apartamentowiec,drewniane,Ochota,Szczęśliwice,ul. Drawska,2,2,True,True,True,True,False,False,False,False,True,True,False,False
776164330,3700,40.0,2,miejskie,750,do zamieszkania,,,prywatny,2024,True,apartamentowiec,plastikowe,Włochy,Raków,ul. Instalatorów,2,6,True,True,True,True,True,False,False,False,False,False,False,False
419164330,3700,48.0,3,gazowe,,do zamieszkania,,,biuro nieruchomości,1985,True,blok,plastikowe,Ochota,Stara Ochota,,7,10,,,,,,,,,,,,
644164330,2500,28.0,1,brak informacji,1,do zamieszkania,,,prywatny,,False,blok,,Ochota,Rakowiec,ul. Pruszkowska,0,4,,,,False,False,False,False,False,False,True,True,False
250164330,6400,56.0,2,miejskie,1,do zamieszkania,,,prywatny,2020,True,apartamentowiec,drewniane,Ochota,Stara Ochota,ul. Szczęśliwicka,2,6,True,True,True,True,True,False,False,False,False,False,False,False
438164330,4700,54.0,2,miejskie,1,do zamieszkania,,,prywatny,2018,False,apartamentowiec,drewniane,Ochota,Stara Ochota,ul. Szczęśliwicka,1,6,True,True,True,True,True,False,False,False,False,True,False,True
718164330,3500,30.0,2,miejskie,4,do zamieszkania,,,prywatny,1920,False,kamienica,plastikowe,Ochota,Stara Ochota,ul. Kaliska,0,4,True,False,False,False,False,False,False,True,False,True,False,False
486164330,3800,35.64,1,miejskie,800,do zamieszkania,,,biuro nieruchomości,1950,True,kamienica,plastikowe,Ochota,Stara Ochota,ul. Grójecka,3,5,False,True,True,True,True,False,False,False,False,True,False,False
533164330,25000,207.0,4,brak informacji,,do zamieszkania,,,biuro nieruchomości,,False,,,Ochota,Stara Ochota,ul. Kaliska,,,True,True,True,True,True,True,False,False,False,False,False,False
662164331,3150,25.0,1,miejskie,516,do zamieszkania,,,prywatny,1968,True,blok,plastikowe,Ochota,Stara Ochota,ul. Grójecka,10,10,,,,False,False,False,False,False,False,True,True,False
533164331,2290,20.0,1,miejskie,1,do zamieszkania,,,prywatny,2000,False,blok,plastikowe,Ochota,Szczęśliwice,ul. Włodarzewska,4,4,True,True,True,True,False,False,False,False,False,True,False,False
604164331,3600,46.5,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2025,True,blok,plastikowe,Ochota,Szczęśliwice,ul. Harfowa,2,3,False,True,True,True,True,False,False,False,False,False,False,False
784164331,7000,105.0,3,miejskie,2,do zamieszkania,,,biuro nieruchomości,1999,True,blok,,Ochota,Szczęśliwice,ul. Włodarzewska,2,3,False,True,True,True,True,False,False,False,False,False,False,False
936164331,4500,72.0,3,miejskie,,do zamieszkania,,,biuro nieruchomości,2012,True,blok,,Ochota,Stara Ochota,ul. Bitwy Warszawskiej 1920 r.,5,14,False,True,True,False,True,False,False,True,False,False,False,False
665164331,3700,35.0,2,brak informacji,250,brak informacji,,,biuro nieruchomości,2020,True,blok,,Ochota,Stara Ochota,ul. Siewierska,5,6,,,,True,True,False,False,False,True,False,False,False
836164331,8000,98.0,3,miejskie,,brak informacji,,,prywatny,1975,True,kamienica,plastikowe,Ochota,Stara Ochota,ul. Grójecka,6,6,True,False,False,False,False,False,False,False,True,True,False,True
377164331,3000,37.4,2,miejskie,650,do zamieszkania,,,biuro nieruchomości,1967,True,blok,plastikowe,Ochota,Stara Ochota,al. Aleje Jerozolimskie,,12,False,True,True,,,,,,,,,
833164331,5500,63.0,3,brak informacji,750,do zamieszkania,,,biuro nieruchomości,2001,True,apartamentowiec,,Ochota,Rakowiec,,2,,False,True,True,True,False,False,False,False,False,False,False,True
962164331,3700,46.0,2,miejskie,750,do zamieszkania,,,biuro nieruchomości,,False,blok,,Ochota,Rakowiec,ul. Józefa Siemieńskiego,0,3,,,,True,False,False,False,True,True,False,False,True
622164332,5200,46.0,3,brak informacji,520,do zamieszkania,,,biuro nieruchomości,1968,True,,,Ochota,Filtry,al. Aleje Jerozolimskie,6,8,,,,False,True,False,False,True,False,False,False,False
427164331,2300,19.9,1,brak informacji,400,do zamieszkania,,,biuro nieruchomości,1965,False,,,Ochota,Rakowiec,ul. Sanocka,6,10,,,,,,,,,,,,
464164332,4700,59.6,3,brak informacji,,do zamieszkania,,,biuro nieruchomości,,True,blok,,Ochota,Szczęśliwice,ul. Włodarzewska,0,3,,,,,,,,,,,,
195164332,2000,19.5,1,miejskie,550,do zamieszkania,,,prywatny,1984,False,blok,plastikowe,Ochota,Rakowiec,ul. Jasielska,0,10,,,,False,True,False,False,False,False,False,True,False
358164332,3800,55.3,2,miejskie,1,do zamieszkania,,,prywatny,1999,False,apartamentowiec,plastikowe,Ochota,Szczęśliwice,ul. Włodarzewska 57,1,4,True,True,True,False,True,True,True,True,False,False,False,False
971164332,3000,37.0,1,miejskie,,do zamieszkania,,,biuro nieruchomości,1953,False,blok,,Ochota,Szczęśliwice,ul. Stefana Bobrowskiego,0,3,,,,,,,,,,,,
717164332,3500,42.0,2,miejskie,700,do zamieszkania,,,biuro nieruchomości,,True,blok,plastikowe,Ochota,Rakowiec,ul. Władysława Korotyńskiego,7,,True,True,True,True,False,False,False,False,False,False,True,False
492164332,8500,120.0,5,brak informacji,0,do zamieszkania,,,biuro nieruchomości,2020,False,apartamentowiec,plastikowe,Włochy,Stare Włochy,ul. Budki Szczęśliwickie,0,2,True,True,True,True,True,True,True,False,False,False,False,False
708164332,6300,49.0,2,brak informacji,0,do zamieszkania,,,biuro nieruchomości,2024,True,blok,plastikowe,Włochy,Raków,ul. Instalatorów,8,8,True,True,True,True,True,False,False,False,False,False,True,False
133164332,3600,45.0,2,miejskie,650,do zamieszkania,,,prywatny,,False,blok,plastikowe,Ochota,Szczęśliwice,ul. Białobrzeska 9,2,4,,,,True,True,False,False,True,False,True,True,False
486164332,3150,56.0,2,miejskie,550,do zamieszkania,,,biuro nieruchomości,2002,True,apartamentowiec,plastikowe,Ochota,Szczęśliwice,ul. Włodarzewska,4,4,False,True,True,True,True,False,False,False,False,False,False,False
522164332,3200,58.0,2,brak informacji,1,brak informacji,,,biuro nieruchomości,1927,False,,,Ochota,Stara Ochota,ul. Maurycego Mochnackiego,4,4,,,,False,False,False,False,True,True,False,False,True
850164332,2690,24.0,1,miejskie,590,do zamieszkania,,,prywatny,2025,True,apartamentowiec,plastikowe,Włochy,Raków,ul. Instalatorów 7,2,6,True,True,True,False,True,False,False,False,False,True,True,False
477164332,3300,45.0,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2007,True,blok,plastikowe,Ochota,Szczęśliwice,ul. Włodarzewska,4,8,True,True,True,True,True,False,False,False,False,True,False,False
361164332,2950,26.0,1,miejskie,420,do zamieszkania,,,biuro nieruchomości,2010,True,apartamentowiec,plastikowe,Ochota,Szczęśliwice,ul. Grójecka,7,10,True,True,True,True,True,False,False,False,False,True,True,False
991164332,5500,82.0,3,miejskie,950,do zamieszkania,,,prywatny,2020,True,blok,drewniane,Ochota,Szczęśliwice,ul. Lirowa,3,6,True,True,True,True,True,False,False,False,False,True,False,False
175164332,4500,94.0,3,miejskie,1,do zamieszkania,,,prywatny,1938,True,kamienica,plastikowe,Ochota,Stara Ochota,ul. Radomska,2,4,,,,True,False,False,False,False,False,True,True,True
627164333,5800,87.0,3,miejskie,1,do zamieszkania,,,prywatny,1930,False,kamienica,plastikowe,Ochota,Stara Ochota,ul. Słupecka,1,3,True,False,False,True,False,False,False,False,False,False,True,True
574164333,3000,46.0,3,miejskie,750,do zamieszkania,,,biuro nieruchomości,1978,False,blok,,Ochota,Rakowiec,ul. Adolfa Pawińskiego,2,3,False,True,True,,,,,,,,,
471164333,2450,22.0,1,miejskie,650,do zamieszkania,,,biuro nieruchomości,,False,kamienica,plastikowe,Ochota,Stara Ochota,ul. Szczęśliwicka,1,4,,,,False,False,False,False,False,False,True,True,False
640164333,6600,66.0,3,miejskie,0,do zamieszkania,,,biuro nieruchomości,2019,True,blok,plastikowe,Ochota,Szczęśliwice,ul. Włodarzewska,1,3,True,True,True,True,True,False,False,False,False,False,True,False
789164333,6500,79.71,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2020,True,apartamentowiec,drewniane,Ochota,Szczęśliwice,ul. Lirowa,2,5,False,True,True,,,,,,,,,
554164333,3900,48.0,2,miejskie,900,do zamieszkania,,,prywatny,2012,True,blok,drewniane,Ochota,Szczęśliwice,ul. Włodarzewska,5,8,True,True,True,True,True,False,False,False,False,True,False,False
846164333,12700,150.0,5,miejskie,2,brak informacji,,,biuro nieruchomości,1935,True,,,Ochota,Filtry,ul. Filtrowa,2,4,,,,True,False,False,False,True,False,False,False,False
993164333,4900,67.0,3,miejskie,1,do zamieszkania,,,prywatny,2011,True,blok,plastikowe,Ochota,Szczęśliwice,ul. Bitwy Warszawskiej 1920 r.,3,11,True,True,True,True,True,False,False,True,False,False,False,False
392164333,2500,35.0,1,miejskie,600,do zamieszkania,,,prywatny,2015,True,apartamentowiec,plastikowe,Ochota,Rakowiec,ul. Walentego Skorochód-Majewskiego 9,6,8,True,True,True,True,True,False,False,False,False,True,True,True
938164333,3300,25.0,2,miejskie,450,do zamieszkania,,,prywatny,1966,False,kamienica,plastikowe,Ochota,Rakowiec,ul. Gorlicka,3,4,,,,,,,,,,,,
691164333,3000,25.0,2,miejskie,450,do zamieszkania,,,prywatny,1966,False,kamienica,plastikowe,Ochota,Rakowiec,ul. Gorlicka,3,4,,,,False,False,False,False,False,True,False,True,False
111164333,3300,38.0,2,brak informacji,0,brak informacji,,,biuro nieruchomości,1970,True,blok,,Ochota,Stara Ochota,al. Aleje Jerozolimskie,6,10,,,,,,,,,,,,
312164333,5500,79.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2007,True,blok,,Ochota,Szczęśliwice,ul. Drawska,1,3,True,True,True,True,False,False,False,False,False,False,True,False
378164333,3550,52.0,2,miejskie,571,do zamieszkania,,,prywatny,2011,True,apartamentowiec,drewniane,Ochota,Szczęśliwice,ul. Grójecka,5,9,True,True,True,True,False,False,True,False,False,False,True,True
145164333,3300,38.0,2,brak informacji,700,brak informacji,,,prywatny,,True,,plastikowe,Ochota,Filtry,ul. Nowogrodzka,3,,,,,,,,,,,,,
285164333,2100,14.0,1,miejskie,450,do zamieszkania,,,biuro nieruchomości,,True,kamienica,plastikowe,Ochota,Stara Ochota,ul. Bitwy Warszawskiej 1920 r.,,,,,,,,,,,,,,
268164334,5600,87.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2003,True,apartamentowiec,plastikowe,Ochota,Rakowiec,ul. Władysława Korotyńskiego,3,8,True,True,True,True,True,False,False,False,False,False,False,False
889164333,2300,17.0,1,miejskie,480,do zamieszkania,,,biuro nieruchomości,,True,blok,plastikowe,Ochota,Stara Ochota,ul. Bitwy Warszawskiej 1920 r.,3,,False,True,True,False,False,False,False,False,True,True,False,False
503164334,2700,21.0,1,brak informacji,300,brak informacji,,,biuro nieruchomości,1931,False,,,Śródmieście,Śródmieście Południowe,al. Aleja Niepodległości,3,5,,,,,,,,,,,,
606164334,3000,24.0,1,brak informacji,300,brak informacji,,,biuro nieruchomości,1931,False,,,Śródmieście,Śródmieście Południowe,al. Aleja Niepodległości,3,5,,,,,,,,,,,,
666164334,2600,19.0,1,brak informacji,300,brak informacji,,,biuro nieruchomości,1931,False,,,Śródmieście,Śródmieście Południowe,al. Aleja Niepodległości,3,5,,,,,,,,,,,,
763164334,3500,53.0,2,brak informacji,950,brak informacji,,,biuro nieruchomości,2016,True,blok,,Ochota,Szczęśliwice,,1,,False,True,True,,,,,,,,,
209164334,5800,85.95,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2003,True,apartamentowiec,drewniane,Ochota,Rakowiec,ul. Władysława Korotyńskiego,4,8,True,True,True,True,True,False,False,False,False,False,False,False
