id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
458183017,2900,28.0,1,miejskie,600,do zamieszkania,,,prywatny,2020,True,blok,plastikowe,Praga-Północ,Stara Praga,ul. Wrzesińska,6,8,False,True,True,,,,,,,,,
381183017,2950,47.56,2,miejskie,780,do zamieszkania,,,prywatny,2003,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,ul. Środkowa,1,6,True,True,True,True,True,False,False,False,False,False,False,False
811183017,2800,37.0,2,miejskie,1,do zamieszkania,,,prywatny,,True,apartamentowiec,plastikowe,Praga-Północ,Pelcowizna,ul. Aleksandra Kotsisa,3,,,,,True,True,False,False,False,False,True,True,False
653183017,2800,37.7,1,miejskie,1,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,,1,3,False,True,True,,,,,,,,,
927183017,2640,36.22,1,miejskie,1,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,,2,3,False,True,True,,,,,,,,,
564183017,2520,40.29,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,,1,3,False,True,True,,,,,,,,,
988183017,2340,32.66,1,miejskie,1,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,,1,3,False,True,True,,,,,,,,,
324183017,2330,33.03,1,miejskie,1,do zamieszkania,,,biuro nieruchomości,2024,True,,drewniane,Praga-Północ,Nowa Praga,,3,3,False,True,True,,,,,,,,,
772183017,2690,31.42,1,miejskie,1,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,,6,6,False,True,True,True,True,False,False,False,False,False,False,False
253183017,2580,31.53,1,miejskie,1,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,,2,3,False,True,True,,,,,,,,,
455183017,3380,58.0,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2015,True,apartamentowiec,plastikowe,Praga-Północ,Szmulowizna,ul. Markowska,1,5,False,True,True,,,,,,,,,
137183017,2550,35.89,1,miejskie,1,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,,2,3,False,True,True,,,,,,,,,
377183017,2100,29.0,1,miejskie,600,do zamieszkania,,,prywatny,,False,blok,plastikowe,Praga-Północ,Nowa Praga,ul. Stefana Starzyńskiego,4,6,True,False,False,,,,,,,,,
