id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
645181758,3200,36.0,2,miejskie,650,do zamieszkania,,,prywatny,2022,True,blok,plastikowe,Praga-Południe,Gocławek,ul. Pustelnicka,3,4,True,True,True,True,False,False,False,False,False,False,True,False
973181759,2000,28.0,1,brak informacji,800,brak informacji,,,prywatny,,True,blok,,Praga-Południe,Grochów,ul. Giuseppe Garibaldiego,4,6,False,True,True,,,,,,,,,
239181759,2900,29.0,1,miejskie,550,do zamieszkania,,,prywatny,2024,True,apartamentowiec,plastikowe,Praga-Południe,Grochów,ul. Grochowska,1,5,True,False,False,True,False,False,False,False,False,True,True,False
550181758,2450,26.31,1,brak informacji,590,do zamieszkania,,,prywatny,2021,True,blok,plastikowe,Praga-Południe,Grochów,ul. Żupnicza,1,4,True,True,True,True,False,False,False,False,False,True,False,False
386181759,4700,54.0,3,miejskie,990,do zamieszkania,,,prywatny,2025,True,apartamentowiec,,Praga-Południe,Grochów,,1,5,False,True,True,True,True,True,False,False,False,True,False,False
874181759,4000,62.0,3,miejskie,1,do zamieszkania,,,prywatny,,False,blok,plastikowe,Praga-Południe,Gocław,ul. Ostrobramska,3,8,,,,,,,,,,,,
754181759,18000,240.0,5,gazowe,0,do zamieszkania,,,prywatny,2002,False,kamienica,plastikowe,Praga-Południe,Saska Kępa,,3,3,True,True,True,True,False,True,False,False,False,False,False,False
541181759,2200,22.5,1,miejskie,450,do zamieszkania,,,prywatny,,False,blok,plastikowe,Praga-Południe,Gocław,ul. Ostrobramska,4,4,,,,True,False,False,False,False,False,True,True,True
603181759,2600,33.75,1,miejskie,650,do zamieszkania,,,biuro nieruchomości,2023,True,blok,plastikowe,Praga-Południe,Grochów,ul. Łukiska,1,4,True,True,True,True,False,False,False,False,False,False,True,False
251181759,2800,29.0,1,brak informacji,500,do zamieszkania,,,prywatny,2016,True,apartamentowiec,,Praga-Południe,Grochów,ul. Grochowska,8,8,True,True,True,True,False,False,False,False,False,True,False,False
