id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
857162128,4000,38.0,3,miejskie,990,do zamieszkania,,,prywatny,,True,blok,plastikowe,Śródmieście,Śródmieście Południowe,pl. Plac Na Rozdrożu,2,8,,,,True,False,False,False,False,False,True,True,False
121162128,8000,89.0,3,miejskie,1,do zamieszkania,,,prywatny,2004,True,blok,plastikowe,Śródmieście,Śródmieście Północne,ul. Orla,2,6,False,True,True,True,True,True,False,False,True,False,False,True
370162128,2400,20.0,1,brak informacji,500,brak informacji,,,prywatny,,True,blok,plastikowe,Śródmieście,Śródmieście Północne,ul. Chmielna,,,,,,False,False,False,False,False,False,False,True,True
887162128,7500,65.87,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,,False,kamienica,,Śródmieście,Solec,ul. Leona Kruczkowskiego,0,5,False,True,True,False,False,False,False,True,True,False,False,True
616162128,8000,83.53,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,,True,kamienica,plastikowe,Śródmieście,Śródmieście Południowe,ul. Mokotowska,4,5,,,,False,True,False,False,True,False,False,False,False
182162128,3200,37.5,2,miejskie,895,do zamieszkania,,,biuro nieruchomości,1973,True,blok,plastikowe,Śródmieście,Solec,ul. Górnośląska,1,8,False,True,True,True,False,False,False,True,False,False,False,False
304162128,4750,46.0,3,miejskie,940,brak informacji,,,prywatny,,True,,plastikowe,Śródmieście,Śródmieście Południowe,ul. Wspólna,,,True,True,True,False,False,False,True,False,False,True,True,True
434162128,5500,40.0,2,brak informacji,607,brak informacji,,,biuro nieruchomości,,False,,,Śródmieście,Powiśle,ul. Leszczyńska,1,5,,,,False,True,False,True,False,True,False,False,False
130162128,12000,82.0,3,miejskie,,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,drewniane,Śródmieście,Śródmieście Północne,ul. Wojciecha Górskiego,5,8,True,True,True,True,True,True,False,False,True,False,False,True
476162128,6600,62.0,3,miejskie,1,do zamieszkania,,,prywatny,2017,True,apartamentowiec,plastikowe,Śródmieście,Muranów,ul. Zygmunta Słomińskiego,,17,True,True,True,True,True,True,False,False,True,True,True,True
136162128,18500,167.0,5,miejskie,2,do zamieszkania,,,biuro nieruchomości,1910,True,kamienica,drewniane,Śródmieście,Stare Miasto,,3,4,False,True,True,False,True,False,False,True,False,False,False,True
962162128,4500,65.0,2,miejskie,,do zamieszkania,,,biuro nieruchomości,1952,True,kamienica,,Śródmieście,Śródmieście Południowe,ul. Wilcza,2,4,,,,,,,,,,,,
775162129,10900,85.0,3,miejskie,1,do zamieszkania,,,prywatny,1935,False,kamienica,plastikowe,Śródmieście,Powiśle,ul. Juliana Smulikowskiego,1,3,,,,True,False,False,False,True,False,False,False,False
512162129,4400,45.0,2,miejskie,800,do zamieszkania,,,biuro nieruchomości,2003,True,blok,,Śródmieście,Śródmieście Północne,ul. Elektoralna,1,6,True,True,True,True,True,False,False,True,False,False,False,False
409162129,2900,26.0,1,miejskie,700,do zamieszkania,,,biuro nieruchomości,2023,True,blok,drewniane,Śródmieście,Muranów,ul. Kłopot,4,10,True,True,True,True,False,False,False,False,False,False,True,True
135162129,2590,35.0,1,miejskie,550,do zamieszkania,,,prywatny,2004,True,apartamentowiec,drewniane,Śródmieście,Śródmieście Północne,ul. Orla,8,9,False,True,True,False,False,False,False,False,False,True,True,True
116162129,2800,30.0,2,miejskie,650,do zamieszkania,,,prywatny,,False,blok,,Śródmieście,Powiśle,ul. Solec,0,7,True,False,False,False,False,False,False,True,False,True,False,True
985162129,11000,125.0,4,brak informacji,0,brak informacji,,,biuro nieruchomości,,False,,,Śródmieście,Śródmieście Północne,ul. Królewska,4,5,,,,,,,,,,,,
724162129,6500,61.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2020,True,apartamentowiec,drewniane,Śródmieście,Muranów,ul. Kłopot,10,11,True,True,True,False,True,True,False,False,True,True,False,False
567162129,7000,61.8,2,brak informacji,0,do zamieszkania,,,biuro nieruchomości,2010,False,,,Śródmieście,Śródmieście Południowe,ul. Wspólna,0,4,,,,,,,,,,,,
630162129,4800,64.0,2,miejskie,750,do zamieszkania,,,biuro nieruchomości,1970,True,plomba,plastikowe,Śródmieście,Śródmieście Południowe,ul. Hoża,3,,,,,,,,,,,,,
487162129,10000,65.0,3,miejskie,2,do zamieszkania,,,prywatny,2012,True,apartamentowiec,aluminiowe,Śródmieście,Śródmieście Północne,ul. Mikołaja Kopernika,2,5,True,True,True,True,True,True,True,True,False,False,False,True
809162129,3000,50.0,2,brak informacji,800,do zamieszkania,,,biuro nieruchomości,1960,False,kamienica,,Śródmieście,Muranów,ul. Długa,4,4,,,,True,True,False,False,True,False,False,False,True
975162129,8400,121.0,4,miejskie,,do zamieszkania,,,biuro nieruchomości,,True,apartamentowiec,,Śródmieście,Muranów,ul. Zygmunta Słomińskiego,,,True,True,True,True,True,False,False,False,False,False,True,False
560162129,4800,122.89,5,miejskie,2,do zamieszkania,,,biuro nieruchomości,1938,True,kamienica,plastikowe,Mokotów,Stary Mokotów,ul. Tadeusza Boya-Żeleńskiego,2,5,,,,,,,,,,,,
357162129,4300,56.0,2,miejskie,950,do zamieszkania,,,biuro nieruchomości,1939,False,kamienica,plastikowe,Śródmieście,Śródmieście Południowe,,2,4,,,,,,,,,,,,
311162129,20000,107.0,3,brak informacji,2,do zamieszkania,,,biuro nieruchomości,2011,False,,drewniane,Śródmieście,Śródmieście Północne,ul. Grzybowska,8,17,,,,True,True,False,False,False,True,False,False,False
706162130,28000,100.0,3,miejskie,0,brak informacji,,,biuro nieruchomości,2017,True,blok,aluminiowe,Śródmieście,Śródmieście Północne,ul. Złota,,52,True,True,True,False,True,False,False,True,False,False,False,False
818162130,27000,125.0,3,brak informacji,2,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,,Śródmieście,Śródmieście Północne,ul. Złota,,,False,True,True,,,,,,,,,
652162130,4500,50.5,2,miejskie,920,do zamieszkania,,,prywatny,2019,True,blok,aluminiowe,Śródmieście,Muranów,,10,11,False,True,True,True,True,False,False,False,False,True,True,True
380162130,3000,36.0,2,miejskie,600,do zamieszkania,,,prywatny,1974,True,blok,plastikowe,Śródmieście,Śródmieście Północne,ul. Bagno,6,15,,,,True,False,False,False,False,False,False,True,True
326162130,14000,100.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2012,True,apartamentowiec,,Śródmieście,Powiśle,ul. Leszczyńska,6,6,True,True,True,True,True,False,False,False,False,False,False,False
620162130,3500,39.0,2,miejskie,0,do zamieszkania,,,biuro nieruchomości,,True,blok,plastikowe,Śródmieście,Śródmieście Północne,,,15,False,True,True,,,,,,,,,
455162130,3500,28.0,1,miejskie,620,do zamieszkania,,,prywatny,2017,True,apartamentowiec,,Śródmieście,Solec,ul. Mieczysława Orłowicza,3,,False,True,True,,,,,,,,,
918162130,3100,19.0,1,miejskie,550,do zamieszkania,,,prywatny,,False,kamienica,plastikowe,Śródmieście,Śródmieście Północne,ul. Nowy Świat,2,3,,,,,,,,,,,,
887162130,25000,92.0,3,brak informacji,3,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,,Śródmieście,Śródmieście Północne,ul. Złota,,,False,True,True,,,,,,,,,
701162130,22000,100.0,2,miejskie,1,brak informacji,,,biuro nieruchomości,2017,True,blok,aluminiowe,Śródmieście,Śródmieście Północne,ul. Złota,,52,True,True,True,False,True,False,False,True,False,False,False,False
166162130,29000,125.0,3,miejskie,2,brak informacji,,,biuro nieruchomości,2017,True,blok,aluminiowe,Śródmieście,Śródmieście Północne,ul. Złota,,52,True,True,True,False,True,False,False,True,False,False,False,False
976162130,3800,33.0,2,miejskie,850,do zamieszkania,,,biuro nieruchomości,2021,False,apartamentowiec,plastikowe,Śródmieście,Muranów,,4,6,False,True,True,,,,,,,,,
747162131,30300,171.4,3,miejskie,0,brak informacji,,,biuro nieruchomości,2007,True,apartamentowiec,plastikowe,Śródmieście,Śródmieście Północne,ul. Złota,,52,True,True,True,,,,,,,,,
307162131,29100,133.8,3,miejskie,0,do zamieszkania,,,biuro nieruchomości,2013,True,apartamentowiec,plastikowe,Śródmieście,Śródmieście Północne,ul. Złota,,52,True,True,True,,,,,,,,,
281162131,3500,38.0,2,miejskie,700,do zamieszkania,,,prywatny,1965,True,blok,plastikowe,Śródmieście,Solec,ul. Ludna,6,,False,True,True,True,False,False,False,False,True,True,False,True
228162131,29100,134.0,3,brak informacji,,brak informacji,,,biuro nieruchomości,,False,apartamentowiec,,Śródmieście,Śródmieście Północne,ul. Złota,,52,,,,,,,,,,,,
312162131,30300,171.0,3,brak informacji,,brak informacji,,,biuro nieruchomości,,False,apartamentowiec,,Śródmieście,Śródmieście Północne,ul. Złota,,,,,,,,,,,,,,
358162131,5000,62.41,2,miejskie,1,do zamieszkania,,,prywatny,,True,blok,plastikowe,Śródmieście,Śródmieście Północne,ul. Ptasia,4,5,True,True,True,True,True,False,False,False,False,True,False,False
706162131,17000,107.0,4,brak informacji,0,do zamieszkania,,,biuro nieruchomości,2009,False,,,Śródmieście,Śródmieście Północne,ul. Grzybowska,3,7,,,,,,,,,,,,
151162131,7500,84.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,,True,apartamentowiec,plastikowe,Śródmieście,Śródmieście Południowe,ul. Piękna,1,6,True,False,False,True,True,False,False,False,False,False,False,False
812162131,12000,107.0,3,miejskie,2,do zamieszkania,,,biuro nieruchomości,2008,True,apartamentowiec,,Śródmieście,Śródmieście Północne,,7,17,,,,True,True,False,False,False,False,False,False,False
546162131,2900,28.0,1,brak informacji,0,brak informacji,,,biuro nieruchomości,,True,,,Śródmieście,Śródmieście Północne,ul. Bagno,2,10,,,,,,,,,,,,
887162131,3600,42.0,2,miejskie,630,do zamieszkania,,,prywatny,1968,True,blok,plastikowe,Śródmieście,Śródmieście Południowe,,6,7,True,True,True,False,False,False,False,False,False,True,True,True
686162131,15000,105.97,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,,True,apartamentowiec,drewniane,Śródmieście,Muranów,ul. Stawki,6,17,True,True,True,True,True,False,False,False,True,False,False,True
350162131,8000,113.6,4,miejskie,2,do zamieszkania,,,biuro nieruchomości,1994,True,blok,plastikowe,Śródmieście,Muranów,ul. Dzika,6,8,False,True,True,True,True,False,False,False,False,False,False,False
990162131,3800,50.56,2,miejskie,885,do zamieszkania,,,biuro nieruchomości,1957,False,blok,plastikowe,Śródmieście,Ujazdów,ul. 29 Listopada,1,3,,,,True,False,False,False,True,False,False,False,True
366162131,3200,20.0,1,miejskie,0,do zamieszkania,,,prywatny,2025,False,apartamentowiec,aluminiowe,Śródmieście,Nowe Miasto,ul. Wenedów,4,4,False,True,True,False,True,True,False,False,False,False,True,False
643162132,7900,80.0,4,brak informacji,1,do zamieszkania,,,biuro nieruchomości,,False,,,Śródmieście,Śródmieście Południowe,pl. Plac Konstytucji,6,6,,,,,,,,,,,,
889162132,27990,311.0,10,brak informacji,,brak informacji,,,biuro nieruchomości,1951,False,,,Śródmieście,Stare Miasto,ul. Miodowa,3,4,,,,,,,,,,,,
788162132,5000,64.0,3,miejskie,0,do zamieszkania,,,biuro nieruchomości,1960,True,blok,,Śródmieście,Śródmieście Południowe,ul. Marszałkowska,3,5,True,False,False,True,False,True,False,False,False,False,False,True
558162132,14500,157.0,7,brak informacji,2,brak informacji,,,biuro nieruchomości,,True,,,Śródmieście,Ujazdów,ul. Bagatela,5,6,,,,,,,,,,,,
538162132,14000,107.0,4,brak informacji,2,brak informacji,,,biuro nieruchomości,2008,True,apartamentowiec,drewniane,Śródmieście,Śródmieście Południowe,ul. Piękna,4,6,False,True,True,True,True,False,False,True,False,False,False,False
913162132,6000,104.5,3,miejskie,2,do zamieszkania,,,biuro nieruchomości,2007,True,apartamentowiec,drewniane,Śródmieście,Muranów,ul. Zygmunta Słomińskiego,4,10,True,True,True,False,True,False,False,False,False,True,False,True
336162132,4000,49.0,2,miejskie,880,do zamieszkania,,,prywatny,1956,False,kamienica,plastikowe,Śródmieście,Muranów,ul. gen. Władysława Andersa,1,4,,,,False,False,False,False,True,False,True,True,True
294162132,3900,52.0,2,miejskie,852,do zamieszkania,,,prywatny,,True,blok,plastikowe,Śródmieście,Śródmieście Północne,"al. Aleja ""Solidarności""",2,,True,False,False,True,True,False,False,False,False,False,True,False
701162132,5510,61.54,1,miejskie,920,do zamieszkania,,,biuro nieruchomości,2024,True,kamienica,,Śródmieście,Śródmieście Południowe,ul. św. Barbary,3,5,True,True,True,,,,,,,,,
983162132,7500,70.0,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2016,True,apartamentowiec,,Śródmieście,Solec,ul. Leona Kruczkowskiego,5,6,,,,True,False,True,False,False,False,False,False,False
523162132,3500,50.0,2,miejskie,852,do zamieszkania,,,prywatny,1957,True,kamienica,,Śródmieście,Śródmieście Południowe,al. Aleja Wyzwolenia,2,6,,,,True,False,False,False,True,False,False,True,True
664162133,6000,65.0,3,miejskie,800,do zamieszkania,,,biuro nieruchomości,1952,True,blok,plastikowe,Śródmieście,Śródmieście Południowe,ul. Tadeusza Boya-Żeleńskiego,1,6,False,True,True,True,True,False,False,False,False,False,False,False
154162132,4490,55.0,2,miejskie,1,do zamieszkania,,,prywatny,1913,True,kamienica,drewniane,Śródmieście,Śródmieście Południowe,ul. Polna,3,7,,,,,,,,,,,,
566162132,4000,45.0,2,miejskie,,do zamieszkania,,,biuro nieruchomości,2004,True,apartamentowiec,,Śródmieście,Śródmieście Południowe,al. Aleja Jana Chrystiana Szucha,4,6,False,True,True,True,True,False,False,False,False,False,False,False
