id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
664092558,3200,32.0,3,brak informacji,,do zamieszkania,,,prywatny,,True,apartamentowiec,,Ursus,Szamoty,ul. Edwarda Habicha,,,False,True,True,True,True,False,False,False,False,False,False,True
954092558,2400,35.0,1,miejskie,800,do zamieszkania,,,prywatny,1985,False,blok,plastikowe,Ursus,Skorosze,ul. Zakątek,0,6,,,,False,False,False,False,False,True,False,True,False
487092558,3000,50.0,2,miejskie,950,do zamieszkania,,,prywatny,2004,True,blok,plastikowe,Ursus,Skorosze,ul. Dzieci Warszawy,5,7,True,True,True,True,True,False,False,False,False,True,True,True
436092558,3600,40.91,2,miejskie,700,do zamieszkania,,,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Ursus,Szamoty,ul. Herbu Oksza,7,7,True,True,True,True,True,False,False,False,False,False,False,False
162092558,4400,82.0,4,brak informacji,800,do zamieszkania,,,prywatny,,True,blok,,Ursus,Czechowice,,2,,,,,True,True,False,False,False,False,True,False,True
917092558,3000,24.0,1,miejskie,,do zamieszkania,,,prywatny,,False,blok,,Ursus,Skorosze,ul. Obrońców Helu,1,4,,,,True,False,False,False,False,False,False,True,False
895092558,3200,43.0,2,miejskie,700,do zamieszkania,,,prywatny,,True,apartamentowiec,plastikowe,Ursus,Szamoty,,2,4,,,,True,True,False,False,False,False,True,False,False
161092558,3200,39.5,2,miejskie,800,do zamieszkania,,,prywatny,2022,True,apartamentowiec,plastikowe,Ursus,Szamoty,ul. Edwarda Habicha,6,7,True,True,True,True,True,False,False,True,False,True,False,False
700092558,2800,55.0,2,kotłownia,899,do zamieszkania,,,prywatny,2002,True,blok,drewniane,Włochy,Stare Włochy,ul. Zapustna,4,4,True,False,False,True,True,False,False,False,False,True,False,True
198092559,3400,39.67,2,miejskie,400,do zamieszkania,,,prywatny,,False,blok,plastikowe,Ursus,Niedźwiadek,,1,,,,,True,False,False,False,False,False,True,True,False
558092559,4100,60.0,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2014,True,apartamentowiec,,Ursus,Czechowice,,2,10,True,True,True,True,True,False,False,False,False,False,True,True
231092559,3300,38.0,2,brak informacji,750,do zamieszkania,,,prywatny,2023,True,blok,,Ursus,Szamoty,ul. Edwarda Habicha,7,8,True,True,True,True,True,False,False,False,False,True,False,False
638092559,3500,55.0,2,miejskie,800,do zamieszkania,,,prywatny,2017,True,blok,plastikowe,Ursus,Skorosze,ul. Starodęby,6,8,True,True,True,True,True,False,False,False,False,False,True,False
891092559,3500,51.0,2,kotłownia,820,do zamieszkania,,,prywatny,2020,False,blok,plastikowe,Ursus,Czechowice,"ul. Kompanii AK ""Kordian""",1,2,True,True,True,True,True,False,False,False,False,True,False,True
331092559,3800,41.0,3,gazowe,3,do zamieszkania,,,prywatny,,True,apartamentowiec,,Ursus,Czechowice,"ul. Kompanii AK ""Kordian""",2,7,,,,True,True,False,False,False,False,False,False,True
290092559,2890,30.0,2,miejskie,660,do zamieszkania,,,prywatny,2021,True,apartamentowiec,plastikowe,Ursus,Szamoty,ul. Herbu Oksza,2,6,False,True,True,False,False,False,False,False,False,True,True,True
695092559,2700,35.0,2,brak informacji,650,brak informacji,,,prywatny,,True,blok,,Ursus,Szamoty,ul. Herbu Oksza,1,,,,,True,True,False,False,False,False,False,False,False
843092559,5600,75.6,4,brak informacji,830,do zamieszkania,,,prywatny,2004,True,blok,,Ursus,Skorosze,ul. Józefa Chełmońskiego,1,,True,True,True,True,True,False,False,False,False,False,False,False
