id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
348093453,5000,95.0,4,brak informacji,1,do zamieszkania,,,prywatny,,True,,,Ursynów,Stary Imielin,ul. Pustułeczki,2,3,True,False,False,True,True,False,False,True,False,False,False,False
531093453,4900,52.8,3,miejskie,,do zamieszkania,,,prywatny,,True,blok,plastikowe,Ursynów,Natolin,ul. Na Uboczu 16,1,10,,,,True,False,False,False,False,False,False,True,True
521093453,3000,45.0,2,gazowe,800,do zamieszkania,,,prywatny,1986,False,blok,plastikowe,Ursynów,Natolin,ul. Na Uboczu,1,4,,,,True,False,False,False,True,False,False,False,True
630093453,2500,35.0,1,miejskie,650,do zamieszkania,,,biuro nieruchomości,2006,True,apartamentowiec,,Mokotów,Stegny,al. Aleja Wilanowska,3,5,True,True,True,True,False,True,False,False,False,False,True,True
857093454,4500,76.1,3,miejskie,940,do zamieszkania,,,biuro nieruchomości,1996,False,apartamentowiec,,Ursynów,Natolin,ul. Pachnąca 81,2,3,False,True,True,False,True,True,False,False,False,False,False,True
709093454,4200,42.0,2,miejskie,520,do zamieszkania,,,prywatny,2025,True,blok,plastikowe,Ursynów,Ursynów-Centrum,,2,6,False,True,True,True,True,False,False,False,False,False,True,False
956093454,4400,83.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2002,True,apartamentowiec,plastikowe,Mokotów,Stegny,al. Aleja Wilanowska,4,8,True,True,True,True,True,True,False,False,False,False,True,False
769093454,4000,56.0,2,miejskie,,do zamieszkania,,,prywatny,,True,blok,plastikowe,Ursynów,Natolin,al. Aleja Komisji Edukacji Narodowej,7,15,True,True,True,True,True,False,False,False,False,True,False,False
723093454,3000,48.57,2,inne,820,brak informacji,,,biuro nieruchomości,2008,False,blok,plastikowe,Ursynów,Natolin,ul. Nowoursynowska,0,4,True,False,False,,,,,,,,,
316093454,3600,65.0,3,miejskie,1,do zamieszkania,,,prywatny,1992,False,blok,plastikowe,Ursynów,Ursynów Północny,ul. Okaryny,1,3,False,True,True,True,True,False,False,False,False,False,True,True
