id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
917094700,4000,60.0,3,miejskie,1,do zamieszkania,,,prywatny,2021,True,blok,plastikowe,Praga-Południe,Gocław,ul. Floriana Znanieckiego,3,5,True,True,True,True,True,False,False,False,False,True,False,False
772094700,3200,50.6,2,miejskie,904,do zamieszkania,,,prywatny,2024,True,blok,plastikowe,Wawer,Międzylesie,ul. Mieczysława Pożaryskiego,2,4,False,True,True,True,True,False,False,False,False,True,False,False
358094701,2900,40.0,2,brak informacji,,do zamieszkania,,,prywatny,,False,,,Wawer,Zerzeń,ul. Wał Miedzeszyński,0,2,,,,False,True,False,True,False,False,False,False,False
694094700,4000,60.0,3,miejskie,1,do zamieszkania,,,prywatny,2021,True,blok,plastikowe,Praga-Południe,Gocław,ul. Floriana Znanieckiego,3,5,True,True,True,True,True,False,False,False,False,True,False,False
809094700,1770,13.0,1,miejskie,430,brak informacji,,,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Wawer,Marysin Wawerski,,1,5,False,True,True,,,,,,,,,
104094700,1750,13.0,1,miejskie,400,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,,Wawer,Marysin Wawerski,,1,5,False,True,True,,,,,,,,,
142094700,1650,19.0,1,miejskie,470,do zamieszkania,,,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Wawer,Marysin Wawerski,,1,5,False,True,True,False,True,True,False,False,False,False,False,False
561094700,2050,19.0,1,miejskie,520,brak informacji,,,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Wawer,Marysin Wawerski,,3,5,False,True,True,,,,,,,,,
629094700,2850,35.0,2,miejskie,,brak informacji,,,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Wawer,Marysin Wawerski,,1,5,False,True,True,,,,,,,,,
719094700,7400,140.0,4,gazowe,250,do zamieszkania,,,biuro nieruchomości,2023,False,,,Wawer,Zerzeń,ul. Wodniaków,1,2,True,False,False,True,True,False,False,False,False,False,False,False
