id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
470102629,2800,55.0,2,gazowe,,do zamieszkania,,,prywatny,,False,,plastikowe,Wesoła,Wesoła-Centrum,ul. Jana Kilińskiego,0,2,True,False,False,False,False,False,True,False,True,False,True,False
461102629,4000,62.0,3,kotłownia,1,do zamieszkania,,,prywatny,2006,True,blok,plastikowe,Wesoła,Stara Miłosna,,3,3,True,True,True,True,True,False,False,False,True,False,True,False
449102629,3900,40.0,2,brak informacji,850,do zamieszkania,,,prywatny,,True,blok,,Wesoła,Stara Miłosna,,,15,,,,,,,,,,,,
176102629,2800,55.0,2,gazowe,,do zamieszkania,,,prywatny,,False,,plastikowe,Wesoła,Wesoła-Centrum,ul. Jana Kilińskiego,0,2,True,False,False,False,False,False,True,False,True,False,True,False
856102630,3900,80.0,3,gazowe,600,brak informacji,,,prywatny,,False,apartamentowiec,plastikowe,Wesoła,Stara Miłosna,ul. Rumiankowa,0,,,,,True,True,True,True,False,False,False,False,True
605102629,2590,27.0,2,miejskie,,do zamieszkania,,,prywatny,,True,blok,plastikowe,Wesoła,Stara Miłosna,,1,3,True,True,True,True,True,True,False,True,False,False,False,True
915102629,4000,62.0,3,kotłownia,1,do zamieszkania,,,prywatny,2006,True,blok,plastikowe,Wesoła,Stara Miłosna,,3,3,True,True,True,True,True,False,False,False,True,False,True,False
179102630,4000,54.0,2,miejskie,1,brak informacji,,,biuro nieruchomości,2001,True,apartamentowiec,plastikowe,Wesoła,Stara Miłosna,,8,18,,,,True,True,False,False,False,False,False,False,True
946102629,3900,40.0,2,brak informacji,850,do zamieszkania,,,prywatny,,True,blok,,Wesoła,Stara Miłosna,,,15,,,,,,,,,,,,
779102630,4000,64.0,3,miejskie,1,do zamieszkania,,,prywatny,,True,blok,plastikowe,Wesoła,Stara Miłosna,ul. Mazowiecka,2,3,True,True,True,True,False,False,False,False,False,True,False,True
