id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
335102856,9500,97.0,3,gazowe,2,do zamieszkania,,,prywatny,2005,True,apartamentowiec,drewniane,Wilanów,Wilanów Niski,,1,2,True,True,True,True,True,True,False,False,False,True,False,False
432102856,6900,75.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2008,True,,plastikowe,Wilanów,Błonia Wilanowskie,ul. Sarmacka,1,4,True,True,True,True,False,True,False,False,False,False,False,True
613102856,4900,100.0,3,gazowe,500,do zamieszkania,,,prywatny,2003,False,dom wolnostojący,drewniane,Wilanów,Wilanów Niski,ul. Chorągwi Pancernej,2,2,True,False,False,False,True,False,False,False,False,False,False,True
401102856,4650,62.0,4,miejskie,1,do zamieszkania,,,biuro nieruchomości,2009,False,blok,,Wilanów,Zawady,ul. Syta,2,3,True,True,True,,,,,,,,,
567102856,6300,76.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2011,True,apartamentowiec,drewniane,Wilanów,Błonia Wilanowskie,,0,4,False,True,True,,,,,,,,,
459102856,4800,38.0,2,miejskie,1,do zamieszkania,,,biuro nieruchomości,2007,True,blok,drewniane,Wilanów,Błonia Wilanowskie,ul. Krzysztofa Kieślowskiego,3,4,True,True,True,True,True,False,False,False,False,True,False,False
976102856,4200,53.0,2,brak informacji,,do zamieszkania,,,prywatny,,True,apartamentowiec,,Wilanów,Błonia Wilanowskie,ul. Sarmacka,3,3,True,True,True,True,False,False,False,False,False,True,False,True
189102856,7000,80.0,3,gazowe,800,do zamieszkania,,,biuro nieruchomości,2012,False,apartamentowiec,,Wilanów,Zawady,ul. Dostatnia,1,2,True,True,True,True,True,False,False,False,True,False,False,False
848102856,3000,48.57,2,inne,820,brak informacji,,,biuro nieruchomości,2008,False,blok,plastikowe,Ursynów,Natolin,ul. Nowoursynowska,0,4,True,False,False,,,,,,,,,
534102857,3390,62.0,2,miejskie,1,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,plastikowe,Wilanów,Błonia Wilanowskie,ul. Sarmacka,0,,True,True,True,True,True,True,True,False,False,False,False,False
