id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
963110236,3600,45.0,2,brak informacji,890,do zamieszkania,,,prywatny,2023,False,blok,,Włochy,Raków,ul. Instalatorów,1,,,,,,,,,,,,,
347110236,2600,20.0,1,miejskie,500,do zamieszkania,,,prywatny,2022,True,apartamentowiec,drewniane,Włochy,Stare Włochy,Wiktoryn,7,8,True,True,True,True,False,False,False,False,False,False,True,False
672110236,3500,35.0,2,brak informacji,600,do zamieszkania,,,prywatny,,True,blok,,Włochy,Raków,al. Aleje Jerozolimskie,5,5,True,True,True,,,,,,,,,
798110236,2700,18.59,1,miejskie,490,do zamieszkania,,,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Włochy,Stare Włochy,"ul. Batalionu AK ""Włochy""",7,7,False,True,True,,,,,,,,,
623110236,3900,64.0,3,brak informacji,900,do zamieszkania,,,prywatny,2003,True,blok,plastikowe,Włochy,Stare Włochy,ul. Łamana,1,6,True,False,False,True,True,False,False,False,False,True,False,False
333110236,3100,40.0,3,miejskie,0,do zamieszkania,,,prywatny,2020,False,kamienica,plastikowe,Włochy,Okęcie,ul. Cyprysowa,3,3,,,,,,,,,,,,
120110236,6750,76.0,4,miejskie,6,do zamieszkania,,,biuro nieruchomości,2024,True,blok,,Włochy,Raków,,4,6,False,True,True,True,True,False,False,False,False,False,True,False
277110237,4680,52.0,3,miejskie,4,do zamieszkania,,,biuro nieruchomości,,True,blok,,Włochy,Raków,,3,6,False,True,True,True,True,False,False,False,False,False,True,False
882110236,4080,37.0,2,miejskie,4,do zamieszkania,,,biuro nieruchomości,2024,True,blok,,Włochy,Raków,,5,6,False,True,True,True,True,False,False,False,False,False,True,False
183110237,5000,65.33,3,miejskie,719,do zamieszkania,,,biuro nieruchomości,2024,True,blok,plastikowe,Włochy,Raków,Wschodu Słońca 11,4,6,True,True,True,True,True,False,False,False,False,True,True,True
441110237,4400,70.0,3,brak informacji,1,do zamieszkania,,,prywatny,,False,apartamentowiec,plastikowe,Włochy,Raków,al. Aleje Jerozolimskie,,,,,,True,True,False,False,True,False,False,False,False
