id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
657164747,2890,24.0,1,miejskie,410,do zamieszkania,,,prywatny,,False,blok,plastikowe,Wola,Młynów,ul. Edwarda Gibalskiego,10,10,,,,True,False,False,False,False,False,False,True,False
103164746,3000,44.27,2,brak informacji,735,do zamieszkania,,,prywatny,2001,False,blok,,Wola,Ulrychów,ul. Mroczna,0,3,,,,,,,,,,,,
411164747,3500,44.0,2,brak informacji,767,do zamieszkania,,,prywatny,2015,True,blok,drewniane,Wola,Powązki,ul. Burakowska,1,8,True,True,True,True,False,False,False,False,False,True,False,False
148164747,3700,31.0,1,miejskie,760,do zamieszkania,,,biuro nieruchomości,2024,True,apartamentowiec,,Wola,Mirów,"al. Aleja ""Solidarności""",4,6,False,True,True,,,,,,,,,
719164746,8200,67.65,4,miejskie,1,do zamieszkania,,,biuro nieruchomości,2020,True,blok,,Wola,Odolany,ul. Jana Kazimierza,4,4,,,,True,True,False,False,False,False,False,False,False
894164747,4300,33.0,2,miejskie,670,do zamieszkania,,,biuro nieruchomości,2020,True,apartamentowiec,drewniane,Wola,Mirów,ul. Sienna,1,10,False,True,True,,,,,,,,,
526164747,3000,26.73,1,miejskie,650,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,,Wola,Ulrychów,ul. Marcina Kasprzaka,10,10,False,True,True,True,True,False,False,False,False,False,False,False
105164747,5300,45.05,1,miejskie,1,do zamieszkania,,,biuro nieruchomości,2022,True,kamienica,drewniane,Wola,Mirów,,5,7,False,True,True,,,,,,,,,
710164747,7520,54.84,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2022,True,kamienica,plastikowe,Wola,Mirów,,2,6,False,True,True,,,,,,,,,
991164747,5940,46.92,2,miejskie,1,brak informacji,,,biuro nieruchomości,2022,True,kamienica,drewniane,Wola,Mirów,,6,7,False,True,True,,,,,,,,,
456164747,3500,60.0,2,miejskie,,do zamieszkania,,,biuro nieruchomości,2004,True,blok,,Wola,Młynów,ul. Żytnia,5,10,False,True,True,True,False,True,False,True,False,False,False,False
717164747,2190,20.0,1,miejskie,660,do zamieszkania,,,prywatny,2020,True,apartamentowiec,drewniane,Wola,Odolany,ul. Jana Kazimierza,2,6,False,True,True,False,False,False,False,False,False,True,True,False
932164747,17330,98.38,4,miejskie,2,do zamieszkania,,,biuro nieruchomości,2022,True,kamienica,drewniane,Wola,Mirów,,4,7,False,True,True,,,,,,,,,
514164747,14900,62.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2025,True,apartamentowiec,,Wola,Czyste,ul. Prosta,,29,True,True,True,,,,,,,,,
589164747,7000,77.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2004,True,blok,,Wola,Nowolipki,ul. Wolności,3,8,True,True,True,True,True,False,False,False,False,False,False,False
154164747,6500,55.0,3,miejskie,,do zamieszkania,,,biuro nieruchomości,2019,True,blok,,Wola,Czyste,ul. Grzybowska,4,8,False,True,True,True,True,False,False,False,True,False,False,False
482164748,6500,65.0,2,brak informacji,1,brak informacji,,,prywatny,,True,,,Wola,Odolany,ul. Jana Kazimierza,,,,,,True,True,False,False,False,False,False,False,False
250164748,14500,135.0,3,miejskie,2,brak informacji,,,biuro nieruchomości,,True,apartamentowiec,,Wola,Mirów,ul. Chłodna,8,9,True,True,True,True,True,True,False,False,True,False,False,False
548164748,16000,160.0,5,brak informacji,3,brak informacji,,,biuro nieruchomości,,True,,,Wola,Mirów,ul. Grzybowska,10,,True,True,True,True,True,True,False,False,True,False,False,False
981164748,5500,80.0,3,miejskie,1,do zamieszkania,,,prywatny,2007,True,apartamentowiec,drewniane,Wola,Mirów,ul. Sienna,1,7,True,True,True,True,False,False,False,False,False,True,False,False
387164748,5940,46.92,2,miejskie,1,brak informacji,,,biuro nieruchomości,2022,True,kamienica,drewniane,Wola,Mirów,,6,7,False,True,True,,,,,,,,,
595164748,9500,71.0,3,miejskie,,do zamieszkania,,,prywatny,,True,apartamentowiec,drewniane,Wola,Powązki,ul. Burakowska,3,6,False,True,True,True,True,False,False,False,True,False,False,False
618164748,3700,57.0,3,miejskie,1,brak informacji,,,biuro nieruchomości,2002,True,apartamentowiec,plastikowe,Wola,Czyste,ul. Marcina Kasprzaka,7,12,,,,,,,,,,,,
269164748,3400,30.0,2,miejskie,700,do zamieszkania,,,prywatny,1973,True,blok,aluminiowe,Wola,Mirów,ul. Żelazna,8,15,True,True,True,True,True,False,False,False,False,True,True,False
220164748,3600,34.0,1,brak informacji,770,brak informacji,,,prywatny,2025,False,blok,plastikowe,Wola,Mirów,ul. Żelazna,0,,True,True,True,False,False,False,True,False,False,True,True,False
369164748,3100,35.0,2,miejskie,700,do zamieszkania,,,biuro nieruchomości,,False,kamienica,plastikowe,Wola,Młynów,ul. Młynarska,3,,,,,True,False,False,False,False,False,False,True,False
260164749,2200,17.0,1,miejskie,350,do zamieszkania,,,prywatny,2019,True,apartamentowiec,plastikowe,Wola,Odolany,ul. Wolska,3,8,True,True,True,True,False,False,False,False,False,True,True,False
835164748,2800,34.0,2,miejskie,623,do zamieszkania,,,biuro nieruchomości,1950,False,kamienica,plastikowe,Wola,Koło,ul. Obozowa,2,4,,,,False,False,False,False,False,False,True,True,True
156164748,9000,61.55,3,miejskie,1,do zamieszkania,,,prywatny,2025,True,apartamentowiec,aluminiowe,Wola,Czyste,ul. Prosta,4,29,True,True,True,True,True,True,False,False,False,True,False,False
516164748,7800,74.0,3,miejskie,1,do zamieszkania,,,prywatny,1910,False,kamienica,drewniane,Wola,Mirów,ul. Waliców,2,4,True,False,False,,,,,,,,,
147164749,11500,78.0,3,miejskie,1,do wykończenia,,,biuro nieruchomości,2024,True,apartamentowiec,plastikowe,Wola,Czyste,ul. Prosta,,29,True,True,True,True,True,False,False,False,False,False,True,False
649164749,4500,68.0,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,,True,apartamentowiec,,Wola,Młynów,ul. Radziwie,5,12,True,True,True,True,True,False,False,False,False,False,False,False
175164749,2900,30.0,2,miejskie,700,do zamieszkania,,,prywatny,2015,True,blok,plastikowe,Wola,Odolany,ul. Józefa Sowińskiego,1,6,True,True,True,True,True,True,False,False,False,True,False,False
462164749,3100,27.0,2,miejskie,650,do zamieszkania,,,biuro nieruchomości,2018,True,apartamentowiec,drewniane,Wola,Nowolipki,,4,,False,True,True,,,,,,,,,
441164749,3200,31.0,2,miejskie,660,do zamieszkania,,,prywatny,1937,False,kamienica,plastikowe,Wola,Młynów,ul. Edwarda Gibalskiego,1,4,False,True,True,False,False,False,False,True,False,False,True,False
163164749,3800,40.0,2,brak informacji,600,do zamieszkania,,,prywatny,2000,True,blok,plastikowe,Wola,Młynów,ul. Płocka,8,9,False,True,True,,,,,,,,,
302164749,7000,41.43,2,miejskie,1,do zamieszkania,,,prywatny,2025,True,apartamentowiec,aluminiowe,Wola,Czyste,ul. Prosta,5,29,True,True,True,True,True,True,True,True,False,True,False,False
995164749,5300,33.0,2,miejskie,,do zamieszkania,,,prywatny,2023,True,apartamentowiec,aluminiowe,Wola,Mirów,ul. Grzybowska 37,,16,True,True,True,True,True,True,True,False,False,True,False,False
173164749,8000,47.0,2,elektryczne,1,do zamieszkania,,,prywatny,2023,True,apartamentowiec,aluminiowe,Wola,Mirów,ul. Grzybowska 37,,16,True,True,True,True,True,True,True,True,False,True,False,False
