id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
639172328,2500,24.0,1,miejskie,550,do zamieszkania,,,prywatny,1971,True,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. Elbląska 67,4,10,,,,True,False,False,False,False,False,True,True,False
293172328,3000,31.0,2,brak informacji,660,do zamieszkania,,,prywatny,,False,kamienica,drewniane,Żoliborz,Stary Żoliborz,ul. Zygmunta Krasińskiego,0,4,True,True,True,False,False,False,False,True,False,True,False,False
793172328,4300,40.0,2,brak informacji,720,do zamieszkania,,,prywatny,2014,True,apartamentowiec,drewniane,Żoliborz,Sady Żoliborskie,,2,8,True,True,True,True,True,False,False,True,False,True,False,False
754172328,2750,24.0,1,miejskie,,do zamieszkania,,,prywatny,,True,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. Elbląska,10,10,,,,False,False,False,False,False,False,False,True,True
215172328,2390,20.32,1,miejskie,510,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,0,5,False,True,True,,,,,,,,,
976172328,4940,62.77,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,4,5,False,True,True,,,,,,,,,
204172328,2600,30.0,1,miejskie,700,do zamieszkania,,,prywatny,1970,True,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. Zygmunta Krasińskiego,7,10,,,,True,True,False,True,False,False,True,True,True
859172329,2390,20.32,1,miejskie,510,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,0,5,False,True,True,,,,,,,,,
422172329,2390,19.56,1,miejskie,510,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,3,5,False,True,True,,,,,,,,,
933172329,4700,52.1,2,brak informacji,900,do zamieszkania,,,biuro nieruchomości,2020,False,,plastikowe,Żoliborz,Sady Żoliborskie,ul. Ludwika Rydygiera,1,9,,,,True,True,False,False,False,False,False,False,False
132172329,2630,23.78,1,miejskie,570,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,2,5,False,True,True,,,,,,,,,
221172329,2100,26.0,1,miejskie,500,do zamieszkania,,,biuro nieruchomości,1980,True,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. ks. Jerzego Popiełuszki,10,10,False,True,True,,,,,,,,,
849172329,2850,38.0,2,brak informacji,750,do zamieszkania,,,biuro nieruchomości,,False,kamienica,,Żoliborz,Stary Żoliborz,ul. Zygmunta Krasińskiego,3,,True,True,True,False,False,False,False,True,True,False,True,True
545172329,2100,40.0,1,miejskie,800,do zamieszkania,,,biuro nieruchomości,1960,False,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. Zygmunta Krasińskiego,4,4,,,,True,False,False,False,False,False,False,False,True
189172329,2700,17.0,1,brak informacji,600,brak informacji,,,biuro nieruchomości,1928,False,kamienica,plastikowe,Żoliborz,Stary Żoliborz,,3,5,,,,,,,,,,,,
474172329,4000,56.0,3,miejskie,800,do zamieszkania,,,prywatny,,False,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. Stanisława Tołwińskiego,3,4,,,,True,True,False,False,False,False,False,True,True
530172329,3200,36.0,2,miejskie,600,do zamieszkania,,,prywatny,,True,blok,plastikowe,Żoliborz,Stary Żoliborz,ul. Kazimierza Promyka,,18,,,,False,True,False,False,True,True,False,False,False
649172330,3800,41.5,2,miejskie,780,do zamieszkania,,,biuro nieruchomości,2014,True,apartamentowiec,,Żoliborz,Sady Żoliborskie,Stanisława Dygata,0,5,False,True,True,False,True,True,True,False,False,False,False,False
118172329,2400,30.0,1,miejskie,760,do zamieszkania,,,prywatny,1958,True,blok,plastikowe,Żoliborz,Stary Żoliborz,ul. Juliusza Słowackiego,3,9,True,True,True,True,False,False,False,False,False,True,True,True
956172329,3500,39.0,2,miejskie,,brak informacji,,,prywatny,1970,True,blok,plastikowe,Żoliborz,Stary Żoliborz,ul. Dymińska,3,10,,,,False,False,False,False,True,False,False,True,True
132172329,3800,38.0,2,miejskie,394,do zamieszkania,,,prywatny,,False,kamienica,drewniane,Żoliborz,Marymont-Potok,ul. Bieniewicka,3,3,True,False,False,True,False,False,False,True,False,True,False,False
489172329,2200,25.0,1,miejskie,500,do zamieszkania,,,prywatny,1970,False,blok,plastikowe,Żoliborz,Stary Żoliborz,ul. Dymińska,3,10,True,False,False,True,False,False,False,False,False,False,True,False
861172330,2410,19.07,1,miejskie,490,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,0,5,False,True,True,,,,,,,,,
451172330,6000,76.97,3,brak informacji,1,do zamieszkania,,,biuro nieruchomości,2016,False,,,Żoliborz,Sady Żoliborskie,ul. Kaliny Jędrusik,3,6,,,,False,True,True,False,False,True,False,False,False
237172330,2290,20.23,1,miejskie,510,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,5,5,False,True,True,,,,,,,,,
434172330,2680,20.99,1,miejskie,520,do zamieszkania,,,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Bielany,Marymont-Kaskada,,5,5,False,True,True,,,,,,,,,
507172330,4000,60.34,3,miejskie,1,do zamieszkania,,,biuro nieruchomości,2005,True,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. Sybilli,6,16,True,True,True,True,True,False,False,False,False,False,False,False
306172330,3950,44.0,2,miejskie,707,do zamieszkania,,,biuro nieruchomości,2020,True,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. Ludwika Rydygiera,3,7,True,True,True,True,True,False,False,False,False,True,True,False
142172330,2800,37.0,1,miejskie,,do zamieszkania,,,biuro nieruchomości,1950,False,blok,,Żoliborz,Sady Żoliborskie,ul. Zygmunta Krasińskiego,4,4,False,True,True,,,,,,,,,
