id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
767132636,3915000,27.0,1,miejskie,550,do zamieszkania,wtórny,pełna własność,prywatny,1978,True,blok,plastikowe,Bemowo,Jelonki Północne,,9,11,,,,True,False,False,False,False,False,False,False,True
794132636,7690000,51.48,3,miejskie,800,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,,True,blok,plastikowe,Bemowo,Jelonki Południowe,,1,,,,,True,False,False,False,True,False,False,False,True
526132636,8990000,68.79,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,1984,False,blok,plastikowe,Bemowo,Bemowo-Lotnisko,ul. Dynarska,2,3,,,,True,False,False,False,True,False,False,False,True
824132636,13990000,68.5,3,miejskie,0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,True,blok,,Bemowo,Chrzanów,ul. Szeligowska,5,6,True,True,True,True,True,False,False,False,True,False,False,False
826132636,12990000,61.0,3,miejskie,0,do zamieszkania,pierwotny,pełna własność,biuro nieruchomości,2024,True,blok,,Bemowo,Chrzanów,ul. Żeńców,2,5,True,True,True,True,True,False,False,False,False,False,False,False
672132636,6600000,51.48,3,miejskie,760,brak informacji,wtórny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Bemowo,Jelonki Południowe,ul. Borowej Góry,9,11,,,,True,False,False,False,True,False,False,False,True
533132636,6560000,50.5,2,miejskie,,brak informacji,wtórny,pełna własność,prywatny,1988,True,blok,drewniane,Bemowo,Jelonki Południowe,ul. Lazurowa,2,10,,,,True,False,False,False,True,False,False,False,True
965132636,6680000,46.0,2,miejskie,750,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1980,True,blok,plastikowe,Bemowo,Górce,,9,10,,,,True,False,False,False,True,True,False,False,True
572132636,6790000,35.8,2,miejskie,700,do zamieszkania,wtórny,pełna własność,prywatny,1980,True,blok,plastikowe,Bemowo,Jelonki Południowe,ul. Rozłogi,4,8,,,,True,False,False,False,False,True,False,False,False
909132637,,43.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
207132637,,41.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
413132637,,39.0,,,,,,,deweloper,,,,,,,,,,False,True,False,,,,,,,,,
256132637,8800000,68.28,3,brak informacji,950,brak informacji,wtórny,pełna własność,biuro nieruchomości,1990,True,,plastikowe,Bemowo,Bemowo-Lotnisko,,2,11,,,,True,False,False,False,True,False,False,False,False
806132637,,34.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
