id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
755182632,5600000,44.4,2,miejskie,570,do zamieszkania,wtórny,pełna własność,prywatny,2003,True,blok,plastikowe,Białołęka,Nowodwory,ul. Aluzyjna,8,9,True,True,True,,,,,,,,,
650182632,8290000,47.93,3,brak informacji,,do zamieszkania,wtórny,pełna własność,prywatny,2023,True,blok,,Białołęka,Grodzisk,ul. Geometryczna,1,3,True,False,False,True,True,False,False,False,False,False,False,False
149182632,6990000,42.26,2,miejskie,600,do zamieszkania,wtórny,pełna własność,prywatny,2024,False,blok,plastikowe,Białołęka,Grodzisk,,2,2,,,,True,True,False,False,False,False,False,False,False
921182632,7900000,52.0,2,brak informacji,,do zamieszkania,wtórny,pełna własność,prywatny,,True,blok,drewniane,Białołęka,Grodzisk,ul. Głębocka,3,4,True,True,True,True,True,False,False,True,False,False,False,False
617182632,,29.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
951182633,,39.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
197182633,,36.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
811182633,7397230,55.41,3,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2026,True,,,Białołęka,Żerań,ul. Marywilska,1,5,,,,,,,,,,,,
360182632,7490000,68.75,4,brak informacji,,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2018,False,blok,,Białołęka,Kobiałka,Arcangela Corellego,1,2,False,True,True,,,,,,,,,
910182633,,26.0,,,,,,,deweloper,,,,,,,,,,False,True,False,,,,,,,,,
464182633,,25.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
160182633,10500000,59.91,3,brak informacji,904,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,True,blok,,Białołęka,Brzeziny,ul. Warzelnicza,1,2,True,True,True,False,True,True,False,False,True,False,False,False
635182633,16900000,157.9,5,kotłownia,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2000,False,blok,,Białołęka,Nowodwory,ul. Odkryta,3,4,True,False,False,True,True,False,False,False,False,False,False,False
114182633,3582090,32.59,1,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2027,True,apartamentowiec,,Białołęka,Dąbrówka Szlachecka,ul. Modlińska,1,2,False,True,True,True,True,False,False,False,False,False,False,False
749182633,5890000,56.0,2,gazowe,790,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004,False,blok,plastikowe,Białołęka,Grodzisk,ul. Skarbka z Gór,3,3,True,True,True,True,True,False,False,False,False,False,False,True
343182633,7400000,61.49,3,miejskie,800,brak informacji,wtórny,pełna własność,biuro nieruchomości,1983,False,blok,,Białołęka,Tarchomin,ul. Śreniawitów,3,4,,,,True,False,False,False,True,True,False,False,True
555182634,7280400,60.67,3,gazowe,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,False,,,Białołęka,Grodzisk,ul. Konik Polny,1,1,,,,True,True,False,False,False,True,False,False,False
958182634,5500000,35.3,2,brak informacji,,brak informacji,wtórny,pełna własność,biuro nieruchomości,,False,,,Białołęka,Nowodwory,,,,,,,,,,,,,,,
175182633,8150000,62.5,3,miejskie,1,do zamieszkania,wtórny,brak informacji,prywatny,1987,False,blok,plastikowe,Białołęka,Tarchomin,ul. Feliksa Pancera,3,3,,,,True,True,False,False,True,False,False,False,True
776182633,6999600,61.4,4,inne,840,brak informacji,wtórny,brak informacji,biuro nieruchomości,1985,True,blok,plastikowe,Białołęka,Tarchomin,ul. Atutowa,0,9,,,,,,,,,,,,
107182634,,26.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
958182634,8490000,65.5,3,gazowe,800,do zamieszkania,wtórny,pełna własność,prywatny,2011,True,blok,plastikowe,Białołęka,Grodzisk,ul. Skarbka z Gór,2,2,True,True,True,True,True,True,False,True,True,False,False,False
149182634,,88.93,4,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,False,,,Białołęka,Henryków,ul. Wiklinowa,1,1,True,False,False,False,True,False,True,False,False,False,False,True
696182634,4787200,29.92,1,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2026,True,,,Białołęka,Grodzisk,ul. Skarbka z Gór 47,0,2,True,False,False,False,True,True,True,False,False,False,False,False
740182635,,39.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
841182635,,31.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
265182635,7671440,56.0,2,kotłownia,,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2008,True,,plastikowe,Białołęka,Nowodwory,ul. Zbytki,0,3,False,True,True,True,True,False,False,False,False,False,False,True
789182635,9400000,61.5,3,brak informacji,750,brak informacji,wtórny,brak informacji,prywatny,2020,True,apartamentowiec,,Białołęka,Grodzisk,ul. Głębocka,3,3,,,,True,True,False,False,False,False,False,False,False
375182634,8740000,60.7,3,miejskie,1,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,,False,blok,plastikowe,Białołęka,Tarchomin,ul. Feliksa Pancera,0,3,,,,True,False,False,True,True,False,False,False,False
919182636,,35.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
801182635,10777920,104.64,4,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2027,False,,,Białołęka,Brzeziny,ul. Białołęcka,1,1,True,False,False,True,False,False,False,False,False,False,False,False
253182635,6590000,47.0,2,kotłownia,560,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2011,True,blok,,Białołęka,Żerań,ul. Modlińska,0,4,True,True,True,False,True,True,True,False,False,False,False,False
778182635,6800000,44.88,2,miejskie,665,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,True,apartamentowiec,,Białołęka,Nowodwory,ul. Aluzyjna,2,3,True,True,True,True,True,False,False,False,False,False,False,False
399182635,9821900,89.29,4,gazowe,,do wykończenia,pierwotny,pełna własność,prywatny,2026,False,szeregowiec,plastikowe,Białołęka,Brzeziny,ul. Białołęcka,0,1,True,False,False,False,True,True,True,False,False,False,False,False
291182635,10777920,104.64,6,gazowe,,do wykończenia,pierwotny,pełna własność,prywatny,2026,False,szeregowiec,plastikowe,Białołęka,Brzeziny,ul. Białołęcka,1,1,True,False,False,True,True,False,False,False,False,False,False,False
713182636,,65.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
835182635,6540000,47.0,2,brak informacji,500,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2014,False,,plastikowe,Białołęka,Grodzisk,ul. Leona Berensona,2,4,,,,True,True,False,False,False,False,False,False,False
497182635,6500000,43.67,2,brak informacji,,brak informacji,wtórny,brak informacji,biuro nieruchomości,,False,,,Białołęka,Brzeziny,,,,,,,,,,,,,,,
231182636,4525000,25.0,1,miejskie,550,brak informacji,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,2017,True,blok,plastikowe,Białołęka,Nowodwory,ul. Dionizosa,2,6,False,True,True,True,False,False,False,False,True,False,False,False
812182636,6999000,66.0,4,inne,500,do wykończenia,pierwotny,pełna własność,prywatny,2025,True,blok,plastikowe,Białołęka,Grodzisk,ul. Leona Berensona,2,2,True,True,True,True,True,False,False,False,False,False,False,False
218182637,,41.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
775182636,8200000,66.8,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2003,False,,,Białołęka,Grodzisk,ul. Skarbka z Gór,3,3,,,,True,True,False,False,False,False,False,False,False
698182637,,37.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
119182637,,46.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
916182636,7900000,52.0,2,brak informacji,,do zamieszkania,wtórny,pełna własność,prywatny,,True,blok,drewniane,Białołęka,Grodzisk,ul. Głębocka,3,4,True,True,True,True,True,False,False,True,False,False,False,False
500182639,7900000,52.0,2,brak informacji,,do zamieszkania,wtórny,pełna własność,prywatny,,True,blok,drewniane,Białołęka,Grodzisk,ul. Głębocka,3,4,True,True,True,True,True,False,False,True,False,False,False,False
470182640,9600000,57.76,3,miejskie,850,do zamieszkania,wtórny,pełna własność,prywatny,2018,True,apartamentowiec,plastikowe,Białołęka,Żerań,,0,4,True,True,True,True,True,True,False,False,False,False,False,False
199182639,8100000,57.9,4,miejskie,336,do zamieszkania,wtórny,pełna własność,prywatny,2023,True,blok,plastikowe,Białołęka,Żerań,ul. Marywilska,3,5,False,True,True,True,True,False,False,True,False,False,False,True
628182639,,39.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
649182640,,39.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
155182640,,88.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
656182640,,29.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
663182640,,31.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
135182640,11800000,73.6,3,miejskie,858,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2024,True,blok,plastikowe,Białołęka,Brzeziny,ul. Pawła Włodkowica,1,3,False,True,True,True,True,False,False,False,False,False,False,False
180182640,12690000,81.27,4,brak informacji,,do zamieszkania,pierwotny,pełna własność,prywatny,2024,True,apartamentowiec,plastikowe,Białołęka,Nowodwory,ul. Aluzyjna,4,5,True,False,False,True,True,True,False,False,False,False,False,False
