id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
244091221,5850000,37.0,2,miejskie,614,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1974,True,blok,plastikowe,Bielany,Wrzeciono,ul. Wrzeciono,4,10,False,True,True,False,False,False,False,True,False,False,False,True
662091221,8490000,60.0,4,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,1984,True,blok,,Bielany,Marymont-Ruda,ul. Klaudyny,6,13,,,,True,True,False,False,True,False,False,False,False
147091222,7100000,38.28,2,miejskie,705,do remontu,wtórny,brak informacji,biuro nieruchomości,1939,False,kamienica,,Bielany,Stare Bielany,ul. Cegłowska,2,3,,,,,,,,,,,,
831091222,,92.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
732091221,11300000,57.45,3,gazowe,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,True,apartamentowiec,,Bielany,Chomiczówka,ul. Fortowa,1,2,False,True,True,False,True,True,True,False,False,False,False,False
962091221,9500000,45.51,2,miejskie,660,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2017,True,apartamentowiec,,Bielany,Słodowiec,ul. Stefana Żeromskiego,2,10,,,,,,,,,,,,
656091221,4400000,25.0,1,miejskie,350,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1964,False,blok,plastikowe,Bielany,Słodowiec,ul. Antoniego Magiera,1,4,False,True,True,True,False,False,False,True,False,False,False,True
506091221,7490000,48.0,2,miejskie,700,do zamieszkania,wtórny,pełna własność,prywatny,1971,False,blok,plastikowe,Bielany,Piaski,ul. Jana Kochanowskiego,2,4,,,,True,False,False,False,True,False,False,False,True
941091222,,97.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
205091222,6950000,47.24,3,miejskie,,do remontu,wtórny,pełna własność,biuro nieruchomości,1968,False,blok,plastikowe,Bielany,Słodowiec,,3,3,,,,True,False,False,False,True,False,False,False,True
884091222,6600000,44.0,2,brak informacji,,brak informacji,wtórny,brak informacji,biuro nieruchomości,1979,True,,plastikowe,Bielany,Chomiczówka,ul. Pabla Nerudy,3,15,,,,,,,,,,,,
567091222,9580000,49.41,2,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,2017,True,apartamentowiec,plastikowe,Bielany,Chomiczówka,ul. Mistrzowska,3,3,True,True,True,True,True,False,False,False,True,False,False,False
554091222,8000000,35.0,2,miejskie,600,do zamieszkania,wtórny,pełna własność,prywatny,,False,kamienica,,Bielany,Stare Bielany,,3,4,,,,True,False,False,False,True,True,False,False,True
933091222,9000000,56.1,3,miejskie,680,do zamieszkania,wtórny,pełna własność,prywatny,1972,True,blok,plastikowe,Żoliborz,Sady Żoliborskie,ul. Władysława Broniewskiego,3,10,,,,True,False,False,False,True,False,False,False,False
354091222,18000000,74.2,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2010,True,apartamentowiec,plastikowe,Bielany,Las Bielański,ul. Tczewska,2,2,True,True,True,,,,,,,,,
492091223,13490000,59.09,3,brak informacji,,brak informacji,wtórny,brak informacji,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Bielany,Chomiczówka,,7,8,,,,,,,,,,,,
451091223,8190000,62.95,3,miejskie,1,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1977,True,blok,,Bielany,Chomiczówka,ul. Kwitnąca 13,10,10,,,,True,True,False,False,True,False,False,False,False
184091222,8690000,48.4,3,miejskie,550,do zamieszkania,wtórny,pełna własność,prywatny,1970,False,blok,plastikowe,Bielany,Wrzeciono,ul. Przy Agorze,0,4,,,,False,False,False,False,True,False,False,False,True
784091223,7620000,63.5,4,brak informacji,0,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1975,False,,,Bielany,Wawrzyszew,ul. Williama Szekspira,2,9,,,,False,False,False,False,True,False,False,False,True
251091223,4650000,24.0,1,miejskie,370,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,,True,blok,plastikowe,Bielany,Wrzeciono,ul. Szegedyńska,4,10,,,,,,,,,,,,
484091223,7200000,48.0,2,brak informacji,700,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1975,False,,,Bielany,Stare Bielany,ul. Starej Baśni,3,4,,,,True,False,False,False,True,False,False,False,False
682091223,5400000,37.7,2,miejskie,750,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1960,False,blok,,Bielany,Wrzeciono,ul. Przy Agorze,3,4,,,,,,,,,,,,
145091223,5249990,37.0,2,miejskie,500,do remontu,wtórny,pełna własność,biuro nieruchomości,1970,True,,plastikowe,Bielany,Wrzeciono,ul. Wrzeciono,5,10,,,,,,,,,,,,
916091223,13600000,59.5,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,2016,True,apartamentowiec,drewniane,Bielany,Słodowiec,ul. Zbigniewa Romaszewskiego,2,6,True,True,True,True,True,False,False,False,False,False,False,False
337091223,,45.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
849091223,6350000,51.0,3,miejskie,600,do remontu,wtórny,pełna własność,biuro nieruchomości,1972,True,blok,drewniane,Bielany,Piaski,ul. Władysława Broniewskiego,3,10,,,,True,False,True,False,True,True,False,False,True
855091224,9900000,58.0,2,miejskie,1,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,2001,False,blok,,Bielany,Wawrzyszew,ul. Sokratesa,0,3,True,False,False,False,True,False,False,False,True,False,False,False
417091224,8370000,60.0,3,brak informacji,865,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2008,True,apartamentowiec,,Bielany,Młociny,ul. Encyklopedyczna,0,5,,,,True,True,False,False,False,False,False,False,False
181091224,6950000,26.65,1,brak informacji,,do wykończenia,wtórny,pełna własność,prywatny,2024,True,,plastikowe,Bielany,Huta,ul. Sokratesa 11a,1,,True,True,True,True,True,False,False,False,False,False,False,False
773091224,5900000,36.5,2,brak informacji,,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,,True,blok,plastikowe,Bielany,Wrzeciono,ul. Samuela Bogumiła Lindego,9,10,,,,,,,,,,,,
515091224,6500000,51.3,3,miejskie,745,do remontu,wtórny,brak informacji,biuro nieruchomości,1972,True,blok,,Bielany,Piaski,,1,10,,,,,,,,,,,,
243091224,4500000,26.0,1,miejskie,,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Bielany,Chomiczówka,ul. Władysława Reymonta,2,10,,,,,,,,,,,,
524091224,12920000,67.9,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1999,True,blok,,Bielany,Wrzeciono,ul. Wrzeciono,5,6,,,,True,True,False,False,False,False,False,False,False
376091224,6200000,41.2,2,miejskie,660,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1972,True,blok,,Bielany,Piaski,ul. Jana Kochanowskiego,10,10,,,,True,False,False,False,True,True,False,False,False
536091224,6750000,50.18,3,miejskie,650,do remontu,wtórny,pełna własność,biuro nieruchomości,1959,False,kamienica,plastikowe,Bielany,Słodowiec,ul. Stefana Żeromskiego,0,4,False,True,True,False,False,False,False,True,False,False,False,True
287091224,7990000,66.0,3,miejskie,900,brak informacji,wtórny,brak informacji,prywatny,1972,True,blok,plastikowe,Bielany,Chomiczówka,ul. Pabla Nerudy,6,,,,,True,False,True,False,True,True,False,False,True
771091225,10300000,40.5,2,brak informacji,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2010,False,,,Bielany,Las Bielański,ul. Tczewska,0,3,,,,,,,,,,,,
876091225,4190000,25.0,1,brak informacji,400,brak informacji,wtórny,pełna własność,prywatny,,True,blok,,Bielany,Wrzeciono,ul. Wrzeciono,4,10,,,,,,,,,,,,
274091224,6990000,51.0,3,brak informacji,700,brak informacji,wtórny,brak informacji,biuro nieruchomości,1975,True,blok,,Bielany,Piaski,ul. Jana Kochanowskiego,6,10,,,,,,,,,,,,
453091224,11000000,55.61,2,miejskie,800,do zamieszkania,wtórny,pełna własność,prywatny,2020,True,blok,plastikowe,Bielany,Wawrzyszew,,0,7,True,True,True,False,True,True,True,False,False,False,False,False
273091224,8000000,56.0,3,miejskie,650,do remontu,wtórny,pełna własność,biuro nieruchomości,1973,True,blok,plastikowe,Bielany,Piaski,ul. Władysława Broniewskiego,2,10,False,True,True,True,False,False,False,True,False,False,False,True
