id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
723163001,6550000,37.1,2,miejskie,984,do remontu,wtórny,pełna własność,prywatny,1969,False,blok,plastikowe,Mokotów,Służew,ul. Niegocińska 7,3,4,,,,True,False,False,False,True,False,False,False,True
498163002,26590000,132.0,4,miejskie,,do zamieszkania,wtórny,pełna własność,prywatny,1998,True,blok,plastikowe,Mokotów,Sielce,ul. Jana III Sobieskiego,5,6,True,True,True,True,True,False,False,False,True,False,False,True
323163002,16345680,65.91,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,2017,True,blok,drewniane,Mokotów,Stegny,ul. Bergamotki,1,2,False,True,True,True,True,False,False,False,False,False,False,False
173163001,12360000,72.7,3,miejskie,1,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1978,True,blok,,Mokotów,Służew,ul. Jana Sebastiana Bacha,1,10,False,True,True,,,,,,,,,
987163001,11640000,55.72,2,miejskie,848,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2016,True,apartamentowiec,,Mokotów,Służewiec,ul. Cybernetyki,1,6,False,True,True,,,,,,,,,
367163003,,59.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
589163002,,61.85,3,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,True,,,Mokotów,Siekierki,ul. Polska,1,3,,,,True,True,False,False,False,False,False,False,False
587163003,5150000,29.0,2,brak informacji,800,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1972,True,,,Mokotów,Wyględów,ul. Etiudy Rewolucyjnej,6,10,,,,,,,,,,,,
701163002,14900000,63.4,3,kotłownia,970,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004,False,dom wolnostojący,drewniane,Mokotów,Służew,ul. Wołodyjowskiego,2,,True,True,True,True,True,True,False,False,True,False,False,False
722163003,,51.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
626163002,10990000,59.3,2,miejskie,770,do remontu,wtórny,pełna własność,biuro nieruchomości,1936,False,kamienica,plastikowe,Mokotów,Stary Mokotów,ul. Grażyny,3,4,,,,False,True,False,False,True,False,False,False,True
597163002,12000000,64.3,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,,False,blok,plastikowe,Mokotów,Stegny,ul. Cypryjska,4,4,False,True,True,True,False,False,False,True,False,False,False,True
915163003,7990000,48.0,3,miejskie,700,do zamieszkania,wtórny,pełna własność,prywatny,1965,False,blok,plastikowe,Mokotów,Sielce,ul. Jana III Sobieskiego,1,,True,True,True,True,False,False,False,True,False,False,False,True
128163003,5340000,31.0,1,miejskie,384,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1964,False,blok,plastikowe,Mokotów,Stary Mokotów,ul. Boryszewska 14,1,4,,,,True,False,False,False,True,False,False,False,True
420163003,9561300,61.0,3,brak informacji,,brak informacji,wtórny,brak informacji,biuro nieruchomości,2025,False,apartamentowiec,drewniane,Mokotów,Służewiec,ul. Domaniewska,1,9,False,True,True,,,,,,,,,
868163003,9612340,53.9,3,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,True,apartamentowiec,plastikowe,Mokotów,Służew,,0,7,False,True,True,True,True,False,True,False,True,False,False,False
401163003,10710000,59.0,3,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Mokotów,Stegny,,3,7,False,True,True,True,True,False,False,False,False,False,False,False
814163003,16480000,61.27,3,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,True,apartamentowiec,plastikowe,Mokotów,Służewiec,,6,9,False,True,True,True,True,True,False,False,False,False,False,False
177163003,6742000,30.0,1,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,True,apartamentowiec,plastikowe,Mokotów,Służew,,1,7,False,True,True,True,True,False,False,False,False,False,False,False
481163003,12490000,56.2,2,miejskie,1,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2008,True,apartamentowiec,plastikowe,Mokotów,Stegny,al. Aleja Wilanowska,3,4,False,True,True,False,True,False,False,True,False,False,False,True
156163003,6900000,41.5,2,inne,,do remontu,wtórny,pełna własność,biuro nieruchomości,1952,True,kamienica,plastikowe,Mokotów,Wierzbno,al. Aleja Niepodległości,6,6,,,,,,,,,,,,
641163004,3600000,17.29,1,miejskie,400,do zamieszkania,wtórny,pełna własność,prywatny,2021,False,apartamentowiec,plastikowe,Mokotów,Stary Mokotów,ul. Stefana Batorego,2,2,False,True,True,,,,,,,,,
288163004,5290000,31.57,1,miejskie,,brak informacji,wtórny,brak informacji,biuro nieruchomości,1972,True,blok,plastikowe,Mokotów,Służew,ul. Zygmunta Modzelewskiego,8,10,,,,True,False,False,False,True,False,False,False,True
572163003,6499990,45.54,3,miejskie,1,do remontu,wtórny,pełna własność,biuro nieruchomości,1965,False,blok,,Mokotów,Sielce,ul. Jana III Sobieskiego,2,3,False,True,True,True,False,False,False,True,False,False,False,True
970163004,7990000,47.0,2,brak informacji,720,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1978,False,,plastikowe,Mokotów,Służew,ul. Jana Sebastiana Bacha,0,4,,,,True,False,False,False,True,False,False,False,True
909163004,5270000,32.99,2,miejskie,664,do remontu,wtórny,pełna własność,biuro nieruchomości,1985,True,blok,plastikowe,Mokotów,Czerniaków,ul. Bernardyńska,2,12,,,,False,False,False,False,False,True,False,False,True
838163005,,49.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
335163004,20500000,143.6,4,miejskie,,do remontu,wtórny,pełna własność,biuro nieruchomości,2000,True,apartamentowiec,,Mokotów,Stegny,ul. Jana III Sobieskiego,10,12,False,True,True,True,True,False,False,False,True,False,False,False
