id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
889164227,695000,36.6,2,miejskie,455,do zamieszkania,wtórny,pełna własność,prywatny,1968,False,blok,plastikowe,Ochota,Rakowiec,ul. Księcia Trojdena,,,True,False,False,False,True,False,False,True,False,False,False,True
467164228,518000,26.0,1,miejskie,380,do zamieszkania,wtórny,pełna własność,prywatny,1968,False,blok,plastikowe,Ochota,Rakowiec,ul. Władysława Korotyńskiego,1,,,,,True,False,False,False,True,False,False,False,False
623164228,523000,28.3,1,miejskie,620,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1970,True,blok,plastikowe,Ochota,Rakowiec,ul. Sąchocka,2,11,False,True,True,True,False,False,False,True,False,False,False,True
883164228,2290000,85.85,4,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2024,True,,,Ochota,Szczęśliwice,ul. Włodarzewska,1,3,False,True,True,,,,,,,,,
724164227,1120000,65.6,2,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1900,False,kamienica,plastikowe,Ochota,Filtry,al. Aleje Jerozolimskie,4,4,True,False,False,False,False,False,False,True,False,False,False,True
768164228,360000,17.29,1,miejskie,400,do zamieszkania,wtórny,pełna własność,prywatny,2021,False,apartamentowiec,plastikowe,Mokotów,Stary Mokotów,ul. Stefana Batorego,2,2,False,True,True,,,,,,,,,
658164228,739000,37.06,3,miejskie,600,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1968,True,blok,,Ochota,Szczęśliwice,ul. Opaczewska,8,8,,,,,,,,,,,,
931164228,999000,50.3,2,miejskie,,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2015,True,apartamentowiec,plastikowe,Ochota,Szczęśliwice,ul. Włodarzewska,2,,False,True,True,,,,,,,,,
735164228,1330000,67.0,3,miejskie,,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2015,True,apartamentowiec,plastikowe,Ochota,Szczęśliwice,ul. Włodarzewska,2,,False,True,True,,,,,,,,,
523164228,1899000,102.42,3,miejskie,,brak informacji,wtórny,pełna własność,biuro nieruchomości,1930,False,kamienica,plastikowe,Ochota,Szczęśliwice,,3,4,,,,True,False,False,False,True,False,False,False,True
