id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
512182923,,84.85,3,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,True,,,Praga-Północ,Nowa Praga,ul. Szwedzka,1,3,True,False,False,,,,,,,,,
660182923,,89.38,4,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,True,,,Praga-Północ,Stara Praga,ul. Sprzeczna,6,6,,,,False,True,True,False,False,False,False,False,False
317182923,11500000,70.55,4,miejskie,,do wykończenia,pierwotny,pełna własność,prywatny,2026,True,blok,plastikowe,Praga-Północ,Pelcowizna,,8,8,,,,True,True,True,False,False,True,False,False,False
556182923,15950000,95.0,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1912,False,kamienica,,Praga-Północ,Nowa Praga,ul. Inżynierska,3,4,,,,,,,,,,,,
108182923,7800000,39.75,2,miejskie,600,do zamieszkania,wtórny,pełna własność,prywatny,2008,True,blok,plastikowe,Praga-Północ,Szmulowizna,ul. Otwocka,4,4,,,,,,,,,,,,
815182924,,28.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
576182924,17990000,82.83,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2020,True,apartamentowiec,,Praga-Północ,Nowa Praga,ul. Szwedzka,5,5,False,True,True,False,True,False,False,True,True,False,False,False
809182923,7340960,49.85,3,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Praga-Północ,Pelcowizna,,0,6,True,True,True,False,True,True,True,False,False,False,False,False
636182923,9484150,67.65,4,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Praga-Północ,Pelcowizna,,2,6,True,True,True,True,True,False,False,False,False,False,False,True
457182923,6500000,30.0,1,miejskie,450,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1956,False,kamienica,plastikowe,Praga-Północ,Nowa Praga,ul. Inżynierska,4,5,,,,,,,,,,,,
136182924,,29.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
222182924,,29.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
977182924,4900000,31.52,2,brak informacji,686,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1961,True,,,Praga-Północ,Nowa Praga,ul. Wenantego Burdzińskiego,1,10,,,,False,False,False,False,True,False,False,False,True
202182924,6500000,59.0,3,brak informacji,700,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1970,True,,,Praga-Północ,Szmulowizna,,6,10,,,,False,False,False,False,True,False,False,False,True
639182924,6399900,35.0,2,miejskie,450,do zamieszkania,wtórny,pełna własność,prywatny,1956,False,kamienica,plastikowe,Praga-Północ,Nowa Praga,ul. Bertolta Brechta,0,4,False,True,True,,,,,,,,,
419182925,,52.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
385182925,,57.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
966182924,10700000,72.0,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,2015,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,,1,,True,True,True,True,True,False,False,True,False,False,False,True
571182925,7590000,48.25,2,brak informacji,600,do wykończenia,wtórny,pełna własność,biuro nieruchomości,1939,False,,plastikowe,Praga-Północ,Nowa Praga,ul. Inżynierska,2,4,,,,True,False,False,False,True,False,False,False,False
570182925,9500000,47.7,3,miejskie,600,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1966,True,blok,,Praga-Północ,Stara Praga,,2,11,False,True,True,False,False,False,False,True,True,False,False,False
498182925,,38.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
242182925,7690000,47.8,3,miejskie,0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1974,True,blok,plastikowe,Praga-Północ,Nowa Praga,ul. Kowieńska,1,7,True,True,True,,,,,,,,,
187182925,12800000,62.0,2,miejskie,,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1935,False,kamienica,,Praga-Północ,Stara Praga,ul. Jagiellońska,3,4,,,,False,True,False,False,False,False,False,False,True
689182925,3990000,25.47,1,miejskie,465,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,,True,,plastikowe,Praga-Północ,Nowa Praga,,10,11,,,,True,False,False,False,True,False,False,False,False
943182925,16870000,81.4,4,miejskie,1,do zamieszkania,pierwotny,pełna własność,prywatny,2024,True,blok,plastikowe,Praga-Północ,Pelcowizna,ul. Jagiellońska,3,7,True,True,True,True,True,False,False,False,False,False,False,False
637182925,6200000,47.0,3,miejskie,800,brak informacji,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1974,False,blok,plastikowe,Praga-Północ,Szmulowizna,ul. Wiosenna,3,4,,,,True,True,False,False,True,False,False,False,False
793182925,11295000,56.66,3,miejskie,600,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,True,apartamentowiec,,Praga-Północ,Pelcowizna,ul. Jagiellońska,1,7,False,True,True,True,True,True,True,False,False,False,False,False
387182926,,24.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
861182925,5550000,35.6,1,brak informacji,470,do remontu,wtórny,pełna własność,biuro nieruchomości,1956,False,,plastikowe,Praga-Północ,Nowa Praga,ul. Karola Linneusza,1,4,,,,,,,,,,,,
885182926,,76.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
291182926,16990000,86.06,2,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,True,apartamentowiec,plastikowe,Praga-Północ,Nowa Praga,ul. Szwedzka,4,5,True,True,True,True,True,True,False,False,True,False,False,False
252182926,,37.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
827182927,,26.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
695182926,5500000,25.04,1,miejskie,380,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Praga-Północ,Szmulowizna,ul. Grodzieńska,1,6,,,,,,,,,,,,
126182926,6700000,32.7,2,miejskie,441,do zamieszkania,wtórny,pełna własność,prywatny,1953,True,kamienica,plastikowe,Praga-Północ,Nowa Praga,pl. Plac gen. Józefa Hallera,2,6,False,True,True,,,,,,,,,
990182927,,29.62,1,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,True,,,Praga-Północ,Nowa Praga,ul. Konopacka 12,2,7,,,,,,,,,,,,
305182927,,89.38,4,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,True,,,Praga-Północ,Stara Praga,ul. Sprzeczna,6,6,,,,False,True,True,False,False,False,False,False,False
499182927,15950000,95.0,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1912,False,kamienica,,Praga-Północ,Nowa Praga,ul. Inżynierska,3,4,,,,,,,,,,,,
494182928,,24.89,1,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,True,,,Praga-Północ,Szmulowizna,ul. Białostocka,1,8,,,,,,,,,,,,
206182929,,43.2,2,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2026,True,,,Praga-Północ,Pelcowizna,ul. Jagiellońska,3,6,,,,True,True,False,False,False,False,False,False,False
733182928,4990000,25.0,1,miejskie,650,do zamieszkania,wtórny,pełna własność,prywatny,1973,True,blok,plastikowe,Praga-Północ,Nowa Praga,ul. Kowieńska,1,10,True,False,False,,,,,,,,,
378182928,,29.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
826182928,5690000,48.0,2,miejskie,830,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1996,False,blok,plastikowe,Praga-Północ,Nowa Praga,,1,2,,,,,,,,,,,,
897182929,15950000,74.81,3,miejskie,900,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1929,True,kamienica,plastikowe,Praga-Północ,Szmulowizna,ul. Białostocka,0,5,True,True,True,False,False,False,False,True,False,False,False,True
222182929,8490000,50.7,2,miejskie,1,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1994,True,blok,,Praga-Północ,Stara Praga,ul. Targowa,3,6,,,,True,False,False,False,True,True,False,False,False
894182929,,37.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
