id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
253181657,,51.93,2,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2026,True,,,Praga-Południe,Grochów,ul. Przeworska,3,5,True,False,False,True,True,False,False,False,False,False,False,False
765181657,6650000,38.0,2,miejskie,650,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1975,False,blok,plastikowe,Praga-Południe,Saska Kępa,ul. Afrykańska,4,4,,,,True,True,False,False,True,False,False,False,True
622181657,5799000,51.0,2,miejskie,790,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1983,True,blok,plastikowe,Praga-Południe,Grochów,ul. Igańska,,13,False,True,True,True,True,False,False,True,True,False,False,True
725181657,5100000,26.0,1,miejskie,300,do zamieszkania,wtórny,pełna własność,prywatny,2020,True,apartamentowiec,plastikowe,Praga-Południe,Gocławek,ul. Józefa Zaliwskiego,0,3,True,False,False,False,True,True,True,False,False,False,False,False
672181657,,24.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
856181657,4950000,32.0,2,brak informacji,,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1960,False,blok,,Praga-Południe,Grochów,ul. Korytnicka,4,4,,,,True,False,False,False,True,False,False,False,False
984181657,29900000,153.0,5,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,1993,True,apartamentowiec,plastikowe,Praga-Południe,Kamionek,ul. Stanisława Augusta,3,3,True,True,True,True,True,True,False,False,False,False,False,True
471181657,22000000,79.58,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,True,apartamentowiec,,Praga-Południe,Kamionek,ul. Stanisława Augusta,2,5,False,True,True,,,,,,,,,
696181658,5977110,35.16,2,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025,True,apartamentowiec,,Praga-Południe,Grochów,,0,5,True,True,True,False,True,True,True,False,False,False,False,False
627181658,10626550,76.45,4,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Praga-Południe,Grochów,,1,7,True,True,True,True,True,False,False,False,False,False,False,False
308181658,12837190,92.36,5,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025,True,apartamentowiec,,Praga-Południe,Grochów,,1,6,True,True,True,True,True,False,False,False,False,False,False,False
533181658,8000000,58.55,3,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Praga-Południe,Grochów,,1,7,True,True,True,,,,,,,,,
478181658,13490000,59.2,2,gazowe,868,brak informacji,wtórny,pełna własność,biuro nieruchomości,1932,False,kamienica,,Praga-Południe,Kamionek,ul. Kałuszyńska,0,3,False,True,True,,,,,,,,,
439181658,18400000,84.72,4,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,True,blok,,Praga-Południe,Gocław,ul. Celownicza,4,4,False,True,True,True,True,False,False,True,True,False,False,False
437181659,,31.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
520181658,6590000,60.0,3,miejskie,760,do remontu,wtórny,pełna własność,biuro nieruchomości,1961,False,blok,plastikowe,Praga-Południe,Grochów,ul. Ostrobramska,0,4,,,,,,,,,,,,
914181658,9950000,50.23,2,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1960,False,blok,plastikowe,Praga-Południe,Saska Kępa,ul. Holenderska,0,2,False,True,True,False,False,False,False,True,False,False,False,True
319181659,19900000,78.4,2,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,2010,True,plomba,drewniane,Praga-Południe,Grochów,ul. Grenadierów,4,5,False,True,True,True,True,False,False,False,True,False,False,False
521181659,19000000,76.32,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,True,apartamentowiec,plastikowe,Praga-Południe,Grochów,ul. Grochowska,1,4,,,,False,True,True,False,False,True,False,False,False
