id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
345091811,9100000,70.0,3,miejskie,720,do zamieszkania,wtórny,pełna własność,prywatny,2004,False,blok,plastikowe,Rembertów,Stary Rembertów,"al. Aleja gen. Antoniego Chruściela ""Montera""",2,4,True,True,True,True,True,False,False,True,False,False,False,True
599091811,11990000,105.0,5,gazowe,1,do zamieszkania,wtórny,pełna własność,prywatny,2003,False,blok,plastikowe,Rembertów,Stary Rembertów,"al. Aleja gen. Antoniego Chruściela ""Montera""",3,4,True,True,True,True,True,True,False,True,True,False,False,False
142091811,6490000,49.9,2,inne,805,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004,True,blok,plastikowe,Rembertów,Stary Rembertów,ul. Ignacego Paderewskiego,2,4,False,True,True,,,,,,,,,
349091812,,25.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
704091812,4070000,25.62,1,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,False,apartamentowiec,plastikowe,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,5,5,,,,True,True,False,False,False,False,False,False,False
272091812,6570000,56.68,3,miejskie,500,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2024,False,apartamentowiec,plastikowe,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,2,5,,,,True,True,False,False,False,False,False,False,False
794091812,5050000,38.63,2,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,False,apartamentowiec,plastikowe,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,2,5,,,,True,True,False,False,False,False,False,False,False
813091812,6400000,55.0,3,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,False,apartamentowiec,plastikowe,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,2,5,,,,True,True,False,False,False,False,False,False,False
539091812,7900000,67.0,3,brak informacji,,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,,False,blok,,Rembertów,Stary Rembertów,,2,5,,,,True,True,False,False,True,False,False,False,True
880091812,6290000,40.25,2,miejskie,,do zamieszkania,pierwotny,brak informacji,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,5,,True,True,True,False,True,False,True,False,False,False,False,False
614091812,6990000,68.61,3,miejskie,800,do remontu,wtórny,pełna własność,prywatny,1987,False,blok,plastikowe,Rembertów,Stary Rembertów,ul. Czerwonych Beretów,3,3,,,,True,True,False,False,False,False,False,False,False
953091814,,41.92,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
239091813,7990000,76.1,4,miejskie,,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1984,True,blok,plastikowe,Rembertów,Stary Rembertów,ul. Topograficzna,4,5,,,,,,,,,,,,
400091813,4680000,35.08,2,miejskie,,brak informacji,pierwotny,pełna własność,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,4,5,True,True,True,True,True,False,False,False,False,False,False,False
616091813,7860000,72.02,4,brak informacji,,brak informacji,pierwotny,brak informacji,prywatny,2026,False,,,Rembertów,Stary Rembertów,,,,,,,,,,,,,,,
569091813,6990000,54.9,2,miejskie,,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,True,apartamentowiec,plastikowe,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,3,5,False,True,True,True,True,False,False,False,False,False,False,False
487091813,9950000,90.0,4,miejskie,0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1987,False,blok,plastikowe,Rembertów,Stary Rembertów,ul. Topograficzna,3,4,,,,True,False,False,False,True,False,False,False,True
830091813,7258790,59.99,3,miejskie,0,brak informacji,pierwotny,brak informacji,biuro nieruchomości,2025,True,blok,,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,5,5,True,True,True,,,,,,,,,
453091813,4140860,25.64,1,miejskie,0,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025,True,blok,,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,2,5,True,True,True,True,True,False,False,False,True,False,False,False
515091813,4300000,30.3,1,miejskie,460,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2003,False,blok,plastikowe,Rembertów,Nowy Rembertów,,3,3,False,True,True,True,True,True,False,False,False,False,False,False
755091813,9500000,51.97,3,brak informacji,600,brak informacji,wtórny,brak informacji,biuro nieruchomości,2024,True,apartamentowiec,,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,1,6,True,True,True,True,True,False,False,False,False,False,False,False
307091813,9100000,70.0,3,miejskie,720,do zamieszkania,wtórny,pełna własność,prywatny,2004,False,blok,plastikowe,Rembertów,Stary Rembertów,"al. Aleja gen. Antoniego Chruściela ""Montera""",2,4,True,True,True,True,True,False,False,True,False,False,False,True
284091813,4900000,37.05,2,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,False,apartamentowiec,plastikowe,Rembertów,Kawęczyn-Wygoda,ul. Chełmżyńska,3,5,,,,True,True,False,False,False,False,False,False,False
203091813,5800000,35.1,1,kotłownia,700,do zamieszkania,wtórny,pełna własność,prywatny,,True,blok,plastikowe,Rembertów,Stary Rembertów,ul. Gawędziarzy,1,3,,,,False,True,True,False,False,False,False,False,False
311091814,6080000,53.42,3,brak informacji,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,True,apartamentowiec,,Rembertów,Kawęczyn-Wygoda,,2,5,False,True,True,True,True,False,False,False,False,False,False,False
490091814,4540000,35.08,2,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2024,True,apartamentowiec,,Rembertów,Kawęczyn-Wygoda,,1,5,False,True,True,,,,,,,,,
840091814,11990000,105.0,5,gazowe,1,do zamieszkania,wtórny,pełna własność,prywatny,2003,False,blok,plastikowe,Rembertów,Stary Rembertów,"al. Aleja gen. Antoniego Chruściela ""Montera""",3,4,True,True,True,True,True,True,False,True,True,False,False,False
922091814,7000000,54.0,2,brak informacji,640,brak informacji,wtórny,pełna własność,biuro nieruchomości,1957,False,blok,plastikowe,Rembertów,Stary Rembertów,ul. Michała Okurzałego,2,3,,,,,,,,,,,,
448091814,9500000,63.04,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1986,False,blok,plastikowe,Rembertów,Stary Rembertów,ul. Topograficzna,3,4,,,,True,False,False,False,True,False,False,False,True
331091814,9500000,125.3,6,gazowe,,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2024,False,blok,,Rembertów,Stary Rembertów,,1,2,,,,,,,,,,,,
204091814,11500000,136.0,4,gazowe,,do remontu,wtórny,pełna własność,biuro nieruchomości,1990,False,dom wolnostojący,plastikowe,Rembertów,Nowy Rembertów,"ul. mjr. Franciszka Michała Amałowicza ""Tatara""",1,,,,,,,,,,,,,
