id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
602162028,9600000,48.07,3,miejskie,,do zamieszkania,wtórny,brak informacji,prywatny,,True,blok,plastikowe,Śródmieście,Śródmieście Północne,ul. Grzybowska,,15,False,True,True,True,True,False,False,True,True,False,False,False
761162028,12210000,38.0,2,miejskie,519,do zamieszkania,wtórny,pełna własność,prywatny,1939,False,kamienica,plastikowe,Śródmieście,Solec,ul. Wilanowska,3,5,False,True,True,,,,,,,,,
452162028,4750000,16.93,1,brak informacji,250,do remontu,wtórny,pełna własność,biuro nieruchomości,,False,,,Śródmieście,Śródmieście Południowe,ul. Nowy Świat,3,3,,,,,,,,,,,,
345162028,7500000,30.18,1,miejskie,856,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1903,False,kamienica,,Śródmieście,Śródmieście Północne,ul. Elektoralna,0,5,,,,,,,,,,,,
791162028,6900000,37.0,2,miejskie,700,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1966,False,blok,,Śródmieście,Muranów,ul. Mordechaja Anielewicza,0,4,,,,True,False,False,False,True,False,False,False,False
400162028,58000000,93.0,3,miejskie,0,brak informacji,wtórny,pełna własność,biuro nieruchomości,2017,True,apartamentowiec,,Śródmieście,Śródmieście Północne,ul. Złota,,52,False,True,True,,,,,,,,,
711162029,38000000,69.0,2,miejskie,0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,,True,kamienica,,Śródmieście,Śródmieście Południowe,ul. Hoża,3,4,True,True,True,True,True,False,False,True,True,False,False,False
178162029,32000000,112.36,3,miejskie,1,brak informacji,wtórny,pełna własność,biuro nieruchomości,1911,True,,,Śródmieście,Śródmieście Południowe,ul. Hoża,1,5,,,,,,,,,,,,
777162029,12990000,48.52,2,miejskie,750,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2012,True,apartamentowiec,drewniane,Śródmieście,Muranów,,1,19,False,True,True,,,,,,,,,
417162029,14950000,58.4,2,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1955,True,kamienica,plastikowe,Śródmieście,Śródmieście Południowe,,4,6,,,,,,,,,,,,
176162029,8490000,54.63,2,brak informacji,800,do remontu,wtórny,pełna własność,biuro nieruchomości,1951,True,,,Śródmieście,Śródmieście Południowe,al. Aleja Niepodległości,2,5,,,,False,True,False,False,True,False,False,False,False
776162029,,27.0,,,,,,,deweloper,,,,,,,,,,False,True,True,,,,,,,,,
862162029,9766670,36.19,2,miejskie,,do zamieszkania,pierwotny,pełna własność,prywatny,2020,True,apartamentowiec,drewniane,Śródmieście,Muranów,,2,10,True,True,True,True,True,False,False,False,True,False,False,False
463162029,14990000,48.89,2,miejskie,850,brak informacji,wtórny,pełna własność,biuro nieruchomości,1955,False,kamienica,plastikowe,Śródmieście,Śródmieście Południowe,ul. Wspólna,1,4,,,,,,,,,,,,
848162029,28500000,90.0,4,miejskie,1,brak informacji,wtórny,pełna własność,biuro nieruchomości,1908,False,kamienica,drewniane,Śródmieście,Śródmieście Północne,ul. Nowy Świat,1,5,True,False,False,True,False,False,False,True,False,False,False,False
969162029,7690000,35.7,2,brak informacji,0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1964,True,blok,,Śródmieście,Śródmieście Północne,ul. Emilii Plater,2,12,,,,,,,,,,,,
711162030,7250000,36.5,2,miejskie,780,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1961,True,blok,plastikowe,Śródmieście,Śródmieście Północne,ul. Senatorska,3,6,,,,False,False,False,False,True,False,False,False,True
686162029,10890000,46.49,2,miejskie,,do remontu,wtórny,pełna własność,biuro nieruchomości,1957,True,kamienica,plastikowe,Śródmieście,Śródmieście Północne,al. Aleje Jerozolimskie,2,6,True,True,True,,,,,,,,,
