id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
132092040,4500000,24.5,1,miejskie,479,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1978,False,blok,plastikowe,Targówek,Bródno,ul. Suwalska,1,4,,,,False,True,False,False,True,False,False,False,True
222092040,7700000,45.96,2,miejskie,700,do zamieszkania,wtórny,pełna własność,prywatny,2018,True,blok,plastikowe,Targówek,Targówek Mieszkaniowy,,0,,True,True,True,,,,,,,,,
525092040,14000000,77.23,3,miejskie,997,do zamieszkania,wtórny,pełna własność,prywatny,2022,True,blok,plastikowe,Targówek,Elsnerów,ul. Krzewna,2,3,False,True,True,True,True,False,False,False,False,False,False,False
326092041,6150000,46.4,2,miejskie,699,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1976,True,,,Targówek,Bródno-Podgrodzie,ul. Krasnobrodzka,4,10,False,True,True,False,True,False,False,False,False,False,False,True
236092041,,37.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
583092040,3800000,27.0,1,miejskie,599,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,,False,blok,plastikowe,Targówek,Bródno,ul. Simóna Bolívara,4,4,False,True,True,False,True,False,False,False,False,False,False,True
360092041,,41.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
175092041,,25.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
819092041,,39.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
723092041,5700000,39.5,2,miejskie,500,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1971,True,blok,plastikowe,Targówek,Bródno-Podgrodzie,ul. Krasiczyńska,6,10,,,,True,False,False,False,True,False,False,False,True
