id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
585092458,4490000,32.0,2,elektryczne,550,brak informacji,wtórny,pełna własność,biuro nieruchomości,2002,False,blok,plastikowe,Ursus,Skorosze,ul. Apartamentowa,3,3,False,True,True,,,,,,,,,
408092457,13990000,106.06,6,gazowe,,brak informacji,wtórny,pełna własność,biuro nieruchomości,1996,False,blok,,Ursus,Czechowice,,2,2,,,,True,False,False,False,False,False,False,False,False
838092458,11500000,65.15,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,2018,True,blok,plastikowe,Ursus,Skorosze,ul. Aleksandra Prystora,1,4,True,True,True,True,True,True,True,True,True,False,False,True
235092457,5929420,41.1,2,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
705092458,4490000,32.0,2,elektryczne,550,brak informacji,wtórny,pełna własność,biuro nieruchomości,2002,False,blok,plastikowe,Ursus,Skorosze,ul. Apartamentowa,3,3,False,True,True,,,,,,,,,
246092458,8876000,63.0,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004,True,blok,,Ursus,Skorosze,ul. Józefa Chełmońskiego,2,7,True,True,True,True,True,False,False,False,True,False,False,False
374092459,,38.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
209092458,7529460,59.56,4,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,2,,True,True,True,True,True,False,False,False,True,False,False,False
464092458,7510170,59.39,3,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
791092459,,27.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
751092459,,37.0,,,,,,,deweloper,,,,,,,,,,False,True,True,,,,,,,,,
352092459,,29.0,,,,,,,deweloper,,,,,,,,,,True,False,False,,,,,,,,,
581092459,4990000,25.5,2,miejskie,,do zamieszkania,pierwotny,pełna własność,prywatny,2025,True,blok,plastikowe,Ursus,Skorosze,ul. Ryżowa,1,6,True,True,True,,,,,,,,,
423092500,,42.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
571092459,5928070,41.16,2,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
794092459,7505780,59.55,4,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
217092500,7501520,59.6,4,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
928092459,5926450,41.16,2,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
539092500,6650000,40.16,2,miejskie,600,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,True,blok,plastikowe,Ursus,Szamoty,ul. Posag 7 Panien,,,False,True,True,True,True,False,False,False,False,False,False,False
979092500,7500120,59.45,3,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
170092500,,43.17,3,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2027,True,,,Ursus,Czechowice,ul. Słupska,2,2,True,False,False,True,True,False,False,False,False,False,False,False
392092500,7505670,59.67,4,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
862092500,5926640,41.1,2,miejskie,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,True,blok,plastikowe,Ursus,Szamoty,,1,,True,True,True,True,True,False,False,False,True,False,False,False
892092500,6350000,34.1,2,miejskie,440,do zamieszkania,wtórny,brak informacji,prywatny,1988,False,blok,plastikowe,Ursus,Skorosze,ul. Walerego Sławka,3,,,,,True,False,False,False,True,False,False,False,False
312092500,8990000,63.0,3,miejskie,900,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,True,apartamentowiec,,Ursus,Szamoty,"Kompanii AK ""Goplana""",7,7,True,True,True,True,True,False,False,False,False,False,False,False
986092500,6750000,49.2,2,miejskie,700,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1965,False,blok,,Ursus,Skorosze,ul. Karola Adamieckiego,3,3,,,,,,,,,,,,
847092500,8990000,66.5,3,miejskie,950,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2018,True,blok,plastikowe,Ursus,Czechowice,ul. Ochocka,1,3,,,,True,True,False,False,False,False,False,False,False
283092501,,37.46,2,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,False,,,Ursus,Szamoty,Dyrekcyjna,1,6,False,True,True,True,True,False,False,False,False,False,False,False
557092501,,32.15,2,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2027,True,,,Ursus,Szamoty,ul. Szamoty,1,7,,,,True,True,False,False,False,False,False,False,False
563092501,4550000,35.3,2,miejskie,380,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1957,False,blok,plastikowe,Ursus,Skorosze,,2,3,,,,True,False,True,False,True,True,False,False,False
821092501,5450000,48.2,3,miejskie,544,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1975,False,blok,plastikowe,Ursus,Niedźwiadek,ul. Orląt Lwowskich,2,4,False,True,True,True,True,False,False,True,False,False,False,True
906092501,7200000,47.3,2,miejskie,630,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2003,True,blok,plastikowe,Ursus,Skorosze,ul. Dzieci Warszawy,7,8,True,False,False,,,,,,,,,
594092501,9000000,62.27,3,brak informacji,,brak informacji,wtórny,brak informacji,biuro nieruchomości,,False,,,Ursus,Szamoty,,,,,,,,,,,,,,,
860092501,8800000,70.0,3,miejskie,900,do zamieszkania,wtórny,pełna własność,prywatny,2005,True,blok,drewniane,Ursus,Gołąbki,,2,5,,,,True,True,False,False,False,False,False,False,False
128092501,9950000,64.52,3,miejskie,950,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,True,blok,plastikowe,Ursus,Szamoty,,5,7,False,True,True,True,True,False,False,False,False,False,False,False
164092501,8300000,63.89,3,miejskie,900,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2003,True,blok,plastikowe,Ursus,Skorosze,ul. Skoroszewska,4,7,True,True,True,True,True,False,False,False,False,False,False,True
832092502,10290000,62.48,3,miejskie,900,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2018,True,blok,plastikowe,Ursus,Skorosze,ul. Starodęby,6,8,True,True,True,True,True,False,False,False,False,False,False,False
505092502,,28.19,1,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2026,True,,,Ursus,Szamoty,ul. Posag 7 Panien,0,8,True,False,False,,,,,,,,,
