id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
312093340,29800000,155.0,6,miejskie,2,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2003,True,blok,drewniane,Ursynów,Kabaty,ul. Stefana Dembego,3,5,True,True,True,True,True,False,False,True,False,False,False,False
947093340,14200000,75.4,3,miejskie,820,do zamieszkania,wtórny,pełna własność,prywatny,2020,True,apartamentowiec,plastikowe,Ursynów,Wyczółki,,1,3,False,True,True,True,True,True,False,True,False,False,False,False
431093341,5790000,44.68,2,miejskie,,do wykończenia,wtórny,pełna własność,prywatny,2025,True,blok,plastikowe,Ursynów,Jeziorki Południowe,,0,3,True,True,True,False,True,False,True,False,False,False,False,False
116093341,6950000,47.2,2,miejskie,907,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1980,True,blok,plastikowe,Ursynów,Natolin,,9,10,,,,True,True,False,False,True,False,False,False,True
228093342,,29.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
596093341,6200000,52.9,3,miejskie,1,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1981,False,blok,plastikowe,Ursynów,Ursynów-Centrum,ul. Pawła Edmunda Strzeleckiego,4,4,False,True,True,True,False,False,False,True,False,False,False,True
716093341,10600000,53.07,3,miejskie,880,do zamieszkania,wtórny,pełna własność,prywatny,2015,True,blok,drewniane,Ursynów,Wyczółki,ul. Kłobucka,5,6,True,True,True,True,True,False,False,False,False,False,False,False
724093341,12675000,75.0,4,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,1991,False,blok,plastikowe,Ursynów,Stary Imielin,ul. Franciszka Łukaszczyka,2,3,True,False,False,True,True,False,False,True,True,False,False,True
143093341,4995000,27.0,1,miejskie,521,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,2004,True,blok,plastikowe,Ursynów,Natolin,al. Aleja Komisji Edukacji Narodowej,5,11,False,True,True,,,,,,,,,
155093341,9890000,53.0,3,miejskie,0,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1972,True,blok,,Ursynów,Ursynów Północny,ul. Oskara Sosnowskiego,6,7,,,,True,False,False,False,True,False,False,False,False
780093341,17300000,96.52,4,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1997,False,blok,,Ursynów,Ursynów Północny,ul. Stanisława Herbsta,3,3,False,True,True,True,True,False,False,True,False,False,False,False
573093341,15000000,61.39,3,brak informacji,,do zamieszkania,wtórny,brak informacji,prywatny,2020,True,blok,,Ursynów,Wyczółki,ul. Kłobucka,2,4,False,True,True,True,True,False,False,False,True,False,False,False
461093342,15500000,97.0,4,brak informacji,0,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2006,False,,plastikowe,Ursynów,Stary Imielin,ul. Alternatywy,1,8,,,,,,,,,,,,
969093342,7600000,59.4,3,miejskie,1,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1981,False,blok,plastikowe,Ursynów,Ursynów-Centrum,ul. Hawajska,0,4,,,,True,False,False,True,True,False,False,False,True
416093342,12700000,85.2,4,miejskie,1,brak informacji,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1986,False,blok,plastikowe,Ursynów,Natolin,ul. Małej Łąki,2,3,,,,True,False,False,False,True,False,False,False,False
202093342,14500000,78.0,4,miejskie,0,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2008,True,blok,,Ursynów,Natolin,al. Aleja Komisji Edukacji Narodowej,1,7,,,,True,True,False,False,False,True,False,False,False
260093342,6700000,54.4,2,miejskie,794,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2002,True,blok,drewniane,Ursynów,Natolin,ul. rtm. Witolda Pileckiego,1,8,,,,,,,,,,,,
252093342,9950000,62.9,3,miejskie,1,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1977,False,blok,plastikowe,Ursynów,Ursynów Północny,ul. Puszczyka,2,3,,,,True,False,False,False,True,False,False,False,True
981093342,12590000,84.6,3,kotłownia,1,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1999,False,blok,drewniane,Ursynów,Ursynów-Centrum,ul. Nowoursynowska,3,4,True,True,True,True,True,False,False,True,False,False,False,True
677093344,,33.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
910093342,6050000,42.4,2,miejskie,,brak informacji,wtórny,pełna własność,biuro nieruchomości,1982,False,blok,plastikowe,Ursynów,Ursynów Północny,ul. Wiolinowa,4,4,False,True,True,True,False,False,False,True,False,False,False,True
419093342,7990000,94.0,3,inne,,do wykończenia,pierwotny,pełna własność,deweloper,2024,False,dom wolnostojący,plastikowe,Ursynów,Jeziorki Południowe,ul. Sarabandy,1,1,True,False,False,False,True,False,True,False,False,False,False,False
239093342,7100000,31.0,1,miejskie,550,do zamieszkania,wtórny,pełna własność,prywatny,2004,True,,plastikowe,Ursynów,Kabaty,ul. Kabacki Dukt,1,6,True,True,True,True,True,False,False,False,False,False,False,True
814093343,16900000,113.0,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,1990,False,blok,,Ursynów,Natolin,"ul. Kazimierza Sotta ""Sokoła""",3,3,False,True,True,,,,,,,,,
279093343,6990000,47.3,2,miejskie,900,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1987,True,blok,plastikowe,Ursynów,Natolin,,7,10,,,,True,True,False,False,True,False,False,False,True
294093342,6340000,46.4,2,miejskie,1,brak informacji,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1980,True,blok,,Ursynów,Ursynów-Centrum,ul. Jana Miklaszewskiego,1,4,,,,True,False,False,False,True,False,False,False,True
270093343,9470000,75.0,4,miejskie,1,brak informacji,wtórny,pełna własność,biuro nieruchomości,1984,False,blok,plastikowe,Ursynów,Ursynów-Centrum,ul. Ludwika Hirszfelda,0,3,,,,True,False,False,True,True,False,False,False,False
341093343,5190000,28.47,1,miejskie,519,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2005,True,blok,plastikowe,Ursynów,Natolin,ul. Stryjeńskich,,11,True,True,True,,,,,,,,,
825093343,15433000,78.0,3,miejskie,1,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2020,True,apartamentowiec,,Ursynów,Grabów,ul. Taneczna,0,4,False,True,True,False,True,False,True,True,False,False,False,False
304093343,13900000,130.84,5,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,False,,,Lesznowola,Mysiadło,ul. Kuropatwy,0,,True,False,False,False,False,False,True,False,False,False,False,False
197093344,,32.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
964093344,,36.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
482093343,13990000,109.2,4,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1990,False,blok,plastikowe,Ursynów,Natolin,,3,3,True,False,False,,,,,,,,,
440093344,8500000,53.3,2,miejskie,700,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2008,True,apartamentowiec,,Ursynów,Natolin,ul. Filipiny Płaskowickiej,3,3,False,True,True,True,True,False,False,False,False,False,False,True
