id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
986094607,15950000,110.0,4,gazowe,2,do zamieszkania,wtórny,pełna własność,prywatny,2013,True,blok,plastikowe,Wawer,Marysin Wawerski,ul. Naddnieprzańska 30,3,3,True,True,True,True,True,True,False,True,False,False,False,True
271094607,7990000,55.73,3,miejskie,620,do zamieszkania,wtórny,pełna własność,prywatny,1955,False,blok,plastikowe,Wawer,Międzylesie,ul. Żegańska,1,3,,,,,,,,,,,,
303094607,13990000,115.0,4,inne,,do zamieszkania,wtórny,pełna własność,prywatny,2010,False,apartamentowiec,drewniane,Wawer,Radość,ul. Rozszerzona,1,2,True,False,False,True,True,True,False,False,True,False,False,False
362094607,,58.0,,,,,,,deweloper,,,,,,,,,,True,False,False,,,,,,,,,
921094608,,107.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
109094608,,89.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
102094607,5543440,41.68,2,inne,,do wykończenia,pierwotny,pełna własność,deweloper,2026,True,apartamentowiec,plastikowe,Wawer,Falenica,ul. Przylaszczkowa,1,3,True,False,False,True,True,False,False,False,True,False,False,False
826094608,,43.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
677094609,,41.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
580094608,9999990,75.53,5,gazowe,300,do zamieszkania,wtórny,pełna własność,prywatny,2023,False,szeregowiec,plastikowe,Wawer,Zerzeń,ul. Trakt Lubelski,2,3,,,,True,True,False,False,False,False,False,False,False
872094608,16875000,122.0,5,gazowe,,brak informacji,wtórny,pełna własność,prywatny,,False,apartamentowiec,plastikowe,Wawer,Miedzeszyn,ul. Garncarska,1,,True,False,False,True,True,False,False,False,False,False,False,False
840094609,12149990,75.0,3,gazowe,0,do zamieszkania,wtórny,pełna własność,prywatny,2024,False,szeregowiec,plastikowe,Wawer,Miedzeszyn,ul. Tawułkowa,0,,True,True,True,False,True,True,True,False,True,False,False,False
748094608,15950000,110.0,4,gazowe,2,do zamieszkania,wtórny,pełna własność,prywatny,2013,True,blok,plastikowe,Wawer,Marysin Wawerski,ul. Naddnieprzańska 30,3,3,True,True,True,True,True,True,False,True,False,False,False,True
871094609,8200000,49.35,2,miejskie,757,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,True,blok,plastikowe,Wawer,Marysin Wawerski,,4,5,True,True,True,True,True,False,False,False,True,False,False,False
130094609,6545000,49.6,3,kotłownia,535,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1950,False,szeregowiec,plastikowe,Wawer,Międzylesie,ul. Żegańska,2,3,,,,True,True,False,False,True,False,False,False,False
270094609,,78.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
