id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
573102556,6800000,47.5,2,kotłownia,800,do zamieszkania,wtórny,pełna własność,prywatny,2001,False,blok,plastikowe,Wesoła,Stara Miłosna,ul. Jana Pawła II,3,3,False,True,True,False,False,True,False,False,False,False,False,True
660102556,6500000,52.9,3,gazowe,1,do zamieszkania,wtórny,pełna własność,prywatny,1970,False,blok,plastikowe,Wesoła,Plac Wojska Polskiego,pl. Plac Wojska Polskiego,4,4,,,,True,True,False,False,True,False,False,False,True
250102556,6200000,42.2,2,brak informacji,600,do zamieszkania,wtórny,pełna własność,prywatny,,False,loft,,Wesoła,Zielona-Grzybowa,ul. Wschodnia,2,2,True,False,False,False,True,False,True,True,False,False,False,False
473102556,,32.0,,,,,,,deweloper,,,,,,,,,,False,True,False,,,,,,,,,
357102556,6800000,47.5,2,kotłownia,800,do zamieszkania,wtórny,pełna własność,prywatny,2001,False,blok,plastikowe,Wesoła,Stara Miłosna,ul. Jana Pawła II,3,3,False,True,True,False,False,True,False,False,False,False,False,True
483102556,9990000,80.0,3,gazowe,,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2023,False,szeregowiec,plastikowe,Wesoła,Stara Miłosna,,1,1,,,,True,True,False,False,True,False,False,False,False
488102556,10500000,87.0,4,gazowe,0,do zamieszkania,wtórny,pełna własność,prywatny,2001,False,dom wolnostojący,plastikowe,Wesoła,Stara Miłosna,,0,2,True,False,False,True,True,True,True,False,False,False,False,False
762102556,14990000,150.0,5,inne,1,do wykończenia,pierwotny,pełna własność,prywatny,2025,False,szeregowiec,plastikowe,Wesoła,Stara Miłosna,ul. Cieplarniana,0,2,True,False,False,False,True,True,False,False,False,False,False,False
668102556,4998000,42.0,3,gazowe,340,do remontu,wtórny,pełna własność,prywatny,1967,False,blok,plastikowe,Wesoła,Zielona-Grzybowa,ul. Warszawska,1,2,,,,False,True,False,False,True,True,False,False,True
825102557,,42.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
510102556,9990000,67.02,4,brak informacji,950,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2013,True,blok,plastikowe,Wesoła,Stara Miłosna,ul. Kamyk,2,3,True,False,False,True,True,False,False,False,False,False,False,False
585102556,4690000,30.5,1,kotłownia,640,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2010,True,apartamentowiec,plastikowe,Wesoła,Stara Miłosna,ul. Mazowiecka,0,3,True,False,False,True,True,False,False,False,True,False,False,False
628102557,9990000,148.3,5,gazowe,800,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2002,False,blok,plastikowe,Wesoła,Stara Miłosna,ul. Rumiankowa,2,2,,,,True,True,False,False,False,False,False,False,False
993102557,4480000,32.76,1,gazowe,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,True,apartamentowiec,plastikowe,Wesoła,Stara Miłosna,,2,4,,,,True,True,False,False,False,False,False,False,False
362102557,8650000,57.0,2,miejskie,590,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2020,True,blok,plastikowe,Wesoła,Stara Miłosna,ul. Mazowiecka,2,3,True,True,True,True,True,False,False,False,False,False,False,False
750102557,4990000,29.0,2,gazowe,252,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1960,False,blok,plastikowe,Wesoła,Zielona-Grzybowa,ul. Korkowa,0,2,,,,False,False,False,True,True,False,False,False,False
764102557,7390000,63.0,2,miejskie,930,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2001,False,blok,drewniane,Wesoła,Stara Miłosna,,2,3,,,,True,True,False,False,False,True,False,False,False
