id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
584102756,16900000,113.0,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,1990,False,blok,,Ursynów,Natolin,"ul. Kazimierza Sotta ""Sokoła""",3,3,False,True,True,,,,,,,,,
668102755,9600000,53.47,2,miejskie,,do zamieszkania,wtórny,brak informacji,prywatny,,True,apartamentowiec,drewniane,Wilanów,Błonia Wilanowskie,ul. Prymasa Augusta Hlonda,0,4,False,True,True,False,True,False,True,False,False,False,False,False
209102756,9190000,47.5,2,miejskie,700,do zamieszkania,wtórny,pełna własność,prywatny,2017,True,blok,plastikowe,Wilanów,Błonia Wilanowskie,ul. Sarmacka,1,4,True,True,True,True,True,True,False,False,False,False,False,False
901102755,16200000,80.11,3,miejskie,1,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2025,True,,drewniane,Wilanów,Błonia Wilanowskie,ul. Adama Branickiego,1,5,True,True,True,True,True,False,False,False,True,False,False,False
447102756,,72.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
987102756,8400000,46.6,2,miejskie,,do wykończenia,wtórny,brak informacji,biuro nieruchomości,2025,True,apartamentowiec,drewniane,Wilanów,Błonia Wilanowskie,ul. Jerzego Holzera,3,4,False,True,True,True,True,False,False,False,False,False,False,False
332102756,5400000,25.0,1,miejskie,573,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,True,apartamentowiec,drewniane,Wilanów,Błonia Wilanowskie,ul. Sarmacka 27,2,4,False,True,True,True,True,False,False,False,False,False,False,False
773102756,8900000,46.53,2,gazowe,626,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2016,True,blok,plastikowe,Wilanów,Zawady,ul. Bruzdowa,1,2,,,,True,True,False,False,True,False,False,False,False
570102756,16990000,76.0,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2013,True,blok,drewniane,Wilanów,Błonia Wilanowskie,ul. Prymasa Augusta Hlonda,2,4,False,True,True,True,True,False,False,False,True,False,False,False
955102757,,41.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
714102756,9900000,75.8,3,miejskie,970,do remontu,wtórny,pełna własność,biuro nieruchomości,1978,True,blok,plastikowe,Wilanów,Wilanów Wysoki,ul. Królowej Marysieńki 19,1,10,,,,True,False,False,False,True,False,False,False,False
369102756,11500000,60.57,2,miejskie,933,do zamieszkania,wtórny,pełna własność,prywatny,2006,False,blok,drewniane,Wilanów,Błonia Wilanowskie,ul. Sarmacka,2,4,False,True,True,True,True,False,False,True,False,False,False,False
