id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
773110135,4850000,34.0,1,miejskie,515,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2001,True,apartamentowiec,plastikowe,Włochy,Stare Włochy,,0,3,,,,False,False,True,False,False,False,False,False,True
490110134,18750000,82.0,4,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,2010,True,apartamentowiec,drewniane,Włochy,Nowe Włochy,ul. Łuki Wielkie,0,3,True,True,True,True,True,True,True,True,True,False,False,True
720110134,6790000,35.74,2,miejskie,600,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2022,True,blok,plastikowe,Włochy,Raków,ul. Szybka,4,5,False,True,True,True,True,False,False,True,False,False,False,False
835110135,8500000,61.5,4,miejskie,1,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1957,False,blok,plastikowe,Włochy,Okęcie,ul. Komitetu Obrony Robotników,2,4,,,,True,False,False,False,True,False,False,False,False
193110135,,58.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
940110135,11442500,99.5,4,miejskie,,do wykończenia,wtórny,pełna własność,prywatny,1960,False,,plastikowe,Włochy,Okęcie,ul. Słowicza,1,3,,,,False,False,True,False,True,False,False,False,False
469110135,3640000,17.3,1,miejskie,470,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,True,apartamentowiec,,Włochy,Stare Włochy,,4,,False,True,True,,,,,,,,,
789110136,,26.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
229110135,6000000,38.1,2,miejskie,650,do zamieszkania,wtórny,pełna własność,prywatny,1978,True,blok,plastikowe,Włochy,Okęcie,ul. 1 Sierpnia,10,10,False,True,True,True,True,False,False,True,False,False,False,True
304110136,10600000,54.47,3,miejskie,630,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,True,blok,plastikowe,Włochy,Raków,ul. Łopuszańska,0,5,True,True,True,True,True,False,True,False,True,False,False,False
203110136,,37.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
539110135,4850000,34.0,1,miejskie,515,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2001,True,apartamentowiec,plastikowe,Włochy,Stare Włochy,,0,3,,,,False,False,True,False,False,False,False,False,True
664110136,,41.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
662110136,8100000,43.22,3,inne,300,do wykończenia,pierwotny,pełna własność,deweloper,2024,True,blok,plastikowe,Włochy,Nowe Włochy,,3,4,True,False,False,True,True,False,False,True,True,False,False,False
932110137,5140000,40.4,1,miejskie,,do remontu,wtórny,pełna własność,biuro nieruchomości,2000,True,blok,drewniane,Włochy,Stare Włochy,ul. Naukowa,1,4,True,False,False,True,True,False,False,False,False,False,False,True
312110137,8690000,49.5,2,miejskie,750,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,,True,blok,drewniane,Włochy,Stare Włochy,ul. Naukowa,0,4,True,False,False,True,True,False,False,False,False,False,False,True
664110136,14600000,88.0,3,gazowe,700,do zamieszkania,wtórny,pełna własność,prywatny,2004,False,blok,plastikowe,Włochy,Stare Włochy,ul. Krańcowa,2,3,True,True,True,True,True,False,False,False,True,False,False,True
490110137,,51.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
364110136,7500000,39.4,2,brak informacji,,do zamieszkania,wtórny,pełna własność,prywatny,2025,False,blok,plastikowe,Włochy,Salomea,ul. Jutrzenki,2,3,True,True,True,True,True,False,False,False,False,False,False,False
459110137,6500000,52.66,3,gazowe,684,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1950,False,kamienica,plastikowe,Włochy,Nowe Włochy,ul. Potrzebna,0,4,True,True,True,,,,,,,,,
327110137,5080000,28.0,1,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,False,apartamentowiec,plastikowe,Włochy,Raków,ul. Fajansowa,4,8,,,,True,True,False,False,False,False,False,False,False
111110137,5660000,32.0,1,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,False,apartamentowiec,plastikowe,Włochy,Raków,ul. Łopuszańska,5,5,,,,True,True,False,False,False,False,False,False,False
173110137,10256640,80.13,4,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025,True,apartamentowiec,,Włochy,Raków,,1,5,True,True,True,True,True,False,False,False,False,False,False,False
444110138,8313080,57.53,3,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Włochy,Raków,,1,5,True,True,True,True,True,False,False,False,False,False,False,False
202110138,6013800,38.13,2,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025,True,apartamentowiec,,Włochy,Raków,,0,5,True,True,True,False,True,True,True,False,False,False,False,False
715110137,10242960,75.04,4,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Włochy,Raków,,3,5,True,True,True,True,True,False,False,False,False,False,False,False
561110137,8177040,49.86,3,brak informacji,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,True,apartamentowiec,,Włochy,Raków,,6,5,True,True,True,True,True,False,False,False,False,False,False,False
729110138,,27.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
930110138,,31.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
564110138,,122.48,4,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2026,True,,,Włochy,Okęcie,ul. Solińska,5,5,True,False,False,True,True,True,False,False,False,False,False,False
795110139,,25.35,,,,,,,deweloper,,,,,,,,,,False,True,False,,,,,,,,,
133110138,11000000,60.64,3,miejskie,712,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2020,True,apartamentowiec,,Włochy,Raków,ul. Równoległa,0,5,False,True,True,False,True,True,True,False,False,False,False,True
207110138,17990000,146.0,4,brak informacji,0,brak informacji,wtórny,brak informacji,biuro nieruchomości,2000,True,blok,,Włochy,Stare Włochy,al. Aleje Jerozolimskie,2,3,True,False,False,True,True,False,False,False,False,False,False,False
207110139,8490000,50.0,2,miejskie,700,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Włochy,Raków,ul. Instalatorów,1,6,True,True,True,True,False,False,False,False,False,False,False,True
586110139,9999000,50.0,2,miejskie,700,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2025,True,apartamentowiec,plastikowe,Włochy,Raków,ul. Instalatorów,3,6,True,True,True,,,,,,,,,
550110139,9880000,58.83,3,brak informacji,0,brak informacji,pierwotny,brak informacji,biuro nieruchomości,2025,False,,,Włochy,Raków,ul. Fajansowa,0,8,,,,False,True,False,True,False,False,False,False,False
265110139,18150000,164.8,5,miejskie,1,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1992,False,blok,plastikowe,Włochy,Okęcie,ul. Leżajska,3,3,,,,True,True,False,False,True,False,False,False,True
489110139,11130000,50.6,2,kotłownia,0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,True,blok,,Włochy,Stare Włochy,ul. Szczęsna,2,2,True,False,False,True,True,True,False,False,False,False,False,False
154110139,13390000,67.0,3,kotłownia,0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,True,blok,,Włochy,Stare Włochy,ul. Szczęsna,2,2,True,False,False,True,True,True,False,False,True,False,False,False
