id,price,area,rooms,heating,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,district,neighborhood,street,current_floor,total_floors,gated_area,monitoring,security_guard,balcony,parking,terrace,garden,basement,utility_rooms,non_smokers_only,students_allowed,separate_kitchen
115164651,16230000,70.6,3,miejskie,1,do zamieszkania,wtórny,pełna własność,prywatny,1914,False,kamienica,plastikowe,Wola,Mirów,ul. Waliców,4,,True,False,False,,,,,,,,,
661164651,5290000,32.0,1,miejskie,500,do zamieszkania,wtórny,pełna własność,prywatny,1936,False,kamienica,plastikowe,Wola,Koło,ul. Obozowa,2,2,,,,,,,,,,,,
190164651,7900000,38.05,2,miejskie,750,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1964,False,blok,plastikowe,Wola,Nowolipki,ul. Smocza,2,4,,,,True,False,False,False,True,False,False,False,True
441164651,17200000,75.87,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2014,True,apartamentowiec,,Wola,Czyste,ul. Siedmiogrodzka,5,7,False,True,True,False,True,True,False,True,True,False,False,False
104164651,14550000,75.14,4,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2009,False,blok,,Wola,Odolany,ul. Jana Kazimierza,1,,False,True,True,,,,,,,,,
850164652,,32.11,1,brak informacji,,do wykończenia,pierwotny,pełna własność,deweloper,2025,True,,,Wola,Ulrychów,ul. Redutowa,2,8,True,False,False,True,True,False,False,False,False,False,False,False
436164652,,29.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
740164652,,33.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
612164652,,37.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
377164652,,29.0,,,,,,,deweloper,,,,,,,,,,False,False,False,,,,,,,,,
740164652,11980000,63.5,3,miejskie,1,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1952,True,kamienica,plastikowe,Wola,Mirów,ul. Elektoralna,2,5,,,,,,,,,,,,
463164652,7400000,29.78,1,miejskie,640,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2024,True,blok,plastikowe,Wola,Czyste,ul. Kolejowa,1,5,,,,True,True,False,False,True,True,False,False,False
629164652,7490000,37.0,2,miejskie,560,do zamieszkania,wtórny,brak informacji,prywatny,1962,False,blok,plastikowe,Wola,Ulrychów,ul. Monte Cassino,0,4,,,,True,False,False,False,True,False,False,False,False
395164652,10976080,56.4,3,miejskie,,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2027,True,apartamentowiec,plastikowe,Wola,Odolany,,2,16,True,True,True,True,True,False,True,False,True,False,False,False
905164652,16472500,77.26,3,miejskie,,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2027,True,apartamentowiec,plastikowe,Wola,Odolany,,9,16,True,True,True,True,True,False,False,False,True,False,False,False
392164653,7690000,48.0,3,miejskie,1,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1969,True,,drewniane,Wola,Mirów,,2,15,,,,True,True,False,False,True,False,False,False,False
364164653,6690000,30.84,1,miejskie,560,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2015,True,apartamentowiec,,Wola,Odolany,ul. Marcina Kasprzaka,1,15,True,True,True,True,True,False,False,False,False,False,False,False
926164653,6749990,33.23,2,brak informacji,540,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2021,True,,,Wola,Odolany,ul. Jana Kazimierza,3,7,,,,True,True,False,False,False,True,False,False,False
991164653,7498000,48.8,3,brak informacji,700,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1962,False,,,Wola,Ulrychów,ul. Redutowa,3,3,,,,True,False,False,False,True,False,False,False,True
726164653,6390000,37.3,2,miejskie,500,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1964,False,blok,,Wola,Ulrychów,ul. Redutowa,1,4,,,,True,False,False,False,True,False,False,False,False
