link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/prezentacja-tylko-2-wrzesnia-ID4xIjB,20250823153645924,3456789,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",350m²,8,gazoweelektrycznekominkowe,,brak informacji,do zamieszkania,wtórny,,prywatny,,,brak informacji,,monitoring / ochronateren zamknięty,garaż/miejsce parkingowe | piwnica | strych | klimatyzacja
https://www.otodom.pl/pl/oferta/zabytkowy-palac-w-karkonoszach-w-nim-hotel-widok-na-sniezke-12-hapark-ID4xDCR,20250823153645138,13500000,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",2200m²,10+ pokoi,gazowekominkowe,,brak informacji,do zamieszkania,wtórny,,biuro nieruchomości,,,dworek/pałac,drewniane,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/unikat-prestizowy-adres-przy-starym-miescie-ID4v9qF,20250823153645360,5990000,"ul. Rajców, Nowe Miasto, Śródmieście, Warszawa, mazowieckie",300m²,7,gazowe,,2 000 zł,do remontu,wtórny,,biuro nieruchomości,1977,,szeregowiec,,,garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/dom-romualda-gutta-w-stylu-modernistycznym-ID4xuqg,20250823153645445,39000000,"Solec, Śródmieście, Warszawa, mazowieckie",398m²,6,brak informacji,,0,do zamieszkania,wtórny,,biuro nieruchomości,1926,,wolnostojący,,,
https://www.otodom.pl/pl/oferta/dom-133-m2-z-ogrodkiem-w-zabudowie-blizniaczej-gotowe-lokale-ID4uMsS,20250823153645695,999999,"al. Kardynała Stefana Wyszyńskiego 22, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",133m²,4,gazowepompa ciepła,,brak informacji,do wykończenia,pierwotny,,prywatny,2025,,szeregowiec,plastikowe,teren zamknięty,
https://www.otodom.pl/pl/oferta/rezydencja-palacowa-na-wilanowie-do-wejscia-ID4xd4c,20250823153645690,6000000,"Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",400m²,7,gazowe,,brak informacji,brak informacji,wtórny,,biuro nieruchomości,2005,,brak informacji,plastikowe,,
https://www.otodom.pl/pl/oferta/top-kamienica-inwestycyjna-przy-katedrze-gniezno-ID4tj8P,20250823153645950,4900000,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",1315m²,10+ pokoi,gazowe,,brak informacji,do wykończenia,wtórny,,biuro nieruchomości,,,kamienica,drewniane,,strych | piwnica
https://www.otodom.pl/pl/oferta/przepiekna-kamienica-na-sprzedaz-ID4mKau,20250823153645918,10000000,"ul. Chmielna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",2298m²,10+ pokoi,miejskie,,brak informacji,do zamieszkania,wtórny,,biuro nieruchomości,1860,,kamienica,,,
https://www.otodom.pl/pl/oferta/kamienica-dobra-inwestycja-dowiedz-sie-wiecej-ID4sWZD,20250823153645174,10500000,"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",1888m²,10+ pokoi,brak informacji,,0,do zamieszkania,pierwotny,,biuro nieruchomości,1860,,wolnostojący,,,
https://www.otodom.pl/pl/oferta/dom-na-sprzedaz-warszawa-srodmiescie-ID4kG9O,20250823153645389,7200000,"Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",480m²,10+ pokoi,brak informacji,,0,do zamieszkania,wtórny,,biuro nieruchomości,,,szeregowiec,,,
https://www.otodom.pl/pl/oferta/prezentacja-tylko-2-wrzesnia-ID4xIjB,20250823153645387,3456789,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",350m²,8,gazoweelektrycznekominkowe,,brak informacji,do zamieszkania,wtórny,,prywatny,,,brak informacji,,monitoring / ochronateren zamknięty,garaż/miejsce parkingowe | piwnica | strych | klimatyzacja
