link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-bez-prowizji-1-msc-for-free-ID4xmkB,555132734,3450,"ul. Lazurowa, Chrzanów, Bemowo, Warszawa, mazowieckie",39m²,2,miejskie,2/3,850 zł/miesiąc,do zamieszkania,,,prywatny,2023,tak,blok,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-warszawskim-bemowie-przy-ul-wiesniaczej-8-ID4xMfR,621132734,3200,"ul. Wieśniacza, Górce, Bemowo, Warszawa, mazowieckie",35.85m²,2,miejskie,1/5,550 zł/miesiąc,do zamieszkania,,,prywatny,2024,tak,blok,plastikowe,teren zamknięty,balkon | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-mieszkanie-w-stylu-loftowym-z-miejscem-garazowym-ID4xJHp,961132734,3400,"ul. Żeńców, Chrzanów, Bemowo, Warszawa, mazowieckie",44m²,2,miejskie,4/6,800 zł/miesiąc,do zamieszkania,,,prywatny,2024,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/bez-prowizji-2-pokojowe-mieszkanie-z-balkonem-ID4xnuc,358132734,2910,"Chrzanów, Bemowo, Warszawa, mazowieckie",43.08m²,2,miejskie,4/6,990 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2025,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-komfortowe-3-pokoje-z-garazem-i-ogrodkiem-ID4xKlB,478132733,6070,"Górce, Bemowo, Warszawa, mazowieckie",59m²,3,brak informacji,parter,500 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,tak,plomba,,monitoring / ochronateren zamknięty,ogródek | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-3-pokoje-taras-metro-ID3wt4g,720132734,4000,"ul. Batalionów Chłopskich, Chrzanów, Bemowo, Warszawa, mazowieckie",50m²,3,miejskie,5/5,1 000 zł/miesiąc,do zamieszkania,,,prywatny,2017,tak,blok,plastikowe,teren zamknięty,balkon | taras | garaż/miejsce parkingowe | tylko dla niepalących | pom. użytkowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wynajme-bezposrednio-2-pokoje-bemowo-ID4r5jl,999132734,3000,"Górce, Bemowo, Warszawa, mazowieckie",40m²,2,miejskie,parter/6,700 zł/miesiąc,do zamieszkania,,,prywatny,2015,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,ogródek | garaż/miejsce parkingowe | piwnica | tylko dla niepalących
https://www.otodom.pl/pl/oferta/bez-prowizji-przestronne-2-pokojowe-mieszkanie-ID4xweU,797132734,2710,"Chrzanów, Bemowo, Warszawa, mazowieckie",37.72m²,2,miejskie,1/6,890 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2025,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/mieszkanie-typu-studio-z-balkonem-ID4x28z,648132734,2670,"Chrzanów, Bemowo, Warszawa, mazowieckie",40.17m²,1,miejskie,3/6,930 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2025,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/wynajme-bezposrednio-45-metrowe-mieszkanie-ID4xF5d,792132735,4600,"ul. Narwik, Górce, Bemowo, Warszawa, mazowieckie",45.95m²,2,miejskie,3/3,brak informacji,do zamieszkania,,,prywatny,2021,tak,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-oddzielna-kuchnia-nowe-olbrachta-126-metro-ID44Uvo,324132734,3750,"ul. Jana Olbrachta, Jelonki Północne, Bemowo, Warszawa, mazowieckie",53m²,2,miejskie,3/6,877 zł/miesiąc,do zamieszkania,,,prywatny,2019,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-balkonem-w-bemowie-ID2CTbi,106132734,3500,"ul. Jana Blatona, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",65m²,3,miejskie,6/11,900 zł/miesiąc,do zamieszkania,,,prywatny,1992,tak,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia | Wynajmę również studentom
