link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-warszawa-bialoleka-ID4xOvp,860182731,2300,"ul. Marywilska, Żerań, Białołęka, Warszawa, mazowieckie",27.8m²,1,miejskie,1/5,650 zł/miesiąc,do zamieszkania,,,prywatny,2023,nie,blok,plastikowe,monitoring / ochrona,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-31m2-idealne-dla-singla-pary-nowodwory-ID4xNln,184182731,2500,"ul. Strumykowa, Nowodwory, Białołęka, Warszawa, mazowieckie",31m²,1,miejskie,2/3,525 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | oddzielna kuchnia | tylko dla niepalących
https://www.otodom.pl/pl/oferta/przestronna-i-nowoczesna-kawalerka-garaz-komorka-lokatorska-8b-ID4xFKy,235182731,2350,"ul. Józefa Mehoffera, Dąbrówka Szlachecka, Białołęka, Warszawa, mazowieckie",25m²,1,miejskie,1/2,400 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2010,nie,blok,plastikowe,teren zamknięty,garaż/miejsce parkingowe | piwnica | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/2-pokoje-47-m2-miasteczko-greenwood-ID4qqj5,412182731,3300,"Miasteczko Greenwood, Kobiałka, Białołęka, Warszawa, mazowieckie",47m²,2,brak informacji,brak informacji,700 zł/miesiąc,brak informacji,,,prywatny,,tak,,,,balkon | tylko dla niepalących
https://www.otodom.pl/pl/oferta/tarchomin-2-pokoje-43-m-balkon-i-garaz-obok-galerii-polnocnej-ID4xyJn,556182731,3800,"ul. Kościeszów, Tarchomin, Białołęka, Warszawa, mazowieckie",43m²,2,miejskie,4/8,570 zł/miesiąc,do zamieszkania,,,prywatny,2022,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/do-wynajecia-mieszkanie-3-pokojowe-ID4rZqE,745182732,2900,"ul. Dionizosa, Nowodwory, Białołęka, Warszawa, mazowieckie",44m²,3,miejskie,2/8,960 zł/miesiąc,do zamieszkania,,,prywatny,2023,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/ladne-ciche-2-pokojowe-nowe-budownictwo-2023-garaz-500m-od-kolejki-skm-ID4xzPD,730182732,2900,"ul. Marywilska, Żerań, Białołęka, Warszawa, mazowieckie",43m²,2,miejskie,3/5,700 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2023,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wynajem-mieszkania-ID4xOKe,315182732,3000,"ul. Mariana Hemara, Brzeziny, Białołęka, Warszawa, mazowieckie",42m²,2,gazowe,1/3,770 zł/miesiąc,do zamieszkania,,,prywatny,2024,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-ul-skarbka-z-gor-52-m2-garaz-gratis-ID4hDUS,818182732,3000,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",50m²,2,brak informacji,2/2,800 zł/miesiąc,do zamieszkania,,,prywatny,2011,tak,apartamentowiec,plastikowe,teren zamkniętymonitoring / ochrona,balkon | taras | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/komfortowe-49m-w-wysokim-standardzie-23m-loggia-ID4fdzz,838182732,3500,"ul. Józefa Mehoffera 43, Nowodwory, Białołęka, Warszawa, mazowieckie",49m²,2,kotłownia,1/4,600 zł/miesiąc,do zamieszkania,,,prywatny,2022,tak,apartamentowiec,aluminiowe,monitoring / ochrona,taras | garaż/miejsce parkingowe | tylko dla niepalących
