link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/kawalerka-przy-ul-dantego-5-blisko-metro-wawrzyszew-ID4xONA,307091326,2550,"ul. Dantego Alighieri, Wawrzyszew, Bielany, Warszawa, mazowieckie",25m²,1,miejskie,1/10,650 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,tak,blok,plastikowe,,balkon | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-slodowiec-city-zarezerwowane-do-wynajecia-tylko-garaz-ID4xIiZ,457091326,3200,"ul. Stefana Żeromskiego, Słodowiec, Bielany, Warszawa, mazowieckie",37m²,2,miejskie,3/10,504 zł/miesiąc,do zamieszkania,,,prywatny,2016,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wynajme-3-pokoje-po-remoncie-zeromskiego-71-75-ID4wcne,368091326,5000,"ul. Stefana Żeromskiego, Słodowiec, Bielany, Warszawa, mazowieckie",50m²,3,miejskie,3/3,965 zł/miesiąc,do zamieszkania,,,prywatny,,nie,kamienica,plastikowe,,balkon | piwnica | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/2-pokoje-slodowiec-bielany-metro-ID4wNUy,942091326,2500,"ul. Kiełpińska, Słodowiec, Bielany, Warszawa, mazowieckie",36.46m²,2,miejskie,2/10,500 zł/miesiąc,do zamieszkania,,,prywatny,1970,tak,blok,plastikowe,,balkon | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-i-garazem-metro-mlociny-ID4xOYG,346091326,3200,"ul. Sokratesa, Wawrzyszew, Bielany, Warszawa, mazowieckie",44.4m²,2,miejskie,1/8,700 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,apartamentowiec,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-las-bielanski-tczewska-ID4sflZ,759091327,8300,"ul. Tczewska, Las Bielański, Bielany, Warszawa, mazowieckie",112m²,3,miejskie,1/2,2 120 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2007,tak,apartamentowiec,drewniane,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/dwa-pokoje-stare-bielany-za-2500-zl-ID4xJ4H,571091327,2500,"ul. Stefana Żeromskiego, Stare Bielany, Bielany, Warszawa, mazowieckie",38m²,2,brak informacji,2/3,0,do zamieszkania,,,biuro nieruchomości,1936,nie,kamienica,,,
https://www.otodom.pl/pl/oferta/3-w-pelni-osobne-pokoje-na-cichym-i-zielonym-osiedlu-chomiczowka-ID4xILO,279091327,3250,"ul. Sieciechowska, Chomiczówka, Bielany, Warszawa, mazowieckie",60.5m²,3,miejskie,1/4,850 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,nie,blok,plastikowe,teren zamknięty,balkon | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/kawalerka-klimatyzacja-z-widokiem-awf-i-metro-ID4ucct,660091327,2200,"ul. Podleśna, Las Bielański, Bielany, Warszawa, mazowieckie",30m²,1,miejskie,9/11,550 zł/miesiąc,do zamieszkania,,,prywatny,1978,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-bielany-ID4nkMv,685091327,2850,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",38m²,2,miejskie,2/2,700 zł/miesiąc,do zamieszkania,,,prywatny,,nie,blok,plastikowe,,
