link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/2-pokoje-ogrodek-parking-parki-zwierzeta-ID4xL8X,338163101,3799.0,"ul. Wyględowska, Wyględów, Mokotów, Warszawa, mazowieckie",50m²,2,miejskie,parter/1,700 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2022,tak,apartamentowiec,plastikowe,teren zamkniętymonitoring / ochrona,balkon | ogródek | taras | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/piekny-luksusowy-apartament-vip-4-pokoje-garaz-ul-domaniewska-47a-juz-ID4eufw,692163101,8500.0,"ul. Domaniewska, Służewiec, Mokotów, Warszawa, mazowieckie",70m²,4,miejskie,3/4,1 000 zł/miesiąc,do zamieszkania,,,prywatny,2023,tak,apartamentowiec,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | dwupoziomowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-green-mokotow-sikorskiego-3a-6-pietro-ID4rU01,705163101,3500.0,"Stegny, Mokotów, Warszawa, mazowieckie",38m²,2,brak informacji,6/6,1 000 zł/miesiąc,brak informacji,,,prywatny,,tak,blok,,,balkon | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/pierwszy-najemca-po-remoncie-2-pokojowe-ul-gagarina-mokotow-ID4xOkY,169163101,3000.0,"ul. Jurija Gagarina, Sielce, Mokotów, Warszawa, mazowieckie",36m²,2,miejskie,4/5,670 zł/miesiąc,do zamieszkania,,,prywatny,1958,nie,kamienica,plastikowe,,balkon | tylko dla niepalących
https://www.otodom.pl/pl/oferta/mieszkanie-na-sadybie-osiedle-apartamenty-mokotow-park-ID4x8nF,400163101,6000.0,"ul. Bernardyńska, Czerniaków, Mokotów, Warszawa, mazowieckie",53m²,3,miejskie,2/4,870 zł/miesiąc,do zamieszkania,,,prywatny,2014,tak,,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/komfort-i-styl-mokotow-j-p-woronicza-3-pokoje-ID4xN92,525163101,7000.0,"ul. Jana Pawła Woronicza, Służewiec, Mokotów, Warszawa, mazowieckie",72m²,3,miejskie,5/12,927 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2019,tak,apartamentowiec,,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-metro-wierzbno-mokotow-dwa-pokoje-ID4xOky,674163101,4000.0,"al. Aleja Niepodległości, Wierzbno, Mokotów, Warszawa, mazowieckie",38m²,2,brak informacji,9/10,750 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/mieszkanie-40-m-warszawa-ID4xcYF,809163101,3600.0,"ul. Garażowa, Ksawerów, Mokotów, Warszawa, mazowieckie",40m²,2,miejskie,3/7,700 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2016,tak,,plastikowe,monitoring / ochronateren zamknięty,balkon | piwnica | tylko dla niepalących
https://www.otodom.pl/pl/oferta/bezposrednio-lazienki-2-pokoje-kuchnia-ID4h8Il,940163101,3200.0,"Czerska 26/28, Sielce, Mokotów, Warszawa, mazowieckie",50m²,2,miejskie,1/3,800 zł/miesiąc,do zamieszkania,,,prywatny,1960,nie,kamienica,plastikowe,,
https://www.otodom.pl/pl/oferta/kawalerka-sadyba-mokotow-33m2-parking-bezposred-ID4aHHr,990163101,2300.0,"ul. Augustówka, Augustówka, Mokotów, Warszawa, mazowieckie",33m²,1,brak informacji,1/2,800 zł/miesiąc,do zamieszkania,,,prywatny,2002,nie,blok,plastikowe,teren zamkniętymonitoring / ochrona,garaż/miejsce parkingowe | tylko dla niepalących
