link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/kawalerka-na-wynajem-w-swietnej-lokalizacji-wum-ID4xOco,500164330,2500,"ul. Pruszkowska, Rakowiec, Ochota, Warszawa, mazowieckie",28m²,1,brak informacji,parter/4,1 zł/miesiąc,do zamieszkania,,,prywatny,,nie,blok,,,tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-ID4vewa,242164330,3300,"ul. Szczęśliwicka, Stara Ochota, Ochota, Warszawa, mazowieckie",31m²,1,miejskie,2/6,500 zł/miesiąc,do zamieszkania,,,prywatny,2017,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-podana-cena-zawiera-juz-czynsz-ID4xHYP,832164330,4200,"ul. Instalatorów, Raków, Włochy, Warszawa, mazowieckie",48m²,2,brak informacji,2,0 zł/miesiąc,brak informacji,,,prywatny,,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,
https://www.otodom.pl/pl/oferta/ochota-3-pokoje-z-dwoma-balkonami-wynajme-ID4xOl3,114164330,4900,"ul. Juliana Ursyna Niemcewicza, Stara Ochota, Ochota, Warszawa, mazowieckie",89m²,3,miejskie,2/4,brak informacji,do zamieszkania,,,biuro nieruchomości,1940,nie,kamienica,,,
https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodem-wlodarzewska-70-garaz-ID4dEQJ,616164330,2500,"ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie",35m²,1,miejskie,parter/2,900 zł/miesiąc,do zamieszkania,,,prywatny,2021,tak,apartamentowiec,drewniane,teren zamkniętymonitoring / ochrona,ogródek | taras | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-po-atrakcyjnej-cenie-bezposrednio-ID4iWJg,592164330,3180,"ul. Drawska, Szczęśliwice, Ochota, Warszawa, mazowieckie",50m²,2,brak informacji,2/2,740 zł/miesiąc,do zamieszkania,,,prywatny,2002,tak,apartamentowiec,drewniane,teren zamkniętymonitoring / ochrona,balkon | tylko dla niepalących | pom. użytkowe
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokojowe-instalatorow-7-garaz-ID4xe7o,776164330,3700,"ul. Instalatorów, Raków, Włochy, Warszawa, mazowieckie",40m²,2,miejskie,2/6,750 zł/miesiąc,do zamieszkania,,,prywatny,2024,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/mieszkanie-48-m-warszawa-ID4xxsL,419164330,3700,"Stara Ochota, Ochota, Warszawa, mazowieckie",48m²,3,gazowe,7/10,brak informacji,do zamieszkania,,,biuro nieruchomości,1985,tak,blok,plastikowe,,
https://www.otodom.pl/pl/oferta/kawalerka-na-wynajem-w-swietnej-lokalizacji-wum-ID4xOco,644164330,2500,"ul. Pruszkowska, Rakowiec, Ochota, Warszawa, mazowieckie",28m²,1,brak informacji,parter/4,1 zł/miesiąc,do zamieszkania,,,prywatny,,nie,blok,,,tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/apartament-premium-przestronny-2-pokojowy-klimatyzacja-ID4xE1e,250164330,6400,"ul. Szczęśliwicka, Stara Ochota, Ochota, Warszawa, mazowieckie",56m²,2,miejskie,2/6,1 100 zł/miesiąc,do zamieszkania,,,prywatny,2020,tak,apartamentowiec,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
