link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-27m-wrzesinska-blisko-uw-alk-ID4qQ60,458183017,2900,"ul. Wrzesińska, Stara Praga, Praga-Północ, Warszawa, mazowieckie",28m²,1,miejskie,6/8,600 zł/miesiąc,do zamieszkania,,,prywatny,2020,tak,blok,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/2-pokoje-garaz-przy-metrze-galeria-wil-lidl-ID4llHp,381183017,2950,"ul. Środkowa, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",47.56m²,2,miejskie,1/6,780 zł/miesiąc,do zamieszkania,,,prywatny,2003,tak,apartamentowiec,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/2-oddzielne-pokoje-blisko-kozminskiego-nowe-zadbane-sloneczne-ID4xKze,811183017,2800,"ul. Aleksandra Kotsisa, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",37m²,2,miejskie,3,1 000 zł/miesiąc,do zamieszkania,,,prywatny,,tak,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/bez-prowizji-kawalerka-przy-metrze-ID4vzHg,653183017,2800,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",37.7m²,1,miejskie,1/3,1 300 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-mieszkanie-typu-studio-przy-metrze-ID4xLnS,927183017,2640,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",36.22m²,1,miejskie,2/3,1 260 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-funkcjonalne-2-pokojowe-mieszkanie-ID4xEzA,564183017,2520,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",40.29m²,2,miejskie,1/3,1 380 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-mieszkanie-studio-przy-metrze-ID4vzoG,988183017,2340,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",32.66m²,1,miejskie,1/3,1 160 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-funkcjonalny-loft-bohema-praga-ID4uEdH,324183017,2330,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",33.03m²,1,miejskie,3/3,1 170 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,,drewniane,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-przestronna-kawalerka-przy-metrze-ID4uEdm,772183017,2690,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",31.42m²,1,miejskie,6/6,1 110 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/bez-prowizji-przytulna-kawalerka-przy-metrze-ID4xL89,253183017,2580,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",31.53m²,1,miejskie,2/3,1 120 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,apartamentowiec,plastikowe,monitoring / ochrona,
