link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/2-pokoje-36m2-dostepne-od-zaraz-ID4vnKo,645181758,3200,"ul. Pustelnicka, Gocławek, Praga-Południe, Warszawa, mazowieckie",36m²,2,miejskie,3/4,650 zł/miesiąc,do zamieszkania,,,prywatny,2022,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/przytulna-kawalerka-przy-rondzie-wiatraczna-praga-poludnie-ID4xM6t,973181759,2000,"ul. Giuseppe Garibaldiego, Grochów, Praga-Południe, Warszawa, mazowieckie",28m²,1,brak informacji,4/6,800 zł/miesiąc,brak informacji,,,prywatny,,tak,blok,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/apartament-grochowska-107-nowe-budownictwo-praga-poludnie-ID4xLWz,239181759,2900,"ul. Grochowska, Grochów, Praga-Południe, Warszawa, mazowieckie",29m²,1,miejskie,1/5,550 zł/miesiąc,do zamieszkania,,,prywatny,2024,tak,apartamentowiec,plastikowe,teren zamknięty,balkon | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/nowa-kawalerka-z-garderoba-bezposrednio-zupnicza25-ID4uOBR,550181758,2450,"ul. Żupnicza, Grochów, Praga-Południe, Warszawa, mazowieckie",26.31m²,1,brak informacji,1/4,590 zł/miesiąc,do zamieszkania,,,prywatny,2021,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | tylko dla niepalących
https://www.otodom.pl/pl/oferta/apartament-premium-dla-konesera-3-pok-0-prowizji-blisko-centrum-ID4xOm7,386181759,4700,"Grochów, Praga-Południe, Warszawa, mazowieckie",54m²,3,miejskie,1/5,990 zł/miesiąc,do zamieszkania,,,prywatny,2025,tak,apartamentowiec,,monitoring / ochrona,balkon | taras | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/3-pokoje-oddzielna-kuchnia-62-m2-ID4xxf5,874181759,4000,"ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie",62m²,3,miejskie,3/8,1 250 zł/miesiąc,do zamieszkania,,,prywatny,,nie,blok,plastikowe,,
https://www.otodom.pl/pl/oferta/luksusowy-apartament-dwupoziomowy-na-starej-saskiej-kepie-ID4xOit,754181759,18000,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",240m²,5,gazowe,3/3,0 zł/miesiąc,do zamieszkania,,,prywatny,2002,nie,kamienica,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | dwupoziomowe
https://www.otodom.pl/pl/oferta/zarezerwowana-jasna-kawalerka-po-remoncie-ID4niDO,541181759,2200,"ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie",22.5m²,1,miejskie,4/4,450 zł/miesiąc,do zamieszkania,,,prywatny,,nie,blok,plastikowe,,balkon | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/kawalerka-na-pradze-poludnie-ul-lukiska-ID4xkB8,603181759,2600,"ul. Łukiska, Grochów, Praga-Południe, Warszawa, mazowieckie",33.75m²,1,miejskie,1/4,650 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2023,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-apartamentowiec-rondo-wiatraczna-ID4xGaB,251181759,2800,"ul. Grochowska, Grochów, Praga-Południe, Warszawa, mazowieckie",29m²,1,brak informacji,8/8,500 zł/miesiąc,do zamieszkania,,,prywatny,2016,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | tylko dla niepalących
