link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-przy-placu-zbawiciela-ID4bViY,857162128,4000,"pl. Plac Na Rozdrożu, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",38m²,3,miejskie,2/8,990 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,plastikowe,,balkon | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-89m2-garaz-ul-orla-6b-ID4vSxz,121162128,8000,"ul. Orla, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",89m²,3,miejskie,2/6,1 500 zł/miesiąc,do zamieszkania,,,prywatny,2004,tak,blok,plastikowe,monitoring / ochrona,balkon | taras | garaż/miejsce parkingowe | pom. użytkowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/kawalerka-20m2-ul-chmielna-bezposrednio-ID4xIWS,370162128,2400,"ul. Chmielna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",20m²,1,brak informacji,brak informacji,500 zł/miesiąc,brak informacji,,,prywatny,,tak,blok,plastikowe,,oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/powisle-na-wynajem-66-m2-pieknie-zaprojektowane-ID4xE4x,887162128,7500,"ul. Leona Kruczkowskiego, Solec, Śródmieście, Warszawa, mazowieckie",65.87m²,2,miejskie,parter/5,"1 115,53 zł/miesiąc",do zamieszkania,,,biuro nieruchomości,,nie,kamienica,,monitoring / ochrona,piwnica | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/luksusowy-dwustronny-apartament-w-sercu-warszawy-ID4xJmh,616162128,8000,"ul. Mokotowska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",83.53m²,3,miejskie,4/5,1 000 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,tak,kamienica,plastikowe,,garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/2-pokoje-37-5-m-gornoslaska-powisle-balkon-klimatyzacja-ID4xmlU,182162128,3200,"ul. Górnośląska, Solec, Śródmieście, Warszawa, mazowieckie",37.5m²,2,miejskie,1/8,895 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,1973,tak,blok,plastikowe,monitoring / ochrona,balkon | piwnica
https://www.otodom.pl/pl/oferta/mieszkanie-2-nieprzechodnie-pokoje-salon-z-aneksem-bezposrednio-ID4xEkH,304162128,4750,"ul. Wspólna, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",46m²,3,miejskie,brak informacji,940 zł/miesiąc,brak informacji,,,prywatny,,tak,,plastikowe,monitoring / ochronateren zamknięty,ogródek | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-na-powislu-garaz-klima-ID4xOhl,434162128,5500,"ul. Leszczyńska, Powiśle, Śródmieście, Warszawa, mazowieckie",40m²,2,brak informacji,1/5,607 zł/miesiąc,brak informacji,,,biuro nieruchomości,,nie,,,,ogródek | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/luksusowy-apartament-2-sypialnie-balkon-z-widokiem-garaz-ID4vsNK,130162128,12000,"ul. Wojciecha Górskiego, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",82m²,3,miejskie,5/8,brak informacji,brak informacji,,,biuro nieruchomości,,tak,apartamentowiec,drewniane,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | pom. użytkowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3pok-gabinet-balkon-metro-najwyzsze-pietro-klimatyzacja-ID4xGjF,476162128,6600,"ul. Zygmunta Słomińskiego, Muranów, Śródmieście, Warszawa, mazowieckie",62m²,3,miejskie,> 10/17,1 100 zł/miesiąc,do zamieszkania,,,prywatny,2017,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | pom. użytkowe | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/przedwojenna-kamienica-5-pok-klimatyzacja-winda-ID4xOfO,136162128,18500,"Stare Miasto, Śródmieście, Warszawa, mazowieckie",167m²,5,miejskie,3/4,2 678 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,1910,tak,kamienica,drewniane,monitoring / ochrona,garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
