link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/mieszkanie-60-m-do-wynajecia-na-targowku-dobra-komunikacja-ID4xOMR,798092143,3500,"ul. Rembielińska, Bródno, Targówek, Warszawa, mazowieckie",60m²,3,miejskie,9/15,1 200 zł/miesiąc,do zamieszkania,,,prywatny,1980,tak,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wynajme-bezposrednio-2-pokojowe-mieszkanie-przy-metrze-na-brodnie-ID4xL50,648092144,2500,"ul. Poborzańska, Bródno, Targówek, Warszawa, mazowieckie",41m²,2,miejskie,1/10,600 zł/miesiąc,do zamieszkania,,,prywatny,2010,tak,blok,plastikowe,,garaż/miejsce parkingowe | oddzielna kuchnia | tylko dla niepalących
https://www.otodom.pl/pl/oferta/3-pokoje-przy-merze-obok-park-galeria-renova-kondratowicza-ID45Zue,369092143,2600,"Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",47m²,3,miejskie,5/10,750 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,plastikowe,,balkon | piwnica | tylko dla niepalących | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-plosa-3-10-minut-od-metra-trocka-ID4ednl,513092143,2700,"Płosa 3, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",28m²,1,miejskie,3/4,680 zł/miesiąc,do zamieszkania,,,prywatny,2019,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | taras | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/apartament-rezydencja-liwska-stacja-metra-brodno-dwa-zamykane-pokoje-ID4xOYH,666092143,3100,"Bródno, Targówek, Warszawa, mazowieckie",35m²,2,miejskie,3/7,600 zł/miesiąc,do zamieszkania,,,prywatny,2023,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/3-pok-apartament-metro-kondratowicza-c-h-targowek-las-brodnowsk-ID4xJJT,623092143,5300,"ul. Głębocka, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",55.7m²,3,miejskie,2/11,0 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-bezposrednio-przy-metrze-ID4qeDY,345092143,2700,"Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",40m²,1,miejskie,7/9,700 zł/miesiąc,do zamieszkania,,,prywatny,2002,tak,apartamentowiec,plastikowe,teren zamkniętymonitoring / ochrona,balkon | taras | tylko dla niepalących | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/przytulne-53m-w-prestizowym-parku-lesnym-z-klimatyzacja-obok-metro-las-ID4x99b,753092143,4500,"ul. św. Wincentego, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",53m²,2,miejskie,4/7,700 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,,teren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/60-m-elegancji-widok-metro-klimatyzacja-garaz-brodno-ID4x4ip,490092144,3900,"ul. Ludwika Kondratowicza, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",60m²,2,miejskie,8/10,1 000 zł/miesiąc,do zamieszkania,,,prywatny,2000,tak,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/atrakcyjne-studio-blisko-stacji-metra-trocka-ID4shng,720092144,2500,"Zacisze, Targówek, Warszawa, mazowieckie",30m²,1,inne,parter,500 zł/miesiąc,do zamieszkania,,,prywatny,,nie,kamienica,plastikowe,monitoring / ochronateren zamknięty,
https://www.otodom.pl/pl/oferta/mieszkanie-60-m-do-wynajecia-na-targowku-dobra-komunikacja-ID4xOMR,385092144,3500,"ul. Rembielińska, Bródno, Targówek, Warszawa, mazowieckie",60m²,3,miejskie,9/15,1 200 zł/miesiąc,do zamieszkania,,,prywatny,1980,tak,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-na-brodnie-47-7m2-ID4ttPA,954092144,3300,"ul. Budowlana, Bródno, Targówek, Warszawa, mazowieckie",47.7m²,3,miejskie,2/3,850 zł/miesiąc,do zamieszkania,,,prywatny,2018,tak,blok,plastikowe,teren zamknięty,balkon | piwnica | tylko dla niepalących | pom. użytkowe
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-na-targowku-dostepne-od-10-2025-ID4xJwV,443092144,3400,"ul. Teofila Piecyka, Zacisze, Targówek, Warszawa, mazowieckie",50m²,2,gazowe,1/3,1 100 zł/miesiąc,do zamieszkania,,,prywatny,2018,tak,blok,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-od-31-08-40-m2-8-min-do-metra-ul-oszmianska-ID4xyv5,201092144,3899,"ul. Oszmiańska, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",40m²,2,miejskie,1/4,651 zł/miesiąc,do zamieszkania,,,prywatny,2020,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wynajme-3-pokojowe-mieszkanie-metro-ID4pUsk,328092144,3900,"ul. Aleksandra Gajkowicza, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",55m²,3,miejskie,1/11,800 zł/miesiąc,do zamieszkania,,,prywatny,,nie,blok,plastikowe,,balkon | tylko dla niepalących
https://www.otodom.pl/pl/oferta/2pokoje-przy-metrze-brodno-dostepne-od-10wrzesnia-ID4xOE5,607092144,2800,"ul. Suwalska, Bródno, Targówek, Warszawa, mazowieckie",38m²,2,miejskie,9/10,660 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,1973,tak,blok,plastikowe,,balkon | piwnica | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/2-pokoje-patio-balkon-parking-podziemny-ID4xG7Q,242092144,3000,"ul. Budowlana, Bródno, Targówek, Warszawa, mazowieckie",42m²,2,miejskie,3/3,900 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2020,tak,blok,,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/garaz-w-cenie-klimatyzacja-metro-kondratowicza-ID4xNVP,482092145,3000,"ul. Ludwika Kondratowicza, Bródno, Targówek, Warszawa, mazowieckie",50m²,2,miejskie,9/17,900 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,1996,tak,blok,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/65-m-kw-3-pokoje-blisko-ii-linia-metra-ID4xODc,422092145,4000,"Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",65m²,3,miejskie,3,1 050 zł/miesiąc,do zamieszkania,,,prywatny,,tak,,plastikowe,,balkon | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/bezposrednio-wyjatkowe-3m-na-targowku-o-wilno-ID4iJ4x,606092145,5500,"ul. Zamkowa, Elsnerów, Targówek, Warszawa, mazowieckie",75m²,3,miejskie,3/3,1 100 zł/miesiąc,do zamieszkania,,,prywatny,2011,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/ciche-widne-mieszkanie-niedaleko-metra-brodno-ID4iInp,617092145,3000,"ul. Łąkocińska, Bródno, Targówek, Warszawa, mazowieckie",53m²,2,miejskie,2/4,950 zł/miesiąc,do zamieszkania,,,prywatny,2004,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/piekne-4-pok-mieszkanie-blisko-metra-bezposrednio-ID4qvJg,594092145,4200,"ul. Wyspowa 1, Zacisze, Targówek, Warszawa, mazowieckie",80m²,4,brak informacji,2/4,1 386 zł/miesiąc,do zamieszkania,,,prywatny,2008,tak,blok,,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-brodnie-metro-brodno-2-oddzielne-pokoje-ID4xuE3,980092145,3000,"ul. Ludwika Kondratowicza, Bródno, Targówek, Warszawa, mazowieckie",45m²,2,miejskie,> 10/15,830 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,1990,tak,blok,plastikowe,,balkon | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-targowek-mieszkaniowy-ID4xGEK,430092145,2700,"ul. Heleny Junkiewicz, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",46m²,2,miejskie,10/12,800 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/praga-polnoc-stefana-okrzei-2pok-eng-ru-ID4xOj5,693092145,4500,"Bródno, Targówek, Warszawa, mazowieckie",46m²,2,miejskie,3/7,750 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2018,tak,apartamentowiec,plastikowe,monitoring / ochrona,taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/przytulne-3-pokojowe-mieszkanie-70m-na-brodnie-parking-klima-balkon-ID4xzMh,869092145,4500,"ul. Pożarowa, Bródno, Targówek, Warszawa, mazowieckie",70m²,3,miejskie,2,800 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2010,tak,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/komfortowy-4-pokojowy-apartament-80m-z-balkonem-i-garazem-brodno-ID4v9Ed,655092146,5500,"ul. Krzywińska, Bródno, Targówek, Warszawa, mazowieckie",80m²,4,miejskie,2/3,880 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2016,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/mieszkanie-27-m-warszawa-ID4xK0V,736092146,2300,"ul. Julianowska, Bródno, Targówek, Warszawa, mazowieckie",27m²,2,miejskie,parter/5,650 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,nie,apartamentowiec,plastikowe,teren zamknięty,oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/studio-do-wynajecia-ul-suwalska-36c-warszawa-ID4xOeN,754092145,1750,"ul. Suwalska, Bródno, Targówek, Warszawa, mazowieckie",22m²,1,brak informacji,4,850 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,nie,blok,,teren zamknięty,
https://www.otodom.pl/pl/oferta/ciche-przytulne-2-pokojowe-mieszkanie-50m2-na-zamknietym-osiedlu-ID4xO9g,770092146,4000,"ul. Wyspowa, Zacisze, Targówek, Warszawa, mazowieckie",50m²,2,miejskie,2/4,brak informacji,do zamieszkania,,,prywatny,2010,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/kawalerka-na-nowym-osiedlu-warszawski-swit-bezposrednio-ID4hz3K,509092146,2300,"Warszawski Świt 12, Bródno, Targówek, Warszawa, mazowieckie",24m²,1,miejskie,1/6,600 zł/miesiąc,do zamieszkania,,,prywatny,2021,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/kawalerka-blisko-metra-piotra-wysockiego-25-ID4xFVS,290092146,2600,"ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie",24m²,1,miejskie,5/6,420 zł/miesiąc,do zamieszkania,,,prywatny,2023,tak,blok,plastikowe,monitoring / ochrona,tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-58m2-3-pokoje-metro-trocka-super-lokalizacja-ID4xO3s,113092146,4500,"ul. Aleksandra Gajkowicza, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",58m²,3,miejskie,3,800 zł/miesiąc,brak informacji,,,prywatny,1977,nie,blok,plastikowe,,balkon | oddzielna kuchnia | tylko dla niepalących
https://www.otodom.pl/pl/oferta/3-pokojowe-bezposrednio-zacisze-os-strzezone-piekna-okolica-ID49FlR,125092146,3300,"ul. Wyspowa, Zacisze, Targówek, Warszawa, mazowieckie",48m²,3,miejskie,1/3,brak informacji,do zamieszkania,,,prywatny,2002,nie,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | oddzielna kuchnia | Wynajmę również studentom
