link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/2-osobne-pok-garaz-w-wa-ursus-warto-ID4xLUc,664092558,3200,"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",32m²,3,brak informacji,brak informacji,brak informacji,do zamieszkania,,,prywatny,,tak,apartamentowiec,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/studio-35m2-200m-skm-15min-centrum-po-remoncie-ID4trh7,954092558,2400,"ul. Zakątek, Skorosze, Ursus, Warszawa, mazowieckie",35m²,1,miejskie,parter/6,800 zł/miesiąc,do zamieszkania,,,prywatny,1985,nie,blok,plastikowe,,pom. użytkowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-oddzielna-kuchnia-i-garazem-podziemnym-ID4iwsD,487092558,3000,"ul. Dzieci Warszawy, Skorosze, Ursus, Warszawa, mazowieckie",50m²,2,miejskie,5/7,950 zł/miesiąc,do zamieszkania,,,prywatny,2004,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | tylko dla niepalących | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/nowe-w-pelni-urzadzone-mieszkanie-czeka-na-pierwszego-najemce-ID4xP1Q,436092558,3600,"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",40.91m²,2,miejskie,7/7,700 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2022,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-82m-ursus-ID4gxyo,162092558,4400,"Czechowice, Ursus, Warszawa, mazowieckie",82m²,4,brak informacji,2,800 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,,,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | tylko dla niepalących
https://www.otodom.pl/pl/oferta/bezposrednio-wynajme-elegancka-kawalerke-ursus-apartment-for-rent-ID4xHGA,917092558,3000,"ul. Obrońców Helu, Skorosze, Ursus, Warszawa, mazowieckie",24m²,1,miejskie,1/4,brak informacji,do zamieszkania,,,prywatny,,nie,blok,,,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wynajme-2-pokojowe-mieszkanie-43m2-garaz-ul-quo-vadis-od-zaraz-ID4xdZY,895092558,3200,"Szamoty, Ursus, Warszawa, mazowieckie",43m²,2,miejskie,2/4,700 zł/miesiąc,do zamieszkania,,,prywatny,,tak,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/ursus-2-pokoje-garaz-i-komorka-lok-w-cenie-ID4x1OP,161092558,3200,"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",39.5m²,2,miejskie,6/7,800 zł/miesiąc,do zamieszkania,,,prywatny,2022,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | piwnica | tylko dla niepalących
https://www.otodom.pl/pl/oferta/2-pokoje-55m2-po-odmalowaniu-ul-zapustna-warszawa-wlochy-garaz-ID4xHCI,700092558,2800,"ul. Zapustna, Stare Włochy, Włochy, Warszawa, mazowieckie",55m²,2,kotłownia,4/4,899 zł/miesiąc,do zamieszkania,,,prywatny,2002,tak,blok,drewniane,teren zamknięty,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | tylko dla niepalących
https://www.otodom.pl/pl/oferta/wynajme-luksusowe-mieszkanie-na-warszawskim-ursusie-niedzwiadek-ID4x39X,198092559,3400,"Niedźwiadek, Ursus, Warszawa, mazowieckie",39.67m²,2,miejskie,1,400 zł/miesiąc,do zamieszkania,,,prywatny,,nie,blok,plastikowe,,balkon | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/2-pokoje-60m2-ursus-car-parking-ID4xJx4,558092559,4100,"Czechowice, Ursus, Warszawa, mazowieckie",60m²,2,miejskie,2/10,1 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2014,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/2-pokoje-ursus-38m2-od-zaraz-ID4xOHm,231092559,3300,"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",38m²,2,brak informacji,7/8,750 zł/miesiąc,do zamieszkania,,,prywatny,2023,tak,blok,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/skorosze-2-pokoje-duzy-balkon-garderoba-ID4h9ey,638092559,3500,"ul. Starodęby, Skorosze, Ursus, Warszawa, mazowieckie",55m²,2,miejskie,6/8,800 zł/miesiąc,do zamieszkania,,,prywatny,2017,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-51m-ursus-lux-oddzielna-kuchnia-ID4xOCA,891092559,3500,"ul. Kompanii AK ""Kordian"", Czechowice, Ursus, Warszawa, mazowieckie",51m²,2,kotłownia,1/2,820 zł/miesiąc,do zamieszkania,,,prywatny,2020,nie,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | tylko dla niepalących
https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-z-balkonem-ID4xOzZ,331092559,3800,"ul. Kompanii AK ""Kordian"", Czechowice, Ursus, Warszawa, mazowieckie",41m²,3,gazowe,2/7,3 800 zł/miesiąc,do zamieszkania,,,prywatny,,tak,apartamentowiec,,,balkon | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/nowe-2pok-nieprzechodnie-osobne-ursus-13-min-centrum-wifi-od-01-10-ID4xIO8,290092559,2890,"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",30m²,2,miejskie,2/6,660 zł/miesiąc,do zamieszkania,,,prywatny,2021,tak,apartamentowiec,plastikowe,monitoring / ochrona,oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wygodne-dobrze-wyposazone-mieszkanie-z-garazem-ID4xOwU,695092559,2700,"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",35m²,2,brak informacji,1,650 zł/miesiąc,brak informacji,,,prywatny,,tak,blok,,,balkon | garaż/miejsce parkingowe
