link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/przestronne-widne-mieszkanie-95m-na-ursynowie-ID4xOJA,348093453,5000,"ul. Pustułeczki, Stary Imielin, Ursynów, Warszawa, mazowieckie",95m²,4,brak informacji,2/3,1 250 zł/miesiąc,do zamieszkania,,,prywatny,,tak,,,teren zamknięty,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/mieszkanie-ursynow-czynsz-internet-w-cenie-najmu-ID4sCIL,531093453,4900,"ul. Na Uboczu 16, Natolin, Ursynów, Warszawa, mazowieckie",52.8m²,3,miejskie,1/10,brak informacji,do zamieszkania,,,prywatny,,tak,blok,plastikowe,,balkon | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-ursynow-metro-bezposrednio-ID2Aqlq,521093453,3000,"ul. Na Uboczu, Natolin, Ursynów, Warszawa, mazowieckie",45m²,2,gazowe,1/4,800 zł/miesiąc,do zamieszkania,,,prywatny,1986,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/kawalerka-obok-galerii-mokotow-ID4xz2h,630093453,2500,"al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie",35m²,1,miejskie,3/5,650 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2006,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | taras | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-do-wynajecia-ID4xP0Z,857093454,4500,"ul. Pachnąca 81, Natolin, Ursynów, Warszawa, mazowieckie",76.1m²,3,miejskie,2/3,940 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,1996,nie,apartamentowiec,,monitoring / ochrona,taras | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/piekne-komfortowe-mieszkanie-do-wynajecia-42m-warszawa-ursynow-ID4xHKI,709093454,4200,"Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",42m²,2,miejskie,2/6,520 zł/miesiąc,do zamieszkania,,,prywatny,2025,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/apartament-83-m2-wilanow-mokotow-silownia-bilard-ID4vIg7,956093454,4400,"al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie",83m²,3,miejskie,4/8,1 585 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2002,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wysoki-standard-galeria-ursynow-klimatyzacja-balkon-metro-natolin-56m2-ID4xfDd,769093454,4000,"al. Aleja Komisji Edukacji Narodowej, Natolin, Ursynów, Warszawa, mazowieckie",56m²,2,miejskie,7/15,brak informacji,do zamieszkania,,,prywatny,,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/od-zaraz-lux-2pok-49m2-ul-nowoursynowska-metro-ID4x2MR,723093454,3000,"ul. Nowoursynowska, Natolin, Ursynów, Warszawa, mazowieckie",48.57m²,2,inne,parter/4,820 zł/miesiąc,brak informacji,,,biuro nieruchomości,2008,nie,blok,plastikowe,teren zamknięty,
https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-z-balkonem-ID4xIno,316093454,3600,"ul. Okaryny, Ursynów Północny, Ursynów, Warszawa, mazowieckie",65m²,3,miejskie,1/3,1 400 zł/miesiąc,do zamieszkania,,,prywatny,1992,nie,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-48m2-ul-sluzby-polsce-przy-park-ride-metro-stoklosy-ID4xOWR,802093454,3500,"ul. Służby Polsce, Ursynów Północny, Ursynów, Warszawa, mazowieckie",48m²,2,miejskie,3/4,850 zł/miesiąc,do zamieszkania,,,prywatny,1975,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/4pok-apartament-z-widokiem-na-tor-wyscigow-konnych-ID4mFVe,123093454,7650,"ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie",75m²,4,miejskie,6/10,1 175 zł/miesiąc,do zamieszkania,,,prywatny,2023,tak,apartamentowiec,drewniane,teren zamkniętymonitoring / ochrona,balkon | taras | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/ursynow-filipiny-plaskowickiej-53m2-2-pok-eng-ID4xOW4,300093454,3000,"ul. Filipiny Płaskowickiej, Natolin, Ursynów, Warszawa, mazowieckie",53.3m²,2,miejskie,3/3,600 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2008,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/kabaty-mieszkanie-105m-4-pokoje-100m-ogrodka-ID4xOPB,171093454,9500,"ul. Stefana Dembego, Kabaty, Ursynów, Warszawa, mazowieckie",105m²,4,miejskie,parter/3,1 850 zł/miesiąc,do zamieszkania,,,prywatny,2018,tak,apartamentowiec,,monitoring / ochronateren zamknięty,ogródek | taras | garaż/miejsce parkingowe | pom. użytkowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/dwupokojowe-imielin-ID4xOPe,217093454,3400,"ul. Alternatywy, Stary Imielin, Ursynów, Warszawa, mazowieckie",50m²,2,miejskie,3/4,800 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-rodzinie-ID4jI32,664093454,4000,"ul. Jana Rosoła, Natolin, Ursynów, Warszawa, mazowieckie",90m²,3,miejskie,parter/3,1 900 zł/miesiąc,do zamieszkania,,,prywatny,2004,tak,blok,drewniane,monitoring / ochrona,taras | garaż/miejsce parkingowe | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-szuka-czlowieka-ID4xOMu,579093454,3500,"ul. Na Uboczu, Natolin, Ursynów, Warszawa, mazowieckie",46m²,2,miejskie,2/5,861 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/rezerwacja-mieszkanie-z-balkonem-na-ursynowie-tuz-przy-metrze-ID4xOMi,474093455,3200,"ul. Oskara Sosnowskiego, Ursynów Północny, Ursynów, Warszawa, mazowieckie",53m²,2,miejskie,2,1 045 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia | Wynajmę również studentom
