link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/mieszkanie-czesc-domu-warszawa-wesola-2-pokoje-pkp-ID4ocZM,470102629,2800,"ul. Jana Kilińskiego, Wesoła-Centrum, Wesoła, Warszawa, mazowieckie",55m²,2,gazowe,parter/2,brak informacji,do zamieszkania,,,prywatny,,nie,,plastikowe,teren zamknięty,ogródek | pom. użytkowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-umeblowane-na-zamknietym-osiedlu-pod-sosnami-ID4xKTV,461102629,4000,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",62m²,3,kotłownia,3/3,1 000 zł/miesiąc,do zamieszkania,,,prywatny,2006,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-rondo-onz-ID4s9LU,449102629,3900,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",40m²,2,brak informacji,> 10/15,850 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,,,
https://www.otodom.pl/pl/oferta/mieszkanie-czesc-domu-warszawa-wesola-2-pokoje-pkp-ID4ocZM,176102629,2800,"ul. Jana Kilińskiego, Wesoła-Centrum, Wesoła, Warszawa, mazowieckie",55m²,2,gazowe,parter/2,brak informacji,do zamieszkania,,,prywatny,,nie,,plastikowe,teren zamknięty,ogródek | pom. użytkowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-w-cichej-okolicy-ID4kzRj,856102630,3900,"ul. Rumiankowa, Stara Miłosna, Wesoła, Warszawa, mazowieckie",80m²,3,gazowe,parter,600 zł/miesiąc,brak informacji,,,prywatny,,nie,apartamentowiec,plastikowe,,balkon | ogródek | taras | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-piekne-2-pokoje-i-pietro-duzy-balkon-garaz-wesola-ID4xLPY,605102629,2590,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",27m²,2,miejskie,1/3,brak informacji,do zamieszkania,,,prywatny,,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-umeblowane-na-zamknietym-osiedlu-pod-sosnami-ID4xKTV,915102629,4000,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",62m²,3,kotłownia,3/3,1 000 zł/miesiąc,do zamieszkania,,,prywatny,2006,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/jana-pawla-babka-tower-54-m2-balkon-garaz-ID4xKyf,179102630,4000,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",54m²,2,miejskie,8/18,1 000 zł/miesiąc,brak informacji,,,biuro nieruchomości,2001,tak,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-rondo-onz-ID4s9LU,946102629,3900,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",40m²,2,brak informacji,> 10/15,850 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,,,
https://www.otodom.pl/pl/oferta/wygodne-3-pokoje-przy-mazowieckiej-ID4xA1k,779102630,4000,"ul. Mazowiecka, Stara Miłosna, Wesoła, Warszawa, mazowieckie",64m²,3,miejskie,2/3,1 000 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | oddzielna kuchnia | tylko dla niepalących
https://www.otodom.pl/pl/oferta/studio-25-m2-centrum-wesolej-umowa-rezrwacyjna-ID4xChJ,459102630,2000,"ul. Bartosza Głowackiego, Wesoła-Centrum, Wesoła, Warszawa, mazowieckie",25m²,1,brak informacji,parter,brak informacji,do zamieszkania,,,prywatny,,nie,dom wolnostojący,,teren zamknięty,taras | tylko dla niepalących
https://www.otodom.pl/pl/oferta/nowe-2-pok-z-tarasem-i-ogrodkiem-ID4xsfi,140102630,3100,"ul. Bursztynowa, Stara Miłosna, Wesoła, Warszawa, mazowieckie",41.06m²,2,gazowe,parter/2,500 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,1973,nie,dom wolnostojący,plastikowe,teren zamknięty,ogródek | taras | tylko dla niepalących
https://www.otodom.pl/pl/oferta/mieszkanie-stara-milosna-ID4xz5B,162102630,4000,"Groszówka, Wesoła, Warszawa, mazowieckie",75m²,3,gazowe,parter/3,brak informacji,do zamieszkania,,,prywatny,1990,nie,dom wolnostojący,plastikowe,teren zamknięty,ogródek | garaż/miejsce parkingowe | oddzielna kuchnia
