link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/rezydencja-w-wilanowie-wysoki-standard-fitness-sauna-ID4xNSj,335102856,9500,"Wilanów Niski, Wilanów, Warszawa, mazowieckie",97m²,3,gazowe,1/2,2 050 zł/miesiąc,do zamieszkania,,,prywatny,2005,tak,apartamentowiec,drewniane,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/3-pokoje-w-miasteczku-wilanow-oddzielna-kuchnia-balkon-21m-ID4xN26,432102856,6900,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",75m²,3,miejskie,1/4,1 450 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2008,tak,,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/apartament-3-pokoje-100-m2-meble-4900zl-ID4nZDd,613102856,4900,"ul. Chorągwi Pancernej, Wilanów Niski, Wilanów, Warszawa, mazowieckie",100m²,3,gazowe,2/2,500 zł/miesiąc,do zamieszkania,,,prywatny,2003,nie,dom wolnostojący,drewniane,teren zamknięty,garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-w-wilanowie-na-wynajem-okazja-ID4xP1T,401102856,4650,"ul. Syta, Zawady, Wilanów, Warszawa, mazowieckie",62m²,4,miejskie,2/3,1 000 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2009,nie,blok,,teren zamkniętymonitoring / ochrona,
https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-wilanow-ID4xP13,567102856,6300,"Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",76m²,3,miejskie,parter/4,1 520 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2011,tak,apartamentowiec,drewniane,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-w-sercu-wilanowa-ID4xBc7,459102856,4800,"ul. Krzysztofa Kieślowskiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",38m²,2,miejskie,3/4,1 000 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2007,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/bezposrednio-dwa-pokoje-na-wilanowie-53m2-na-fakture-ID4xz03,976102856,4200,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",53m²,2,brak informacji,3/3,brak informacji,do zamieszkania,,,prywatny,,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | oddzielna kuchnia | tylko dla niepalących
https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-zielonej-czesci-zawad-ID4vDf8,189102856,7000,"ul. Dostatnia, Zawady, Wilanów, Warszawa, mazowieckie",80m²,3,gazowe,1/2,800 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2012,nie,apartamentowiec,,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/od-zaraz-lux-2pok-49m2-ul-nowoursynowska-metro-ID4x2MR,848102856,3000,"ul. Nowoursynowska, Natolin, Ursynów, Warszawa, mazowieckie",48.57m²,2,inne,parter/4,820 zł/miesiąc,brak informacji,,,biuro nieruchomości,2008,nie,blok,plastikowe,teren zamknięty,
https://www.otodom.pl/pl/oferta/bez-prowizji-apartament-62m2-ogrodek-40m2-miasteczko-wilanow-ID4x9I2,534102857,3390,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",62m²,2,miejskie,parter,1 150 zł/miesiąc,brak informacji,,,biuro nieruchomości,,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | ogródek | taras | garaż/miejsce parkingowe
