link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-dwupokojowe-warszawa-rakow-ID4xOr3,963110236,3600,"ul. Instalatorów, Raków, Włochy, Warszawa, mazowieckie",45m²,2,brak informacji,1,890 zł/miesiąc,do zamieszkania,,,prywatny,2023,nie,blok,,,
https://www.otodom.pl/pl/oferta/jerozolimskie-20-m2-balkon-wiktoryn-6-ID4jZGc,347110236,2600,"Wiktoryn, Stare Włochy, Włochy, Warszawa, mazowieckie",20m²,1,miejskie,7/8,500 zł/miesiąc,do zamieszkania,,,prywatny,2022,tak,apartamentowiec,drewniane,teren zamkniętymonitoring / ochrona,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-swiezo-po-remoncie-z-klimatyzacja-2-pokoje-ID4xIVx,672110236,3500,"al. Aleje Jerozolimskie, Raków, Włochy, Warszawa, mazowieckie",35m²,2,brak informacji,5/5,600 zł/miesiąc,do zamieszkania,,,prywatny,,tak,blok,,monitoring / ochronateren zamknięty,
https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-wlochy-wiktoryn-6-ID4rcoL,798110236,2700,"ul. Batalionu AK ""Włochy"", Stare Włochy, Włochy, Warszawa, mazowieckie",18.59m²,1,miejskie,7/7,490 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2022,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/wynajme-3-pok-64-m2-warszawa-ul-lamana-wlochy-ID4qlJU,623110236,3900,"ul. Łamana, Stare Włochy, Włochy, Warszawa, mazowieckie",64m²,3,brak informacji,1/6,900 zł/miesiąc,do zamieszkania,,,prywatny,2003,tak,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | tylko dla niepalących
https://www.otodom.pl/pl/oferta/czynsz-w-cenie-3-niezalezne-pokoje-w-wa-wlochy-cyprysowa-9-ID4xP45,333110236,3100,"ul. Cyprysowa, Okęcie, Włochy, Warszawa, mazowieckie",40m²,3,miejskie,3/3,0 zł/miesiąc,do zamieszkania,,,prywatny,2020,nie,kamienica,plastikowe,,
https://www.otodom.pl/pl/oferta/wlochy-i-4-pokojowe-i-76m2-i-bezposrednio-i-zwierzeta-ok-i-balkon-ID4xmSp,120110236,6750,"Raków, Włochy, Warszawa, mazowieckie",76m²,4,miejskie,4/6,6 750 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wlochy-i-3-pokojowe-i-52m2-i-bezposrednio-i-zwierzeta-ID4xmRG,277110237,4680,"Raków, Włochy, Warszawa, mazowieckie",52m²,3,miejskie,3/6,4 680 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,tak,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wlochy-i-2-pokojowe-i-37m2-i-bezposrednio-i-od-zaraz-ID4xmU3,882110236,4080,"Raków, Włochy, Warszawa, mazowieckie",37m²,2,miejskie,5/6,4 080 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/3pokoje-z-osobna-kuchnia-od-zaraz-65m2-wschodu-slonca-pets-ok-ID4uDaf,183110237,5000,"Wschodu Słońca 11, Raków, Włochy, Warszawa, mazowieckie",65.33m²,3,miejskie,4/6,719 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-70-m2-aleje-jerozolimskie-klimatyzacja-ID4xGOB,441110237,4400,"al. Aleje Jerozolimskie, Raków, Włochy, Warszawa, mazowieckie",70m²,3,brak informacji,brak informacji,1 200 zł/miesiąc,do zamieszkania,,,prywatny,,nie,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/3pokojowe-mieszkaniez-ogrodkiem-ul-lechicka-ID4xP0G,783110237,4500,"ul. Lechicka 1, Okęcie, Włochy, Warszawa, mazowieckie",68m²,3,miejskie,parter/2,1 300 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,,tak,szeregowiec,,teren zamkniętymonitoring / ochrona,taras | ogródek | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pokoje-dla-rodziny-przy-stawach-cietrzewia-ID4x7pD,211110237,4500,"ul. Krańcowa, Stare Włochy, Włochy, Warszawa, mazowieckie",73m²,3,brak informacji,1/4,1 200 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2000,tak,apartamentowiec,,teren zamknięty,balkon | garaż/miejsce parkingowe
