link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/wyremontowana-kawalerka-z-balkonem-ID4xCPh,657164747,2890,"ul. Edwarda Gibalskiego, Młynów, Wola, Warszawa, mazowieckie",24m²,1,miejskie,10/10,410 zł/miesiąc,do zamieszkania,,,prywatny,,nie,blok,plastikowe,,balkon | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/wynajme-funkcjonalne-przytulne-2-pokojowe-mieszkanie-na-woli-ID4xKVM,103164746,3000,"ul. Mroczna, Ulrychów, Wola, Warszawa, mazowieckie",44.27m²,2,brak informacji,parter/3,735 zł/miesiąc,do zamieszkania,,,prywatny,2001,nie,blok,,,
https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-od-wrzesnia-2025-ID4xIXt,411164747,3500,"ul. Burakowska, Powązki, Wola, Warszawa, mazowieckie",44m²,2,brak informacji,1/8,767 zł/miesiąc,do zamieszkania,,,prywatny,2015,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | tylko dla niepalących
https://www.otodom.pl/pl/oferta/nowe-klimatyzacja-centrum-ID4xOli,148164747,3700,"al. Aleja ""Solidarności"", Mirów, Wola, Warszawa, mazowieckie",31m²,1,miejskie,4/6,760 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2024,tak,apartamentowiec,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/jana-kazimierza-4-pok-garderoba-klima-ID4xxYj,719164746,8200,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",67.65m²,4,miejskie,4/4,1 550 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2020,tak,blok,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/entrum-warszawy-2-pok-apart-metro-rondo-onz-ID4xzSa,894164747,4300,"ul. Sienna, Mirów, Wola, Warszawa, mazowieckie",33m²,2,miejskie,1/10,670 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2020,tak,apartamentowiec,drewniane,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bliska-wola-kasprzaka-apartament-27mkw-garaz-ID4xkx2,526164747,3000,"ul. Marcina Kasprzaka, Ulrychów, Wola, Warszawa, mazowieckie",26.73m²,1,miejskie,10/10,650 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2023,tak,apartamentowiec,,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/bez-prowizji-komfortowa-kawalerka-mirow-ID4xKzr,105164747,5300,"Mirów, Wola, Warszawa, mazowieckie",45.05m²,1,miejskie,5/7,1 270 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2022,tak,kamienica,drewniane,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-3-pokoje-z-klimatyzacja-ID4vGFW,710164747,7520,"Mirów, Wola, Warszawa, mazowieckie",54.84m²,3,miejskie,2/6,1 454 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2022,tak,kamienica,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-przestronne-2-pokojowe-mieszkanie-ID4xKxU,991164747,5940,"Mirów, Wola, Warszawa, mazowieckie",46.92m²,2,miejskie,6/7,1 270 zł/miesiąc,brak informacji,,,biuro nieruchomości,2022,tak,kamienica,drewniane,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/sloneczny-taras-2-pokoje-pelne-umeblowanie-ID4xcjx,456164747,3500,"ul. Żytnia, Młynów, Wola, Warszawa, mazowieckie",60m²,2,miejskie,5/10,brak informacji,do zamieszkania,,,biuro nieruchomości,2004,tak,blok,,monitoring / ochrona,balkon | taras | piwnica
https://www.otodom.pl/pl/oferta/nowe-bezposrednio-wola-ul-jana-kazimierza-od-01-10-dla-1-osoby-wifi-ID4xIxl,717164747,2190,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",20m²,1,miejskie,2/6,660 zł/miesiąc,do zamieszkania,,,prywatny,2020,tak,apartamentowiec,drewniane,monitoring / ochrona,tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/bez-prowizji-luksusowy-penthouse-na-zlotej-ID4uEd1,932164747,17330,"Mirów, Wola, Warszawa, mazowieckie",98.38m²,4,miejskie,4/7,2 450 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2022,tak,kamienica,drewniane,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/widok-z-28-pietra-luksus-i-komfort-towarowa-ID4xkTz,514164747,14900,"ul. Prosta, Czyste, Wola, Warszawa, mazowieckie",62m²,3,miejskie,> 10/29,1 600 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2025,tak,apartamentowiec,,teren zamkniętymonitoring / ochrona,
https://www.otodom.pl/pl/oferta/3-osobne-pokoje-po-remoncie-klimatyzacja-wola-ID4xyBa,589164747,7000,"ul. Wolności, Nowolipki, Wola, Warszawa, mazowieckie",77m²,3,miejskie,3/8,1 600 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2004,tak,blok,,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/komfortowe-nowoczesne-3-pokoje-garaz-ac-metro-ID4xHJ1,154164747,6500,"ul. Grzybowska, Czyste, Wola, Warszawa, mazowieckie",55m²,3,miejskie,4/8,brak informacji,do zamieszkania,,,biuro nieruchomości,2019,tak,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-2-pokojowe-duzy-salon-balkon-ID4xGn2,482164748,6500,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",65m²,2,brak informacji,brak informacji,1 350 zł/miesiąc,brak informacji,,,prywatny,,tak,,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/premium-2-sypialnie-duzy-taras-klimatyzacja-meridian-ID4voCt,250164748,14500,"ul. Chłodna, Mirów, Wola, Warszawa, mazowieckie",135m²,3,miejskie,8/9,2 500 zł/miesiąc,brak informacji,,,biuro nieruchomości,,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | pom. użytkowe
