link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/kawalerka-warszawa-zoliborz-elbaska-67-od-1-09-2025-bezposrednio-ID4si0r,639172328,2500,"ul. Elbląska 67, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",24m²,1,miejskie,4/10,550 zł/miesiąc,do zamieszkania,,,prywatny,1971,tak,blok,plastikowe,,balkon | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/2-pokoje-na-starym-zoliborzu-oferta-wstrzymana-ID4xLTW,293172328,3000,"ul. Zygmunta Krasińskiego, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",31m²,2,brak informacji,parter/4,660 zł/miesiąc,do zamieszkania,,,prywatny,,nie,kamienica,drewniane,monitoring / ochronateren zamknięty,piwnica | tylko dla niepalących
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-zoliborz-rezydencja-arteco-silownia-garaz-balkon-ID4xIKW,793172328,4300,"Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",40m²,2,brak informacji,2/8,720 zł/miesiąc,do zamieszkania,,,prywatny,2014,tak,apartamentowiec,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | piwnica | tylko dla niepalących
https://www.otodom.pl/pl/oferta/mieszkanie-24m2-elblaska-przy-ul-broniewskiego-cena-calkowita-2750-zl-ID45EJ3,754172328,2750,"ul. Elbląska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",24m²,1,miejskie,10/10,brak informacji,do zamieszkania,,,prywatny,,tak,blok,plastikowe,,oddzielna kuchnia | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/bez-prowizji-kawalerka-z-balkonem-przy-metrze-ID4xa4a,215172328,2390,"Marymont-Kaskada, Bielany, Warszawa, mazowieckie",20.32m²,1,miejskie,parter/5,510 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2023,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-3-pokojowe-mieszkanie-przy-metrze-ID4xafd,976172328,4940,"Marymont-Kaskada, Bielany, Warszawa, mazowieckie",62.77m²,3,miejskie,4/5,1 260 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2023,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/studio-kawalerka-sady-zoliborskie-ID4x9dU,204172328,2600,"ul. Zygmunta Krasińskiego, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",30m²,1,miejskie,7/10,700 zł/miesiąc,do zamieszkania,,,prywatny,1970,tak,blok,plastikowe,,balkon | ogródek | garaż/miejsce parkingowe | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom
https://www.otodom.pl/pl/oferta/no-commission-beautiful-studio-near-m1-ID4xw5C,859172329,2390,"Marymont-Kaskada, Bielany, Warszawa, mazowieckie",20.32m²,1,miejskie,parter/5,510 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2023,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/bez-prowizji-kawalerka-przy-metrze-bielany-ID4vU0a,422172329,2390,"Marymont-Kaskada, Bielany, Warszawa, mazowieckie",19.56m²,1,miejskie,3/5,510 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2023,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/mieszkanie-wysoki-standard-2-pokojowe-2-garaz-ID4xCwh,933172329,4700,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",52.1m²,2,brak informacji,1/9,900 zł/miesiąc,do zamieszkania,,,biuro nieruchomości,2020,nie,,plastikowe,,balkon | garaż/miejsce parkingowe
