link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/mieszkanie-na-bemowie-ID4xLTk,767132636,391500.0,"Jelonki Północne, Bemowo, Warszawa, mazowieckie",27m²,1,miejskie,9/11,550 zł,do zamieszkania,wtórny,pełna własność,prywatny,1978,tak,blok,plastikowe,,balkon | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/bezposrednio-3-pok-1-pietro-bemowo-jelonki-ID4xCzq,794132636,769000.0,"Jelonki Południowe, Bemowo, Warszawa, mazowieckie",51.48m²,3,miejskie,1,800 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,,tak,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-68-m2-warszawa-bemowo-ul-dynarska-ID4xICD,526132636,899000.0,"ul. Dynarska, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie",68.79m²,3,miejskie,2/3,1 000 zł,do zamieszkania,wtórny,pełna własność,prywatny,1984,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/przy-metrze-duzy-balkon-bez-pcc-urzadzone-nowe-ID4xIdA,824132636,1399000.0,"ul. Szeligowska, Chrzanów, Bemowo, Warszawa, mazowieckie",68.5m²,3,miejskie,5/6,0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,tak,blok,,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/przy-metrze-bez-pcc-3-pokojowe-z-garazem-urzadzone-ID4xIf3,826132636,1299000.0,"ul. Żeńców, Chrzanów, Bemowo, Warszawa, mazowieckie",61m²,3,miejskie,2/5,0,do zamieszkania,pierwotny,pełna własność,biuro nieruchomości,2024,tak,blok,,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pok-ul-borowej-gory-51-5-m2-ID4xExE,672132636,660000.0,"ul. Borowej Góry, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",51.48m²,3,miejskie,9/11,760 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,,tak,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/dwupokojowe-na-bemowie-osobna-kuchnia-ID4xhmb,533132636,656000.0,"ul. Lazurowa, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",50.5m²,2,miejskie,2/10,brak informacji,brak informacji,wtórny,pełna własność,prywatny,1988,tak,blok,drewniane,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/warszawa-bemowo-2-pok-46m-balkon-ksiega-ID4wyW6,965132636,668000.0,"Górce, Bemowo, Warszawa, mazowieckie",46m²,2,miejskie,9/10,750 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1980,tak,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/mieszkanie-bez-white-2-pok-bezposrednio-ID4xJOA,572132636,679000.0,"ul. Rozłogi, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",35.8m²,2,miejskie,4/8,700 zł,do zamieszkania,wtórny,pełna własność,prywatny,1980,tak,blok,plastikowe,,balkon | pom. użytkowe
https://www.otodom.pl/pl/oferta/bemowo-vita-ID4ulvA,909132637,,,43 - 78 m²,,,,,,,,deweloper,,,,,brak informacji,
