link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-tarchomin-ul-aluzyjna-nowodwory-ID4xDJ4,755182632,560000.0,"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",44.4m²,2,miejskie,8/9,570 zł,do zamieszkania,wtórny,pełna własność,prywatny,2003,tak,blok,plastikowe,monitoring / ochronateren zamknięty,
https://www.otodom.pl/pl/oferta/na-sprzedaz-3-pokojowe-mieszkanie-ul-geometryczna-ID4vUVh,650182632,829000.0,"ul. Geometryczna, Grodzisk, Białołęka, Warszawa, mazowieckie",47.93m²,3,brak informacji,1/3,brak informacji,do zamieszkania,wtórny,pełna własność,prywatny,2023,tak,blok,,teren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/nowoczesne-nowe-mieszkanie-gotowe-do-wprowadzenia-katy-grodziskie-ID4xyQd,149182632,699000.0,"Grodzisk, Białołęka, Warszawa, mazowieckie",42.26m²,2,miejskie,2/2,600 zł,do zamieszkania,wtórny,pełna własność,prywatny,2024,nie,blok,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-z-ogrodem-zimowym-na-zielonym-osiedlu-ID4xOgH,921182632,790000.0,"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",52m²,2,brak informacji,3/4,brak informacji,do zamieszkania,wtórny,pełna własność,prywatny,,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/osiedle-ostrodzka-123-etap-ii-ID4um1J,617182632,,,29 - 77 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/miasteczko-brzeziny-ii-ID4ub4t,951182633,,,39 - 80 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/mirabelki-5-ID4ugyv,197182633,,,36 - 78 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-loggia-bezposrednio-ID4uoch,811182633,739723.0,"ul. Marywilska, Żerań, Białołęka, Warszawa, mazowieckie",55.41m²,3,brak informacji,1/5,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2026,tak,,,,
https://www.otodom.pl/pl/oferta/4-pokoje-68-75m2-bialoleka-ul-corellego-ID4xsbi,360182632,749000.0,"Arcangela Corellego, Kobiałka, Białołęka, Warszawa, mazowieckie",68.75m²,4,brak informacji,1/2,brak informacji,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2018,nie,blok,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/miasto-moje-ID4umKb,910182633,,,26 - 71 m²,,,,,,,,deweloper,,,,,monitoring,
https://www.otodom.pl/pl/oferta/apartamenty-przyjaciol-ID4ulL4,464182633,,,25 - 57 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/narozne-wykonczone-3-pokoje-ul-warzelnicza-ID4v7zl,160182633,1050000.0,"ul. Warzelnicza, Brzeziny, Białołęka, Warszawa, mazowieckie",59.91m²,3,brak informacji,1/2,904 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,tak,blok,,teren zamkniętymonitoring / ochrona,taras | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/dwupoziomowe-solidnie-wykonczone-5-pokoi-odkryta-ID4v6K4,635182633,1690000.0,"ul. Odkryta, Nowodwory, Białołęka, Warszawa, mazowieckie",157.9m²,5,kotłownia,3/4,1 726 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2000,nie,blok,,teren zamknięty,balkon | garaż/miejsce parkingowe | dwupoziomowe
https://www.otodom.pl/pl/oferta/apartament-z-balkonem-lokal-uzytkowy-ID4v9ol,114182633,358209.0,"ul. Modlińska, Dąbrówka Szlachecka, Białołęka, Warszawa, mazowieckie",32.59m²,1,miejskie,1/2,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2027,tak,apartamentowiec,,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/dwupokojowe-po-remoncie-miejsce-postojowe-ID4vtj5,749182633,589000.0,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",56m²,2,gazowe,3/3,790 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004,nie,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/58-5m2-3-pokoje-balkon-piwnica-tarchomin-ID4vcB3,343182633,740000.0,"ul. Śreniawitów, Tarchomin, Białołęka, Warszawa, mazowieckie",61.49m²,3,miejskie,3/4,800 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,1983,nie,blok,,,balkon | piwnica | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/promocja-gotowe-3-pokoje-od-61-m2-poddasze-60m-ID4wiAB,555182634,728040.0,"ul. Konik Polny, Grodzisk, Białołęka, Warszawa, mazowieckie",60.67m²,3,gazowe,1/1,0 zł,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,nie,,,,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/ustawne-ciche-jasne-widok-na-drzewa-garaz-ID4xOIn,958182634,550000.0,"Nowodwory, Białołęka, Warszawa, mazowieckie",35.3m²,2,brak informacji,brak informacji,brak informacji,brak informacji,wtórny,pełna własność,biuro nieruchomości,,nie,,,,
https://www.otodom.pl/pl/oferta/przyjemne-do-zycia-dwustronne-i-3-pokojowe-mieszkanie-62-5-m-ID4xqpX,175182633,815000.0,"ul. Feliksa Pancera, Tarchomin, Białołęka, Warszawa, mazowieckie",62.5m²,3,miejskie,3/3,1 000 zł,do zamieszkania,wtórny,brak informacji,prywatny,1987,nie,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/do-sprzedania-mieszkanie-gabinet-lekarski-ID4pehI,776182633,699960.0,"ul. Atutowa, Tarchomin, Białołęka, Warszawa, mazowieckie",61.4m²,4,inne,parter/9,"840,53 zł",brak informacji,wtórny,brak informacji,biuro nieruchomości,1985,tak,blok,plastikowe,,
https://www.otodom.pl/pl/oferta/nova-viva-garden-ID4umsU,107182634,,,26 - 72 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-komorka-lok-2-x-garaz-ID4rcsN,958182634,849000.0,"ul. Skarbka z Gór, Grodzisk, Białołęka, Warszawa, mazowieckie",65.5m²,3,gazowe,2/2,800 zł,do zamieszkania,wtórny,pełna własność,prywatny,2011,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | taras | garaż/miejsce parkingowe | piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-88m2-ogrodek-ID4ucUc,149182634,,"ul. Wiklinowa, Henryków, Białołęka, Warszawa, mazowieckie",88.93m²,4,brak informacji,1/1,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2025,nie,,,teren zamknięty,ogródek | garaż/miejsce parkingowe | dwupoziomowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-ogrodek-bezposrednio-ID4uiGP,696182634,478720.0,"ul. Skarbka z Gór 47, Grodzisk, Białołęka, Warszawa, mazowieckie",29.92m²,1,brak informacji,parter/2,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2026,tak,,,teren zamknięty,taras | ogródek | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/osiedle-senza-ID4uqbz,740182635,,,39 - 83 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/comfort-city-koral-ID4ui3f,841182635,,,31 - 72 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/bialoleka-zbytki-55-86m2-2-balkony-do-wejscia-ID4xqcN,265182635,767144.0,"ul. Zbytki, Nowodwory, Białołęka, Warszawa, mazowieckie",56m²,2,kotłownia,parter/3,brak informacji,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2008,tak,,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/swietna-lokalizacja-3-pokoje-61-5m2-garazx2-ul-glebocka-ID4xOEb,789182635,940000.0,"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",61.5m²,3,brak informacji,3/3,750 zł,brak informacji,wtórny,brak informacji,prywatny,2020,tak,apartamentowiec,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/przytulne-3-pokoje-z-ogrodkiem-ID4xOE9,375182634,874000.0,"ul. Feliksa Pancera, Tarchomin, Białołęka, Warszawa, mazowieckie",60.7m²,3,miejskie,parter/3,1 130 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,,nie,blok,plastikowe,,balkon | ogródek | piwnica
https://www.otodom.pl/pl/oferta/via-familia-ID4uarE,919182636,,,35 - 95 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-104m2-balkon-ID4xu7v,801182635,1077792.0,"ul. Białołęcka, Brzeziny, Białołęka, Warszawa, mazowieckie",104.64m²,4,brak informacji,1/1,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2027,nie,,,teren zamknięty,balkon | dwupoziomowe
https://www.otodom.pl/pl/oferta/zeran-ogrodek-garaz-ID4xzHx,253182635,659000.0,"ul. Modlińska, Żerań, Białołęka, Warszawa, mazowieckie",47m²,2,kotłownia,parter/4,560 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2011,tak,blok,,teren zamkniętymonitoring / ochrona,ogródek | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-pieknie-wykonczone-z-klimatyzacja-tramwaj-ID4xOCd,778182635,680000.0,"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",44.88m²,2,miejskie,2/3,665 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/bialolecka-327-mieszkanie-89m2-salon-3-sypialnie-ogrod-145-216m2-ID4u5S4,399182635,982190.0,"ul. Białołęcka, Brzeziny, Białołęka, Warszawa, mazowieckie",89.29m²,4,gazowe,parter/1,brak informacji,do wykończenia,pierwotny,pełna własność,prywatny,2026,nie,szeregowiec,plastikowe,teren zamknięty,ogródek | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/bialolecka-327-mieszkanie-104-64m2-salon-3-sypialnie-poddasze-83m2-ID4u5SE,291182635,1077792.0,"ul. Białołęcka, Brzeziny, Białołęka, Warszawa, mazowieckie",104.64m²,6,gazowe,1/1,brak informacji,do wykończenia,pierwotny,pełna własność,prywatny,2026,nie,szeregowiec,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | dwupoziomowe
https://www.otodom.pl/pl/oferta/osiedle-ostrodzka-123-ID4um1Z,713182636,,,65 - 75 m²,,,,,,,,deweloper,,,,,brak informacji,
