link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-2-pok-z-garderoba-37-m2-bezposrednio-ID4wh9t,244091221,585000.0,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",37m²,2,miejskie,4/10,614 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1974,tak,blok,plastikowe,monitoring / ochrona,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-3-sypialnie-i-salon-60-m-dwustronne-osiedle-ruda-ID4xOpy,662091221,849000.0,"ul. Klaudyny, Marymont-Ruda, Bielany, Warszawa, mazowieckie",60m²,4,miejskie,6/13,1 000 zł,do zamieszkania,wtórny,pełna własność,prywatny,1984,tak,blok,,,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/studio-kamienica-metro-stare-bielany-ID4xgEl,147091222,710000.0,"ul. Cegłowska, Stare Bielany, Bielany, Warszawa, mazowieckie",38.28m²,2,miejskie,2/3,705 zł,do remontu,wtórny,brak informacji,biuro nieruchomości,1939,nie,kamienica,,,
https://www.otodom.pl/pl/oferta/rokokowa-vita-ID4ulvk,831091222,,,92 - 92 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/3-pokoje-garaz-komorka-ostatnie-pietro-ID4sDaj,732091221,1130000.0,"ul. Fortowa, Chomiczówka, Bielany, Warszawa, mazowieckie",57.45m²,3,gazowe,1/2,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,tak,apartamentowiec,,monitoring / ochrona,ogródek | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/od-zaraz-przy-metrze-ciche-winda-balkon-ID4xtWY,962091221,950000.0,"ul. Stefana Żeromskiego, Słodowiec, Bielany, Warszawa, mazowieckie",45.51m²,2,miejskie,2/10,660 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2017,tak,apartamentowiec,,,
https://www.otodom.pl/pl/oferta/ladne-kameralne-1-pokojowe-mieszkanie-na-sprzedaz-ID4xayH,656091221,440000.0,"ul. Antoniego Magiera, Słodowiec, Bielany, Warszawa, mazowieckie",25m²,1,miejskie,1/4,350 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1964,nie,blok,plastikowe,monitoring / ochrona,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/atrakcyjne-dwu-trzypokojowe-mieszkanie-doskonala-lokalizacja-ID4xieY,506091221,749000.0,"ul. Jana Kochanowskiego, Piaski, Bielany, Warszawa, mazowieckie",48m²,2,miejskie,2/4,700 zł,do zamieszkania,wtórny,pełna własność,prywatny,1971,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/salvatore-ID4xuRC,941091222,,,97 - 171 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-na-bielanach-ID4vYIe,205091222,695000.0,"Słodowiec, Bielany, Warszawa, mazowieckie",47.24m²,3,miejskie,3/3,brak informacji,do remontu,wtórny,pełna własność,biuro nieruchomości,1968,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-44-m-warszawa-ID4xOU4,884091222,660000.0,"ul. Pabla Nerudy, Chomiczówka, Bielany, Warszawa, mazowieckie",44m²,2,brak informacji,3/15,brak informacji,brak informacji,wtórny,brak informacji,biuro nieruchomości,1979,tak,,plastikowe,,
https://www.otodom.pl/pl/oferta/2-pokojowe-bielany-2017-rok-ID4xOSq,567091222,958000.0,"ul. Mistrzowska, Chomiczówka, Bielany, Warszawa, mazowieckie",49.41m²,2,miejskie,3/3,1 200 zł,do zamieszkania,wtórny,pełna własność,prywatny,2017,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/mieszkanie-na-kasprowicza-2-pokoje-2-min-od-metra-stare-bielany-ID4xOSx,554091222,800000.0,"Stare Bielany, Bielany, Warszawa, mazowieckie",35m²,2,miejskie,3/4,600 zł,do zamieszkania,wtórny,pełna własność,prywatny,,nie,kamienica,,,balkon | pom. użytkowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-broniewskiego-101-bielamy-ID4xOPf,933091222,900000.0,"ul. Władysława Broniewskiego, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",56.1m²,3,miejskie,3/10,680 zł,do zamieszkania,wtórny,pełna własność,prywatny,1972,tak,blok,plastikowe,,balkon | piwnica
