link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-mokotow-ID4wFlu,723163001,655000.0,"ul. Niegocińska 7, Służew, Mokotów, Warszawa, mazowieckie",37.1m²,2,miejskie,3/4,984 zł,do remontu,wtórny,pełna własność,prywatny,1969,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/bezposrednio-sobieskiego-bewederska-chelmska-dolna-ID4xsSM,498163002,2659000.0,"ul. Jana III Sobieskiego, Sielce, Mokotów, Warszawa, mazowieckie",132m²,4,miejskie,5/6,brak informacji,do zamieszkania,wtórny,pełna własność,prywatny,1998,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-mokotow-dwa-balkony-sprzedaz-ID4xsqm,323163002,1634568.0,"ul. Bergamotki, Stegny, Mokotów, Warszawa, mazowieckie",65.91m²,3,miejskie,1/2,1 000 zł,do zamieszkania,wtórny,pełna własność,prywatny,2017,tak,blok,drewniane,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-mokotowie-ID4xzkh,173163001,1236000.0,"ul. Jana Sebastiana Bacha, Służew, Mokotów, Warszawa, mazowieckie",72.7m²,3,miejskie,1/10,1 121 zł,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1978,tak,blok,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/jasne-zadbane-mieszkanie-na-mozaice-mokotow-ID4xGZu,987163001,1164000.0,"ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie",55.72m²,2,miejskie,1/6,"848,29 zł",do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2016,tak,apartamentowiec,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/sikorskiego-vita-ID4ulvl,367163003,,,59 - 59 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-61m2-balkon-bez-prowizji-ID4umKw,589163002,,"ul. Polska, Siekierki, Mokotów, Warszawa, mazowieckie",61.85m²,3,brak informacji,1/3,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2025,tak,,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/dwa-pokoje-idealne-na-wynajem-ID4xoho,587163003,515000.0,"ul. Etiudy Rewolucyjnej, Wyględów, Mokotów, Warszawa, mazowieckie",29m²,2,brak informacji,6/10,800 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1972,tak,,,,
https://www.otodom.pl/pl/oferta/mieszkanie-w-miejskiej-willi-na-sluzewiu-ID4xLsY,701163002,1490000.0,"ul. Wołodyjowskiego, Służew, Mokotów, Warszawa, mazowieckie",63.4m²,3,kotłownia,2,970 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004,nie,dom wolnostojący,drewniane,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | pom. użytkowe | dwupoziomowe
https://www.otodom.pl/pl/oferta/spokojny-mokotow-ID4ulKn,722163003,,,51 - 59 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/stara-kamienica-zielony-mokotow-parking-ID4xOjW,626163002,1099000.0,"ul. Grażyny, Stary Mokotów, Mokotów, Warszawa, mazowieckie",59.3m²,2,miejskie,3/4,770 zł,do remontu,wtórny,pełna własność,biuro nieruchomości,1936,nie,kamienica,plastikowe,,garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-64-3-m-2-piwnica-8-m2-ul-cypryjska-6-ID4xOjQ,597163002,1200000.0,"ul. Cypryjska, Stegny, Mokotów, Warszawa, mazowieckie",64.3m²,3,miejskie,4/4,1 250 zł,do zamieszkania,wtórny,pełna własność,prywatny,,nie,blok,plastikowe,monitoring / ochrona,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3-pokoje-balkon-komorka-lokatorska-widok-na-zielen-bezposrednio-ID4xlzI,915163003,799000.0,"ul. Jana III Sobieskiego, Sielce, Mokotów, Warszawa, mazowieckie",48m²,3,miejskie,1,700 zł,do zamieszkania,wtórny,pełna własność,prywatny,1965,nie,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/kawalerka-31m2-mokotow-do-remontu-ID4nICP,128163003,534000.0,"ul. Boryszewska 14, Stary Mokotów, Mokotów, Warszawa, mazowieckie",31m²,1,miejskie,1/4,384 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1964,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3-pok-apartament-w-doskonalej-lokalizacji-ID4xc7x,420163003,956130.0,"ul. Domaniewska, Służewiec, Mokotów, Warszawa, mazowieckie",61m²,3,brak informacji,1/9,brak informacji,brak informacji,wtórny,brak informacji,biuro nieruchomości,2025,nie,apartamentowiec,drewniane,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/sloneczne-3-pokojowe-mieszkanie-na-mokotowie-z-40m2-ogrodkiem-ID4wWEI,868163003,961234.0,"Służew, Mokotów, Warszawa, mazowieckie",53.9m²,3,miejskie,parter/7,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | ogródek | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/3-pok-przy-dolince-sluzewieckiej-duza-loggia-bez-sasiadow-za-oknem-ID4wWM0,401163003,1071000.0,"Stegny, Mokotów, Warszawa, mazowieckie",59m²,3,miejskie,3/7,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3pok-mieszkanie-w-sercu-mokotowa-z-35-metrowym-tarasem-na-6-pietrze-ID4xgko,814163003,1648000.0,"Służewiec, Mokotów, Warszawa, mazowieckie",61.27m²,3,miejskie,6/9,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/kawalerka-z-mozliwoscia-przerobienia-na-2-pok-z-10-m2-balkonem-ID4xB71,177163003,674200.0,"Służew, Mokotów, Warszawa, mazowieckie",30m²,1,miejskie,1/7,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-z-tarasem-al-wilanowska-85-ID4xGF8,481163003,1249000.0,"al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie",56.2m²,2,miejskie,3/4,1 000 zł,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2008,tak,apartamentowiec,plastikowe,monitoring / ochrona,garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/g-mokotow-cegla-2-pokoje-blisko-metra-ID4xxsB,156163003,690000.0,"al. Aleja Niepodległości, Wierzbno, Mokotów, Warszawa, mazowieckie",41.5m²,2,inne,6/6,brak informacji,do remontu,wtórny,pełna własność,biuro nieruchomości,1952,tak,kamienica,plastikowe,,
https://www.otodom.pl/pl/oferta/lokal-warszawa-mokotow-ul-batorego-16-przy-sgh-uw-politechnika-w-wa-ID4xD99,641163004,360000.0,"ul. Stefana Batorego, Stary Mokotów, Mokotów, Warszawa, mazowieckie",17.29m²,1,miejskie,2/2,400 zł,do zamieszkania,wtórny,pełna własność,prywatny,2021,nie,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/mieszkanie-31-57-m-warszawa-ID4xu9m,288163004,529000.0,"ul. Zygmunta Modzelewskiego, Służew, Mokotów, Warszawa, mazowieckie",31.57m²,1,miejskie,8/10,brak informacji,brak informacji,wtórny,brak informacji,biuro nieruchomości,1972,tak,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3-pokoje-z-balkonem-na-mokotowie-ID4xliW,572163003,649999.0,"ul. Jana III Sobieskiego, Sielce, Mokotów, Warszawa, mazowieckie",45.54m²,3,miejskie,2/3,1 000 zł,do remontu,wtórny,pełna własność,biuro nieruchomości,1965,nie,blok,,monitoring / ochrona,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/metro-sluzewgotowe-do-zamieszkania-ID4xf4m,970163004,799000.0,"ul. Jana Sebastiana Bacha, Służew, Mokotów, Warszawa, mazowieckie",47m²,2,brak informacji,parter/4,720 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1978,nie,,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/2-pok-bernardynska-przy-jez-czerniakowskim-ID4viv1,909163004,527000.0,"ul. Bernardyńska, Czerniaków, Mokotów, Warszawa, mazowieckie",32.99m²,2,miejskie,2/12,664 zł,do remontu,wtórny,pełna własność,biuro nieruchomości,1985,tak,blok,plastikowe,,oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/jasminowy-mokotow-vi-ID4um09,838163005,,,49 - 143 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/panoramiczny-widok-kort-tenisowy-basen-sauna-ac-ID4xu9d,335163004,2050000.0,"ul. Jana III Sobieskiego, Stegny, Mokotów, Warszawa, mazowieckie",143.6m²,4,miejskie,10/12,brak informacji,do remontu,wtórny,pełna własność,biuro nieruchomości,2000,tak,apartamentowiec,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/100m24-pokoje2-balkonymetromokotow0-prowizji-ID4vEcv,919163004,1899000.0,"al. Aleja Wilanowska, Ksawerów, Mokotów, Warszawa, mazowieckie",97.38m²,4,miejskie,6/9,1 352 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2018,tak,apartamentowiec,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/stary-mokotow-madalinskiego-zadbany-budynek-ID4sxz4,335163004,1000000.0,"Wierzbno, Mokotów, Warszawa, mazowieckie",64.15m²,3,brak informacji,4/4,555 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,1970,nie,,plastikowe,teren zamkniętymonitoring / ochrona,balkon | taras | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/stary-mokotow-4-pokoje-inwestycja-airbnb-ID4sj3b,631163004,1000000.0,"ul. Antoniego Józefa Madalińskiego, Stary Mokotów, Mokotów, Warszawa, mazowieckie",64.15m²,4,brak informacji,4/4,555 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1970,nie,,,teren zamknięty,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mokotow-2-sypialnie-2-lazienki-design-ac-ID4pn1G,689163004,1880000.0,"Stegny, Mokotów, Warszawa, mazowieckie",94m²,3,miejskie,2/4,1 150 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2008,tak,apartamentowiec,drewniane,teren zamkniętymonitoring / ochrona,garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/3-pokoje-blisko-metra-eco-remont-klima-ID4vOJr,690163005,749000.0,"ul. Jana Bytnara ""Rudego"", Wierzbno, Mokotów, Warszawa, mazowieckie",36m²,2,miejskie,9/10,570 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1966,tak,blok,plastikowe,,
https://www.otodom.pl/pl/oferta/2-pokoje-eco-remont-blisko-metra-klima-ID4xGYh,554163004,649000.0,"ul. Blacharska, Służew, Mokotów, Warszawa, mazowieckie",32m²,2,miejskie,4/10,brak informacji,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1975,tak,blok,,,balkon | piwnica
https://www.otodom.pl/pl/oferta/bukowinska-mokotow-ID4xmSH,881163005,,,29 - 109 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/stegny-krymska-53-m2-3-pokojowe-rozkladowe-do-remontu-ID4vMtK,597163005,690000.0,"ul. Krymska, Stegny, Mokotów, Warszawa, mazowieckie",53m²,3,miejskie,1/4,570 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,,nie,blok,drewniane,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/wiktorska-51m2-2-pokoje-z-balkonem-ID4xDND,450163005,999000.0,"ul. Wiktorska, Stary Mokotów, Mokotów, Warszawa, mazowieckie",51.25m²,2,brak informacji,1/3,1 200 zł,brak informacji,wtórny,brak informacji,biuro nieruchomości,1950,nie,,,,
https://www.otodom.pl/pl/oferta/dwie-garderoby-recepcja-balkon-2009-rok-ID4xCxX,508163005,949999.0,"ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie",57.14m²,2,brak informacji,3/7,800 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2009,nie,,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pokoje-48m2-warszawa-mokotow-cudowna-panorama-ID4xB8i,619163005,795000.0,"ul. Dworkowa, Stary Mokotów, Mokotów, Warszawa, mazowieckie",48m²,3,miejskie,8/10,660 zł,do remontu,wtórny,pełna własność,biuro nieruchomości,1968,tak,blok,,monitoring / ochrona,balkon | piwnica
https://www.otodom.pl/pl/oferta/trzypokojowe-w-sercu-starego-mokotowa-bez-prowizji-ID4xaRl,894163005,986000.0,"al. Aleja Niepodległości, Wierzbno, Mokotów, Warszawa, mazowieckie",57.7m²,3,miejskie,2,800 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,,tak,blok,plastikowe,,balkon | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-z-balkonem-mokotow-ID4xCrz,907163005,870000.0,"ul. Cieszyńska, Ksawerów, Mokotów, Warszawa, mazowieckie",57.7m²,3,miejskie,brak informacji,900 zł,do remontu,wtórny,pełna własność,biuro nieruchomości,1975,tak,blok,plastikowe,monitoring / ochrona,balkon | pom. użytkowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/metro-wierzbno-200-m-balkon-piwnica-ID4xOdh,309163005,629000.0,"ul. Zygmunta Modzelewskiego, Służew, Mokotów, Warszawa, mazowieckie",38m²,2,miejskie,7/10,650 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1973,tak,blok,,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/140tys-rabatu-tylko-w-sierpniu-umow-ogladanie-mieszkan-blisko-metra-ID4xM5V,916163005,759718.0,"Służewiec, Mokotów, Warszawa, mazowieckie",43.2m²,2,miejskie,1,0,brak informacji,pierwotny,pełna własność,biuro nieruchomości,2025,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/145-tys-rabatu-blisko-metro-wierzbno-garaz-zobacz-na-zywo-dni-otwarte-ID4xM61,271163005,1074909.0,"Służewiec, Mokotów, Warszawa, mazowieckie",64.7m²,3,miejskie,1,0,brak informacji,pierwotny,pełna własność,biuro nieruchomości,2025,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/2-3pokoje-taras-rabat-180tys-zl-kolo-westfield-zaraz-gotowe-ID4xBgZ,386163006,887135.0,"Służewiec, Mokotów, Warszawa, mazowieckie",50.05m²,2,miejskie,1,0,brak informacji,pierwotny,pełna własność,biuro nieruchomości,2025,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-duzym-balkonem-ID4xm5o,674163006,1850000.0,"ul. Konstancińska, Sadyba, Mokotów, Warszawa, mazowieckie",122m²,5,miejskie,2/4,"2 373,82 zł",do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1994,nie,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pokoje-loggia-klimatyzacja-garaz-ciche-ID4xLdE,279163006,1365000.0,"ul. Śródziemnomorska, Stegny, Mokotów, Warszawa, mazowieckie",72m²,3,miejskie,3/7,1 100 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2018,tak,,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/apartament-z-pieknym-widokiem-ID4wOQR,950163006,2490000.0,"ul. Powsińska, Sadyba, Mokotów, Warszawa, mazowieckie",117.8m²,4,miejskie,4/6,brak informacji,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2006,tak,apartamentowiec,drewniane,monitoring / ochrona,balkon | garaż/miejsce parkingowe | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/mokotow-58-m-duzy-balkon-ostatnie-pietro-z-widokiem-garaz-ID4xfIr,623163006,958970.0,"ul. Melomanów, Czerniaków, Mokotów, Warszawa, mazowieckie",58.1m²,2,miejskie,7/7,1 000 zł,do wykończenia,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,2001,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3-pokoje-mokotow-wierzbno-metro-ID4wsIV,400163006,820000.0,"al. Aleja Niepodległości, Ksawerów, Mokotów, Warszawa, mazowieckie",54.97m²,3,miejskie,1/4,1 000 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1968,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-do-wprowadzenia-sie-ID4q9n4,588163006,999000.0,"ul. Batalionu AK ""Karpaty"", Czerniaków, Mokotów, Warszawa, mazowieckie",53.34m²,2,miejskie,1/4,878 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2015,tak,blok,plastikowe,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/wlasciciel-nordic-sadyba-2022-76m2-garaz-3-pok-2-lazienki-naleczowska-ID4xG7a,111163006,1590000.0,"ul. Nałęczowska, Sadyba, Mokotów, Warszawa, mazowieckie",76m²,3,miejskie,5/10,1 000 zł,do zamieszkania,pierwotny,pełna własność,prywatny,2022,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/gotowe-do-odebrania-od-zaraz-zapytaj-o-odbior-wykonczonego-pod-dklucz-ID4xIwh,747163006,991125.0,"Sielce, Mokotów, Warszawa, mazowieckie",61.37m²,3,brak informacji,4/5,brak informacji,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/przestronne-ciche-przy-parku-mieszkanie-garaz-komorka-ID4vDD0,544163006,1180000.0,"ul. Bergamotki, Stegny, Mokotów, Warszawa, mazowieckie",72.36m²,3,miejskie,brak informacji,1 200 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2019,tak,,drewniane,monitoring / ochrona,balkon | garaż/miejsce parkingowe | pom. użytkowe | piwnica
