link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-z-garazem-parking-ID4xNvX,889164227,695000,"ul. Księcia Trojdena, Rakowiec, Ochota, Warszawa, mazowieckie",36.6m²,2,miejskie,brak informacji,455 zł,do zamieszkania,wtórny,pełna własność,prywatny,1968,nie,blok,plastikowe,teren zamknięty,garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-w-cichej-i-zielonej-ochocie-ID4xI14,467164228,518000,"ul. Władysława Korotyńskiego, Rakowiec, Ochota, Warszawa, mazowieckie",26m²,1,miejskie,1,380 zł,do zamieszkania,wtórny,pełna własność,prywatny,1968,nie,blok,plastikowe,,balkon | piwnica
https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-swietna-lokalizacja-ID4vosN,623164228,523000,"ul. Sąchocka, Rakowiec, Ochota, Warszawa, mazowieckie",28.3m²,1,miejskie,2/11,620 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1970,tak,blok,plastikowe,monitoring / ochrona,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/apartament-przy-parku-szczesliwickim-ID4xtSU,883164228,2290000,"ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie",85.85m²,4,miejskie,1/3,1 650 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2024,tak,,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/przedwojenna-kamienica-z-1900-roku-centrum-ID4xKly,724164227,1120000,"al. Aleje Jerozolimskie, Filtry, Ochota, Warszawa, mazowieckie",65.6m²,2,miejskie,4/4,1 230 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1900,nie,kamienica,plastikowe,teren zamknięty,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/lokal-warszawa-mokotow-ul-batorego-16-przy-sgh-uw-politechnika-w-wa-ID4xD99,768164228,360000,"ul. Stefana Batorego, Stary Mokotów, Mokotów, Warszawa, mazowieckie",17.29m²,1,miejskie,2/2,400 zł,do zamieszkania,wtórny,pełna własność,prywatny,2021,nie,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/ochota3-pokojeblisko-wum-ID4sOfY,658164228,739000,"ul. Opaczewska, Szczęśliwice, Ochota, Warszawa, mazowieckie",37.06m²,3,miejskie,8/8,600 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1968,tak,blok,,,
https://www.otodom.pl/pl/oferta/sprzedam-50-3m2-2-pokoje-wlodarzewska-83-ID4xxtW,931164228,999000,"ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie",50.3m²,2,miejskie,2,brak informacji,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2015,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/sprzedam-67m2-3-pokoje-wlodarzewska-83-ID4xxtV,735164228,1330000,"ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie",67m²,3,miejskie,2,brak informacji,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2015,tak,apartamentowiec,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/unikatowe-trzy-pokoje-w-kamienicy-z-1930-r-ID4xGuI,523164228,1899000,"Szczęśliwice, Ochota, Warszawa, mazowieckie",102.42m²,3,miejskie,3/4,brak informacji,brak informacji,wtórny,pełna własność,biuro nieruchomości,1930,nie,kamienica,plastikowe,,balkon | piwnica | oddzielna kuchnia
