link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/3-pokojowy-loft-84m2-loggia-bez-posrednikow-ID4ujhN,512182923,,"ul. Szwedzka, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",84.85m²,3,brak informacji,1/3,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2025,tak,,,teren zamknięty,
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-89m2-taras-bez-prowizji-ID4u9vI,660182923,,"ul. Sprzeczna, Stara Praga, Praga-Północ, Warszawa, mazowieckie",89.38m²,4,brak informacji,6/6,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2025,tak,,,,taras | garaż/miejsce parkingowe | dwupoziomowe
https://www.otodom.pl/pl/oferta/taras-60m-praga-polnoc-4-pokoje-bez-pcc-bezposrednio-promocja-ID4xIyl,317182923,1150000.0,"Pelcowizna, Praga-Północ, Warszawa, mazowieckie",70.55m²,4,miejskie,8/8,brak informacji,do wykończenia,pierwotny,pełna własność,prywatny,2026,tak,blok,plastikowe,,balkon | taras | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/kamienica-z-1912-roku-3-pokoje-2-balkony-ID4xCtm,556182923,1595000.0,"ul. Inżynierska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",95m²,3,miejskie,3/4,1 400 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1912,nie,kamienica,,,
https://www.otodom.pl/pl/oferta/sprzedam-nowe-mieszkanie-bez-podatku-pcc-bezposrednio-od-wlasciciela-ID4xGAw,108182923,780000.0,"ul. Otwocka, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",39.75m²,2,miejskie,4/4,600 zł,do zamieszkania,wtórny,pełna własność,prywatny,2008,tak,blok,plastikowe,,
https://www.otodom.pl/pl/oferta/bulwary-praskie-ID4umS4,815182924,,,28 - 113 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/stylowe-mieszkanie-tuz-przy-metrze-szwedzka-ID4x5P8,576182924,1799000.0,"ul. Szwedzka, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",82.83m²,3,miejskie,5/5,1 550 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2020,tak,apartamentowiec,,monitoring / ochrona,garaż/miejsce parkingowe | piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/prywatny-ogrodek-29-75m2-blisko-wisla-szybki-dojazd-do-centrum-ID4xANN,809182923,734096.0,"Pelcowizna, Praga-Północ, Warszawa, mazowieckie",49.85m²,3,brak informacji,parter/6,brak informacji,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,tak,apartamentowiec,,monitoring / ochronateren zamknięty,ogródek | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-4-pokoje-z-duzym-balkonem-zapytaj-o-wieksze-mieszkania-4-pokojowe-ID4xAPt,636182923,948415.0,"Pelcowizna, Praga-Północ, Warszawa, mazowieckie",67.65m²,4,brak informacji,2/6,brak informacji,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/topowa-lokalizacja-kamienica-stylowe-3m-wys-ID4xIBb,457182923,650000.0,"ul. Inżynierska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",30m²,1,miejskie,4/5,450 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1956,nie,kamienica,plastikowe,,
https://www.otodom.pl/pl/oferta/home-factory-iii-ID4ulgN,136182924,,,29 - 69 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/autonomia-praska-ID4umgM,222182924,,,29 - 62 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/swietna-lokalizacja-duzy-balkon-ID4vuRa,977182924,490000.0,"ul. Wenantego Burdzińskiego, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",31.52m²,2,brak informacji,1/10,686 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1961,tak,,,,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/praga-polnoc-tu-znajdziesz-swoj-nowy-dom-ID4wM4q,202182924,650000.0,"Szmulowizna, Praga-Północ, Warszawa, mazowieckie",59m²,3,brak informacji,6/10,700 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1970,tak,,,,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-kamienica-do-wprowadzenia-ID4xCB9,639182924,639990.0,"ul. Bertolta Brechta, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",35m²,2,miejskie,parter/4,450 zł,do zamieszkania,wtórny,pełna własność,prywatny,1956,nie,kamienica,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/apartamenty-galant-zabkowska-ID4ub4n,419182925,,,52 - 119 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/na-okrzei-ID4uol6,385182925,,,57 - 70 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/do-negocjacji-roi-11-metro-90m-bez-prowizji-ID4xGhg,966182924,1070000.0,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",72m²,3,miejskie,1,1 000 zł,do zamieszkania,wtórny,pełna własność,prywatny,2015,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-kamienica-1939-3-6m-wys-ID4wWTt,571182925,759000.0,"ul. Inżynierska, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",48.25m²,2,brak informacji,2/4,600 zł,do wykończenia,wtórny,pełna własność,biuro nieruchomości,1939,nie,,plastikowe,,balkon | piwnica
https://www.otodom.pl/pl/oferta/przytulne-3pok-po-remoncie-praga-polnoc-ID4vFTV,570182925,950000.0,"Stara Praga, Praga-Północ, Warszawa, mazowieckie",47.7m²,3,miejskie,2/11,600 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1966,tak,blok,,monitoring / ochrona,piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/nowa-praga-ID4ub4v,498182925,,,38 - 79 m²,,,,,,,,deweloper,,,,,brak informacji,
