link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-balkon-ID4uhWb,253181657,,"ul. Przeworska, Grochów, Praga-Południe, Warszawa, mazowieckie",51.93m²,2,brak informacji,3/5,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2026,tak,,,teren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-saska-kepa-cisza-zielen-dwa-pokoje-balkon-ID4xMhn,765181657,665000.0,"ul. Afrykańska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",38m²,2,miejskie,4/4,650 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1975,nie,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/rondo-wiatraczna-2-pokoje-51m2-plus-balkon-ID4xLBc,622181657,579900.0,"ul. Igańska, Grochów, Praga-Południe, Warszawa, mazowieckie",51m²,2,miejskie,> 10/13,790 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1983,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/twoj-zielony-azyl-w-sercu-warszawy-zamieszkaj-na-pradzepoludnie-ID4xrTc,725181657,510000.0,"ul. Józefa Zaliwskiego, Gocławek, Praga-Południe, Warszawa, mazowieckie",26m²,1,miejskie,parter/3,300 zł,do zamieszkania,wtórny,pełna własność,prywatny,2020,tak,apartamentowiec,plastikowe,teren zamknięty,ogródek | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/park-skandynawia-v-ID4um07,672181657,,,24 - 69 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-na-pradze-poludnie-ID4xOmQ,856181657,495000.0,"ul. Korytnicka, Grochów, Praga-Południe, Warszawa, mazowieckie",32m²,2,brak informacji,4/4,brak informacji,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1960,nie,blok,,,balkon | piwnica
https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-z-widokiem-na-park-skaryszewski-ID4xxgB,984181657,2990000.0,"ul. Stanisława Augusta, Kamionek, Praga-Południe, Warszawa, mazowieckie",153m²,5,miejskie,3/3,1 900 zł,do zamieszkania,wtórny,pełna własność,prywatny,1993,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | dwupoziomowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3-pokoje-z-super-widokiem-na-blonia-i-park-ID4vvpZ,471181657,2200000.0,"ul. Stanisława Augusta, Kamionek, Praga-Południe, Warszawa, mazowieckie",79.58m²,3,miejskie,2/5,1 200 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,tak,apartamentowiec,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/gotowe-zapraszam-do-ogladania-teraz-w-promocji-ID4xKf6,696181658,597711.0,"Grochów, Praga-Południe, Warszawa, mazowieckie",35.16m²,2,brak informacji,parter/5,brak informacji,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025,tak,apartamentowiec,,monitoring / ochronateren zamknięty,ogródek | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/metro-minska-wybor-4-pokoi-zapytaj-tez-o-inne-ID4xCua,627181658,1062655.0,"Grochów, Praga-Południe, Warszawa, mazowieckie",76.45m²,4,brak informacji,1/7,brak informacji,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/gotowe-na-pazdziernik-tego-roku-4-5-pokoi-piekny-uklad-ID4xKjd,308181658,1283719.0,"Grochów, Praga-Południe, Warszawa, mazowieckie",92.36m²,5,brak informacji,1/6,brak informacji,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2025,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/promocja-oszczedzasz-ponad-48-000zl-spacerem-do-metra-ID4xCmj,533181658,800000.0,"Grochów, Praga-Południe, Warszawa, mazowieckie",58.55m²,3,brak informacji,1/7,brak informacji,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,,tak,apartamentowiec,,monitoring / ochronateren zamknięty,
https://www.otodom.pl/pl/oferta/urocze-mieszkanie-w-przedwojennej-kamienicy-ID4xtUM,478181658,1349000.0,"ul. Kałuszyńska, Kamionek, Praga-Południe, Warszawa, mazowieckie",59.2m²,2,gazowe,parter/3,868 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,1932,nie,kamienica,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/nietuzinkowe-mieszkanie-z-zielenia-za-oknem-ID4xkjy,439181658,1840000.0,"ul. Celownicza, Gocław, Praga-Południe, Warszawa, mazowieckie",84.72m²,4,miejskie,4/4,1 222 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,tak,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/aleje-praskie-ID4ulvt,437181659,,,31 - 94 m²,,,,,,,,deweloper,,,,,brak informacji,
