link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/na-sprzedaz-3-pokojowe-mieszkanie-z-garazem-warszawa-rembertow-ID4vH3D,345091811,910000.0,"al. Aleja gen. Antoniego Chruściela ""Montera"", Stary Rembertów, Rembertów, Warszawa, mazowieckie",70m²,3,miejskie,2/4,720 zł,do zamieszkania,wtórny,pełna własność,prywatny,2004,nie,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/wyjatkowe-105-m2-5-pok-mieszk-warszawa-rembertow-15-min-do-centrum-ID4xKy2,599091811,1199000.0,"al. Aleja gen. Antoniego Chruściela ""Montera"", Stary Rembertów, Rembertów, Warszawa, mazowieckie",105m²,5,gazowe,3/4,1 100 zł,do zamieszkania,wtórny,pełna własność,prywatny,2003,nie,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe | pom. użytkowe | piwnica | dwupoziomowe
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-na-osiedlu-sady-rembertowskie-ID4vCUM,142091811,649000.0,"ul. Ignacego Paderewskiego, Stary Rembertów, Rembertów, Warszawa, mazowieckie",49.9m²,2,inne,2/4,805 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004,tak,blok,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/park-lesny-rembertow-ID4uhaC,349091812,,,25 - 59 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/kawalerka-25-m2-rembertow-od-dewelopera-ID4xmVQ,704091812,407000.0,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",25.62m²,1,miejskie,5/5,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,nie,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pokoje-ciche-rembertow-56-m2-od-dewelopera-ID4mWAa,272091812,657000.0,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",56.68m²,3,miejskie,2/5,500 zł,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2024,nie,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/2-pok-od-dewelopera-rembertow-gotowe-ID4vgqp,794091812,505000.0,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",38.63m²,2,miejskie,2/5,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,nie,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pok-od-dewelopera-rembertow-okno-w-kuchni-ID4xmVO,813091812,640000.0,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",55m²,3,miejskie,2/5,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2025,nie,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-balkonem-w-zielonej-czesci-rembertowa-ID4xckS,539091812,790000.0,"Stary Rembertów, Rembertów, Warszawa, mazowieckie",67m²,3,brak informacji,2/5,brak informacji,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,,nie,blok,,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/nowe-przytulne-2-pok-mieszkanie-o-pow-40-25m2-z-ogrodkiem-18-m2-ID4vKCd,880091812,629000.0,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",40.25m²,2,miejskie,5,brak informacji,do zamieszkania,pierwotny,brak informacji,biuro nieruchomości,2025,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,ogródek | garaż/miejsce parkingowe
