link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/kawalerka-na-sprzedaz-ID4xOJn,132092040,450000.0,"ul. Suwalska, Bródno, Targówek, Warszawa, mazowieckie",24.5m²,1,miejskie,1/4,479 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1978,nie,blok,plastikowe,,garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/targowek-2-pokoje-bezposrednio-ID4xM2J,222092040,770000.0,"Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",45.96m²,2,miejskie,parter,700 zł,do zamieszkania,wtórny,pełna własność,prywatny,2018,tak,blok,plastikowe,monitoring / ochronateren zamknięty,
https://www.otodom.pl/pl/oferta/mieszkanie-os-krzewna-targowek-77-23-mkw-ID4xIGZ,525092040,1400000.0,"ul. Krzewna, Elsnerów, Targówek, Warszawa, mazowieckie",77.23m²,3,miejskie,2/3,997 zł,do zamieszkania,wtórny,pełna własność,prywatny,2022,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/sprawdz-46-40-mkw-2-pokoje-blisko-metra-ID4xP1R,326092041,615000.0,"ul. Krasnobrodzka, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",46.4m²,2,miejskie,4/10,699 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1976,tak,,,monitoring / ochrona,garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/warszawski-swit-vi-ID4uls0,236092041,,,37 - 54 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/tanie-mieszkanie-na-targowku-ID4uzH8,583092040,380000.0,"ul. Simóna Bolívara, Bródno, Targówek, Warszawa, mazowieckie",27m²,1,miejskie,4/4,599 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,,nie,blok,plastikowe,monitoring / ochrona,garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/apartamenty-oszmianska-ii-ID4uls4,360092041,,,41 - 109 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/warszawski-swit-viii-ID4uls3,175092041,,,25 - 91 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/oliwska-vita-ID4uGVY,819092041,,,39 - 90 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/praktyczne-2-pokoje-z-osobna-widna-kuchnia-balkonem-i-kw-ID4vwOv,723092041,570000.0,"ul. Krasiczyńska, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",39.5m²,2,miejskie,6/10,500 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1971,tak,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
