link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/2-pokoje-idealne-dla-singla-ID4xDkl,585092458,449000.0,"ul. Apartamentowa, Skorosze, Ursus, Warszawa, mazowieckie",32m²,2,elektryczne,3/3,550 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,2002,nie,blok,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/rewelacyjny-2-poziomowy-apartament-ogrodek-ID4xsIf,408092457,1399000.0,"Czechowice, Ursus, Warszawa, mazowieckie",106.06m²,6,gazowe,2/2,brak informacji,brak informacji,wtórny,pełna własność,biuro nieruchomości,1996,nie,blok,,,balkon | dwupoziomowe
https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-umeblowane-65m2-taras-park-2xkom-ul-prystora-3-ID4vXEi,838092458,1150000.0,"ul. Aleksandra Prystora, Skorosze, Ursus, Warszawa, mazowieckie",65.15m²,3,miejskie,1/4,1 100 zł,do zamieszkania,wtórny,pełna własność,prywatny,2018,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | ogródek | taras | garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/dni-otwarte-2-pokoje-garaz-obok-skm-ID4xP0R,235092457,592942.0,"Szamoty, Ursus, Warszawa, mazowieckie",41.1m²,2,miejskie,1,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/2-pokoje-idealne-dla-singla-ID4xDkl,705092458,449000.0,"ul. Apartamentowa, Skorosze, Ursus, Warszawa, mazowieckie",32m²,2,elektryczne,3/3,550 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,2002,nie,blok,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-63-m2-ul-chelmonskiego-7-ursus-ID4xKyt,246092458,887600.0,"ul. Józefa Chełmońskiego, Skorosze, Ursus, Warszawa, mazowieckie",63m²,3,miejskie,2/7,1 050 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004,tak,blok,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/fokus-ursus-ID4u9Ue,374092459,,,38 - 77 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/duze-rabaty-15min-od-centrum-hala-garazowa-ID4xOYJ,209092458,752946.0,"Szamoty, Ursus, Warszawa, mazowieckie",59.56m²,4,miejskie,2,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/15min-skm-do-centrum-3-pok-hala-garazowa-ID4xOYp,464092458,751017.0,"Szamoty, Ursus, Warszawa, mazowieckie",59.39m²,3,miejskie,1,0,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/piastova-osada-ID4x4N2,791092459,,,27 - 77 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/ursus-centralny-ID4umKd,751092459,,,37 - 63 m²,,,,,,,,deweloper,,,,,ochronamonitoring,
https://www.otodom.pl/pl/oferta/inwestycja-legnicka-ursus-ID4nLt3,352092459,,,29 - 60 m²,,,,,,,,deweloper,,,,,teren zamknięty,
https://www.otodom.pl/pl/oferta/2-pokoje-balkon-gotowe-cesja-bez-pcc-ID4xOUE,581092459,499000.0,"ul. Ryżowa, Skorosze, Ursus, Warszawa, mazowieckie",25.5m²,2,miejskie,1/6,brak informacji,do zamieszkania,pierwotny,pełna własność,prywatny,2025,tak,blok,plastikowe,monitoring / ochronateren zamknięty,
https://www.otodom.pl/pl/oferta/ursus-vita-ID4ummH,423092500,,,42 - 82 m²,,,,,,,,deweloper,,,,,brak informacji,
