link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/5-6pok-kabaty-2003r-3-5p-wysoki-standard-2-x-garaz-ID4xNIh,312093340,2980000.0,"ul. Stefana Dembego, Kabaty, Ursynów, Warszawa, mazowieckie",155m²,6,miejskie,3/5,2 420 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2003,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/75m2-3-pokoje-na-ursynowie-niska-zabudowa-2-miejsca-parkingowe-ID4xJR9,947093340,1420000.0,"Wyczółki, Ursynów, Warszawa, mazowieckie",75.4m²,3,miejskie,1/3,820 zł,do zamieszkania,wtórny,pełna własność,prywatny,2020,tak,apartamentowiec,plastikowe,monitoring / ochrona,balkon | taras | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/2-pokoje-45m2-z-ogrodkiem-30m2-w-zamieniu-kolo-ursynowa-ID4xk4P,431093341,579000.0,"Jeziorki Południowe, Ursynów, Warszawa, mazowieckie",44.68m²,2,miejskie,parter/3,brak informacji,do wykończenia,wtórny,pełna własność,prywatny,2025,tak,blok,plastikowe,monitoring / ochronateren zamknięty,ogródek | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/dwa-pokoje-widna-kuchnia-zielona-okolica-ID4xt3d,116093341,695000.0,"Natolin, Ursynów, Warszawa, mazowieckie",47.2m²,2,miejskie,9/10,907 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1980,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/hi-mokotow-ID4ui3T,228093342,,,29 - 97 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/przestronne-2-3-pokoje-w-cichej-czesci-ursynowa-ID4wjTJ,596093341,620000.0,"ul. Pawła Edmunda Strzeleckiego, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie",52.9m²,3,miejskie,4/4,1 111 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1981,nie,blok,plastikowe,monitoring / ochrona,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/warszawa-mokotow-ursynow-3-pokoje-klimatyzacja-wysoki-standard-ID4xi3T,716093341,1060000.0,"ul. Kłobucka, Wyczółki, Ursynów, Warszawa, mazowieckie",53.07m²,3,miejskie,5/6,880 zł,do zamieszkania,wtórny,pełna własność,prywatny,2015,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/ciche-mieszkanie-4-pokoje-na-zielonym-osiedlu-75m2-spokojna-okolica-ID4xOWE,724093341,1267500.0,"ul. Franciszka Łukaszczyka, Stary Imielin, Ursynów, Warszawa, mazowieckie",75m²,4,miejskie,2/3,1 100 zł,do zamieszkania,wtórny,pełna własność,prywatny,1991,nie,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/przytulna-kawalerka-na-natolinie-ID4xOQM,143093341,499500.0,"al. Aleja Komisji Edukacji Narodowej, Natolin, Ursynów, Warszawa, mazowieckie",27m²,1,miejskie,5/11,521 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,2004,tak,blok,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/unikalne-3-pok-po-generalnym-remoncie-700m-metro-ID4xOMX,155093341,989000.0,"ul. Oskara Sosnowskiego, Ursynów Północny, Ursynów, Warszawa, mazowieckie",53m²,3,miejskie,6/7,0,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1972,tak,blok,,,balkon | piwnica
