link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/przytulne-2-pok-mieszkanie-z-pieknym-tarasem-warszawa-stara-milosna-ID4wyMm,573102556,680000.0,"ul. Jana Pawła II, Stara Miłosna, Wesoła, Warszawa, mazowieckie",47.5m²,2,kotłownia,3/3,800 zł,do zamieszkania,wtórny,pełna własność,prywatny,2001,nie,blok,plastikowe,monitoring / ochrona,taras | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/bezposrednio-sprzedam-trzypokojowe-mieszkanie-w-zielonej-okolicy-ID4vcoY,660102556,650000.0,"pl. Plac Wojska Polskiego, Plac Wojska Polskiego, Wesoła, Warszawa, mazowieckie",52.9m²,3,gazowe,4/4,1 200 zł,do zamieszkania,wtórny,pełna własność,prywatny,1970,nie,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-z-antresola-miejsce-postojowe-komorka-lokatorska-ogrodek-ID4xIEi,250102556,620000.0,"ul. Wschodnia, Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",42.2m²,2,brak informacji,2/2,600 zł,do zamieszkania,wtórny,pełna własność,prywatny,,nie,loft,,teren zamknięty,ogródek | garaż/miejsce parkingowe | piwnica | dwupoziomowe
https://www.otodom.pl/pl/oferta/apartamenty-stara-milosna-ID4vMue,473102556,,,32 - 117 m²,,,,,,,,deweloper,,,,,monitoring,
https://www.otodom.pl/pl/oferta/przytulne-2-pok-mieszkanie-z-pieknym-tarasem-warszawa-stara-milosna-ID4wyMm,357102556,680000.0,"ul. Jana Pawła II, Stara Miłosna, Wesoła, Warszawa, mazowieckie",47.5m²,2,kotłownia,3/3,800 zł,do zamieszkania,wtórny,pełna własność,prywatny,2001,nie,blok,plastikowe,monitoring / ochrona,taras | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-80m2-z-ogrodkiem-komorka-i-garazem-x-2-ID4wQD2,483102556,999000.0,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",80m²,3,gazowe,1/1,brak informacji,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2023,nie,szeregowiec,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/mieszkanie-w-domku-jednorodzinnym-miejsce-do-wychowania-dzieci-ID4xOJU,488102556,1050000.0,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",87m²,4,gazowe,parter/2,0 zł,do zamieszkania,wtórny,pełna własność,prywatny,2001,nie,dom wolnostojący,plastikowe,teren zamknięty,balkon | ogródek | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/lokal-mieszkalny-segment-warszawa-wesola-150-m-kw-ID4uIvg,762102556,1499000.0,"ul. Cieplarniana, Stara Miłosna, Wesoła, Warszawa, mazowieckie",150m²,5,inne,parter/2,1 zł,do wykończenia,pierwotny,pełna własność,prywatny,2025,nie,szeregowiec,plastikowe,teren zamknięty,taras | garaż/miejsce parkingowe | dwupoziomowe
https://www.otodom.pl/pl/oferta/warszawa-wesola-bezposrednio-42m2-ID4u3Bh,668102556,499800.0,"ul. Warszawska, Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",42m²,3,gazowe,1/2,340 zł,do remontu,wtórny,pełna własność,prywatny,1967,nie,blok,plastikowe,,garaż/miejsce parkingowe | piwnica | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/rumiankowa-stara-milosna-ID4ue68,825102557,,,42 - 108 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-w-starej-milosnie-blisko-lasu-i-szkol-0-ID4xr2T,510102556,999000.0,"ul. Kamyk, Stara Miłosna, Wesoła, Warszawa, mazowieckie",67.02m²,4,brak informacji,2/3,950 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2013,tak,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/male-metry-duzy-komfort-ID4x6T7,585102556,469000.0,"ul. Mazowiecka, Stara Miłosna, Wesoła, Warszawa, mazowieckie",30.5m²,1,kotłownia,parter/3,640 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2010,tak,apartamentowiec,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/m5-nad-kanalkiem-ID4xpru,628102557,999000.0,"ul. Rumiankowa, Stara Miłosna, Wesoła, Warszawa, mazowieckie",148.3m²,5,gazowe,2/2,800 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2002,nie,blok,plastikowe,,balkon | garaż/miejsce parkingowe | dwupoziomowe
https://www.otodom.pl/pl/oferta/kawalerka-stara-milosna-nowoczesna-inwestycja-ID4xNni,993102557,448000.0,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",32.76m²,1,gazowe,2/4,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2026,tak,apartamentowiec,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/wyjatkowe-obok-lasu-garaz-0-prowizji-ID4xtXn,362102557,865000.0,"ul. Mazowiecka, Stara Miłosna, Wesoła, Warszawa, mazowieckie",57m²,2,miejskie,2/3,590 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2020,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-29m2-z-ogrodkiem-56m2-ID4vhOk,750102557,499000.0,"ul. Korkowa, Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",29m²,2,gazowe,parter/2,252 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1960,nie,blok,plastikowe,,ogródek | piwnica
https://www.otodom.pl/pl/oferta/2m-w-zielonej-okolicy-loggia-parking-kom-lokatorska-tylko-u-nas-ID4xFgo,764102557,739000.0,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",63m²,2,miejskie,2/3,930 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2001,nie,blok,drewniane,,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/kawalerka-36m2-warszawa-wesola-marysin-rembertow-2-pok-do-wprowadzenia-ID4xGKb,269102557,519000.0,"Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",36m²,2,kotłownia,2/3,400 zł,do zamieszkania,wtórny,pełna własność,prywatny,2011,nie,blok,plastikowe,teren zamknięty,
https://www.otodom.pl/pl/oferta/ustawne-2-pok-mieszkanie-w-cichej-lokalizacji-ID4xFiA,749102557,520000.0,"ul. Literacka, Stara Miłosna, Wesoła, Warszawa, mazowieckie",36.57m²,2,kotłownia,parter/2,0,do zamieszkania,wtórny,udział,biuro nieruchomości,,nie,,,,
https://www.otodom.pl/pl/oferta/rondo-onz-jana-pawla-ii-18-top-lok-metro-bezposrednio-28m2-ID4xABI,994102557,840000.0,"al. Aleja Jana Pawła II, Stara Miłosna, Wesoła, Warszawa, mazowieckie",28m²,1,miejskie,> 10/14,brak informacji,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,,nie,blok,plastikowe,,
https://www.otodom.pl/pl/oferta/pelne-potencjalu-zaaranzujesz-je-tak-jak-o-tym-marzysz-ID4xM5L,456102557,799000.0,"ul. Diamentowa, Stara Miłosna, Wesoła, Warszawa, mazowieckie",67.2m²,3,gazowe,3/3,700 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1993,nie,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-balkonem-i-oddzielna-kuchnia-ID4xzTJ,885102557,799000.0,"ul. Brzozowa, Stara Miłosna, Wesoła, Warszawa, mazowieckie",53.6m²,3,gazowe,2/2,344 zł,do zamieszkania,wtórny,pełna własność,prywatny,2015,nie,blok,plastikowe,monitoring / ochronateren zamknięty,
https://www.otodom.pl/pl/oferta/stylowa-kawalerka-z-ogrodkiem-wesola-ID4xFit,791102558,460000.0,"ul. Szlachecka, Stara Miłosna, Wesoła, Warszawa, mazowieckie",27.07m²,1,brak informacji,parter/3,brak informacji,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2021,tak,blok,,,balkon | ogródek | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/bezposrednio-sprzedam-trzypokojowe-mieszkanie-w-zielonej-okolicy-ID4vcoY,598102557,650000.0,"pl. Plac Wojska Polskiego, Plac Wojska Polskiego, Wesoła, Warszawa, mazowieckie",52.9m²,3,gazowe,4/4,1 200 zł,do zamieszkania,wtórny,pełna własność,prywatny,1970,nie,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/balkon-slonca-strych-pomyslow-ID4xJQw,277102557,920000.0,"al. Aleja Jana Pawła II, Stara Miłosna, Wesoła, Warszawa, mazowieckie",82.6m²,3,gazowe,3/3,940 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1998,nie,blok,plastikowe,teren zamknięty,garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/idealne-dla-rodziny-3-pokoje-85m-warszawa-wesola-ID4xlwW,977102558,1179000.0,"Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",85m²,3,miejskie,2/2,1 100 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2011,nie,blok,,monitoring / ochrona,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/balkon-nad-kanalkiem-w-koronie-debow-ID4xILN,569102558,720000.0,"ul. Jeździecka, Stara Miłosna, Wesoła, Warszawa, mazowieckie",51.5m²,2,kotłownia,4/4,1 030 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2006,tak,blok,plastikowe,teren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/funkcjonalny-rozklad-pomieszczen-duze-pokoje-ID4vrwY,198102558,1299000.0,"Stara Miłosna, Wesoła, Warszawa, mazowieckie",175m²,5,gazowe,parter/2,0,brak informacji,wtórny,brak informacji,biuro nieruchomości,2024,nie,,,,balkon | ogródek | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/mieszkanie-z-antresola-miejsce-postojowe-komorka-lokatorska-ogrodek-ID4xIEi,502102558,620000.0,"ul. Wschodnia, Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",42.2m²,2,brak informacji,2/2,600 zł,do zamieszkania,wtórny,pełna własność,prywatny,,nie,loft,,teren zamknięty,ogródek | garaż/miejsce parkingowe | piwnica | dwupoziomowe
